file_name,artifact_type,topic,recommended_use,source_path,overleaf_folder,caption_suggestion,include_in_main_paper
LOCAL_COMP1_pooled_ocslab_vs_ctt.csv,table_csv,local_ids,Main paper,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP1_pooled_ocslab_vs_ctt.csv,tables_csv,Pooled local IDS metrics: OCSLab vs corrected CTT.,YES
LOCAL_COMP1_pooled_ocslab_vs_ctt.md,table_md,local_ids,Reference only,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP1_pooled_ocslab_vs_ctt.md,tables_md,Pooled local IDS metrics: OCSLab vs corrected CTT.,NO
LOCAL_COMP2_per_vehicle_ocslab_vs_ctt.csv,table_csv,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP2_per_vehicle_ocslab_vs_ctt.csv,tables_csv,LOCAL COMP2 per vehicle ocslab vs ctt,SUPPLEMENT
LOCAL_COMP2_per_vehicle_ocslab_vs_ctt.md,table_md,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP2_per_vehicle_ocslab_vs_ctt.md,tables_md,LOCAL COMP2 per vehicle ocslab vs ctt,SUPPLEMENT
LOCAL_COMP3_ctt_by_subset.csv,table_csv,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP3_ctt_by_subset.csv,tables_csv,LOCAL COMP3 ctt by subset,SUPPLEMENT
LOCAL_COMP3_ctt_by_subset.md,table_md,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP3_ctt_by_subset.md,tables_md,LOCAL COMP3 ctt by subset,SUPPLEMENT
LOCAL_COMP4_ctt_by_attack_type.csv,table_csv,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP4_ctt_by_attack_type.csv,tables_csv,LOCAL COMP4 ctt by attack type,SUPPLEMENT
LOCAL_COMP4_ctt_by_attack_type.md,table_md,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/tables/LOCAL_COMP4_ctt_by_attack_type.md,tables_md,LOCAL COMP4 ctt by attack type,SUPPLEMENT
figure_LOCAL_COMP1_pooled_comparison.pdf,figure_pdf,local_ids,Main paper,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/figures/figure_LOCAL_COMP1_pooled_comparison.pdf,figures_pdf,Pooled local IDS comparison: OCSLab vs corrected CTT (FPR≤5%).,YES
figure_LOCAL_COMP1_pooled_comparison.png,figure_png,local_ids,Main paper,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/figures/figure_LOCAL_COMP1_pooled_comparison.png,figures_png,Pooled local IDS comparison: OCSLab vs corrected CTT (FPR≤5%).,YES
figure_LOCAL_COMP2_per_vehicle_pr_auc.pdf,figure_pdf,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/figures/figure_LOCAL_COMP2_per_vehicle_pr_auc.pdf,figures_pdf,figure LOCAL COMP2 per vehicle pr auc,SUPPLEMENT
figure_LOCAL_COMP2_per_vehicle_pr_auc.png,figure_png,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/figures/figure_LOCAL_COMP2_per_vehicle_pr_auc.png,figures_png,figure LOCAL COMP2 per vehicle pr auc,SUPPLEMENT
figure_LOCAL_COMP3_per_vehicle_prf.pdf,figure_pdf,local_ids,Supplement,new_experiments/local_ids_ocslab_vs_ctt_metric_comparison/figures/figure_LOCAL_COMP3_per_vehicle_prf.pdf,figures_pdf,figure LOCAL COMP3 per vehicle prf,SUPPLEMENT
