run_id,scenario_id,seed,local_detection_rate,false_campaign_rate,incorrect_merging,benign_candidate_rate,correct_no_attack_rate
benign_fleet_cs0_seed11_20260614T201936,Benign-Fleet Control,11,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed23_20260614T201937,Benign-Fleet Control,23,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed37_20260614T201937,Benign-Fleet Control,37,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed41_20260614T201937,Benign-Fleet Control,41,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed53_20260614T201938,Benign-Fleet Control,53,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed67_20260614T201938,Benign-Fleet Control,67,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed71_20260614T201938,Benign-Fleet Control,71,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed83_20260614T201939,Benign-Fleet Control,83,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed97_20260614T201939,Benign-Fleet Control,97,0.0,0.0,0.0,1.0,
benign_fleet_cs0_seed101_20260614T201939,Benign-Fleet Control,101,0.0,0.0,0.0,1.0,
isolated_attack_cs0_seed11_20260614T201940,Isolated Single-Vehicle Attack,11,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed23_20260614T201940,Isolated Single-Vehicle Attack,23,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed37_20260614T201941,Isolated Single-Vehicle Attack,37,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed41_20260614T201941,Isolated Single-Vehicle Attack,41,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed53_20260614T201942,Isolated Single-Vehicle Attack,53,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed67_20260614T201942,Isolated Single-Vehicle Attack,67,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed71_20260614T201942,Isolated Single-Vehicle Attack,71,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed83_20260614T201943,Isolated Single-Vehicle Attack,83,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed97_20260614T201943,Isolated Single-Vehicle Attack,97,1.0,0.0,0.0,1.0,
isolated_attack_cs0_seed101_20260614T201944,Isolated Single-Vehicle Attack,101,1.0,0.0,0.0,1.0,
unrelated_incidents_cs0_seed11_20260614T201944,Unrelated Multi-Vehicle Incidents,11,1.0,0.0,0.0,1.0,
unrelated_incidents_cs0_seed23_20260614T201945,Unrelated Multi-Vehicle Incidents,23,1.0,0.0,1.0,1.0,
unrelated_incidents_cs0_seed37_20260614T201945,Unrelated Multi-Vehicle Incidents,37,1.0,0.0,0.0,1.0,
unrelated_incidents_cs0_seed41_20260614T201946,Unrelated Multi-Vehicle Incidents,41,1.0,0.0,1.0,1.0,
unrelated_incidents_cs0_seed53_20260614T201947,Unrelated Multi-Vehicle Incidents,53,1.0,0.0,0.0,1.0,
unrelated_incidents_cs0_seed67_20260614T201947,Unrelated Multi-Vehicle Incidents,67,1.0,0.0,0.0,1.0,
unrelated_incidents_cs0_seed71_20260614T201948,Unrelated Multi-Vehicle Incidents,71,1.0,0.0,1.0,1.0,
unrelated_incidents_cs0_seed83_20260614T201948,Unrelated Multi-Vehicle Incidents,83,1.0,0.0,0.0,1.0,
unrelated_incidents_cs0_seed97_20260614T201949,Unrelated Multi-Vehicle Incidents,97,1.0,0.0,1.0,1.0,
unrelated_incidents_cs0_seed101_20260614T201950,Unrelated Multi-Vehicle Incidents,101,1.0,0.0,0.0,1.0,
strong_campaign_cs2_seed11_20260614T201950,Strong Coordinated Campaign,11,1.0,,0.0,1.0,
strong_campaign_cs5_seed11_20260614T201952,Strong Coordinated Campaign,11,1.0,,0.0,1.0,
strong_campaign_cs10_seed11_20260614T201954,Strong Coordinated Campaign,11,1.0,,0.0,1.0,
strong_campaign_cs2_seed23_20260614T201955,Strong Coordinated Campaign,23,1.0,,0.0,1.0,
strong_campaign_cs5_seed23_20260614T201957,Strong Coordinated Campaign,23,1.0,,0.0,1.0,
strong_campaign_cs10_seed23_20260614T201959,Strong Coordinated Campaign,23,1.0,,0.0,1.0,
strong_campaign_cs2_seed37_20260614T202001,Strong Coordinated Campaign,37,1.0,,0.0,1.0,
strong_campaign_cs5_seed37_20260614T202002,Strong Coordinated Campaign,37,1.0,,0.0,1.0,
strong_campaign_cs10_seed37_20260614T202004,Strong Coordinated Campaign,37,1.0,,0.0,1.0,
strong_campaign_cs2_seed41_20260614T202006,Strong Coordinated Campaign,41,1.0,,0.0,1.0,
strong_campaign_cs5_seed41_20260614T202008,Strong Coordinated Campaign,41,1.0,,0.0,1.0,
strong_campaign_cs10_seed41_20260614T202009,Strong Coordinated Campaign,41,1.0,,0.0,1.0,
strong_campaign_cs2_seed53_20260614T202011,Strong Coordinated Campaign,53,1.0,,0.0,1.0,
strong_campaign_cs5_seed53_20260614T202013,Strong Coordinated Campaign,53,1.0,,0.0,1.0,
strong_campaign_cs10_seed53_20260614T202015,Strong Coordinated Campaign,53,1.0,,0.0,1.0,
strong_campaign_cs2_seed67_20260614T202016,Strong Coordinated Campaign,67,1.0,,0.0,1.0,
strong_campaign_cs5_seed67_20260614T202018,Strong Coordinated Campaign,67,1.0,,0.0,1.0,
strong_campaign_cs10_seed67_20260614T202020,Strong Coordinated Campaign,67,1.0,,0.0,1.0,
strong_campaign_cs2_seed71_20260614T202022,Strong Coordinated Campaign,71,1.0,,0.0,1.0,
strong_campaign_cs5_seed71_20260614T202023,Strong Coordinated Campaign,71,1.0,,0.0,1.0,
strong_campaign_cs10_seed71_20260614T202025,Strong Coordinated Campaign,71,1.0,,0.0,1.0,
