segment_id,vehicle_model,attack_type,split,relative_source,manifest_absolute_source,resolved_path,status,segment_start,segment_end,guard_start,guard_end,split_method,window_count_manifest
Hyundai::Attack_free_HY_Sonata_train.csv::train,Hyundai,attack_free,train,car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,FOUND,0,301800,301800.0,301900.0,contiguous_segment,6035
Hyundai::Attack_free_HY_Sonata_train.csv::seg_val,Hyundai,attack_free,validation,car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,FOUND,301900,366450,366450.0,366550.0,contiguous_segment,1290
Hyundai::Attack_free_HY_Sonata_train.csv::seg_test,Hyundai,attack_free,test,car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,FOUND,366550,431100,,,contiguous_segment,1290
Hyundai::Fuzzy_dataset_HY_Sonata_train.csv::full_trace,Hyundai,fuzzy,train,car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv,FOUND,0,403250,,,complete_trace,8064
Hyundai::Malfunction_1st_dataset_HY_Sonata_train.csv::full_trace,Hyundai,malfunction,validation,car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv,FOUND,0,285450,,,complete_trace,5708
Hyundai::Malfunction_2nd_HY_Sonata_train.csv::full_trace,Hyundai,malfunction,train,car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv,FOUND,0,419650,,,complete_trace,8392
Hyundai::Replay_dataset_HY_Sonata_train.csv::full_trace,Hyundai,replay,train,car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv,FOUND,0,530600,,,complete_trace,10611
Hyundai::Attack_free_HYUNDAI_Sonata_train.csv::full_trace,Hyundai,attack_free,train,car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv,FOUND,0,117150,,,complete_trace,2342
Hyundai::Flooding_HYUNDAI_Sonata_train.csv::full_trace,Hyundai,flooding,train,car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv,FOUND,0,96000,,,complete_trace,1919
Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace,Hyundai,fuzzy,test,car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv,FOUND,0,88000,,,complete_trace,1759
Hyundai::Malfunction_HYUNDAI_Sonata_train.csv::full_trace,Hyundai,malfunction,train,car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv,FOUND,0,87000,,,complete_trace,1739
Kia::Attack_free_KIA_Soul_train.csv::train,Kia,attack_free,train,car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,FOUND,0,331300,331300.0,331400.0,contiguous_segment,6625
Kia::Attack_free_KIA_Soul_train.csv::seg_val,Kia,attack_free,validation,car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,FOUND,331400,402250,402250.0,402350.0,contiguous_segment,1416
Kia::Attack_free_KIA_Soul_train.csv::seg_test,Kia,attack_free,test,car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,FOUND,402350,473200,,,contiguous_segment,1416
Kia::Fuzzy_dataset_KIA_Soul_train.csv::full_trace,Kia,fuzzy,test,car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv,FOUND,0,460000,,,complete_trace,9199
Kia::Malfunction_1st_dataset_KIA_Soul_train.csv::full_trace,Kia,malfunction,train,car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv,FOUND,0,267350,,,complete_trace,5346
Kia::Malfunction_2nd_KIA_Soul_train.csv::full_trace,Kia,malfunction,train,car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv,FOUND,0,400500,,,complete_trace,8009
Kia::Replay_dataset_KIA_Soul_train.csv::full_trace,Kia,replay,validation,car_track_final_2nd_train/Replay_dataset_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_KIA_Soul_train.csv,FOUND,0,566300,,,complete_trace,11325
Kia::Attack_free_KIA_Soul_train.csv::full_trace,Kia,attack_free,train,car_track_preliminary_train/Attack_free_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_KIA_Soul_train.csv,FOUND,0,192500,,,complete_trace,3849
Kia::Flooding_KIA_Soul_train.csv::full_trace,Kia,flooding,train,car_track_preliminary_train/Flooding_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_KIA_Soul_train.csv,FOUND,0,120000,,,complete_trace,2399
Kia::Fuzzy_KIA_Soul_train.csv::full_trace,Kia,fuzzy,train,car_track_preliminary_train/Fuzzy_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_KIA_Soul_train.csv,FOUND,0,144000,,,complete_trace,2879
Kia::Malfunction_KIA_Soul_train.csv::full_trace,Kia,malfunction,train,car_track_preliminary_train/Malfunction_KIA_Soul_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_KIA_Soul_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_KIA_Soul_train.csv,FOUND,0,113000,,,complete_trace,2259
Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::train,Chevrolet,attack_free,train,car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,FOUND,0,95800,95800.0,95900.0,contiguous_segment,1915
Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::seg_val,Chevrolet,attack_free,validation,car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,FOUND,95900,116350,116350.0,116450.0,contiguous_segment,408
Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::seg_test,Chevrolet,attack_free,test,car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,FOUND,116450,136900,,,contiguous_segment,408
