run_id,scenario,seed,cluster_id,C_k,r_k,c_k,gamma_pass,beta_pass,eta_pass,qualifies,V_P,V_G,J_P_G,n_gt_vehicles_in_cluster
val_S3_seed131,S3,131,10,145,20,0.245408,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed131,S3,131,13,2,1,0.990628,False,True,True,False,"[""C006""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed131,S3,131,29,2,1,0.997632,False,True,True,False,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed131,S3,131,35,2,1,0.991638,False,True,True,False,"[""K018""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed137,S3,137,0,27,7,0.973359,True,True,True,True,"[""H001"", ""H002"", ""H003"", ""K004"", ""K005"", ""K016"", ""K017""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.714286,5
val_S3_seed137,S3,137,8,107,20,0.284208,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed149,S3,149,10,145,20,0.328408,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed149,S3,149,18,2,1,0.997199,False,True,True,False,"[""C006""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed149,S3,149,25,2,1,0.995883,False,True,True,False,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed149,S3,149,31,2,1,0.481789,False,False,True,False,"[""H014""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed157,S3,157,9,2,1,0.996765,False,True,True,False,"[""H003""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.2,1
val_S3_seed157,S3,157,10,140,20,0.189056,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed157,S3,157,25,2,1,0.996243,False,True,True,False,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed157,S3,157,27,2,1,0.999186,False,True,True,False,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed157,S3,157,38,2,1,0.989696,False,True,True,False,"[""K019""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed163,S3,163,1,44,8,0.77083,True,True,True,True,"[""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.3,3
val_S3_seed163,S3,163,8,97,16,0.469449,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.3125,5
val_S3_seed179,S3,179,2,119,20,0.293992,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed179,S3,179,18,2,1,0.992058,False,True,True,False,"[""C007""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed179,S3,179,20,3,1,0.986237,False,True,True,False,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed179,S3,179,21,2,1,0.99205,False,True,True,False,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed181,S3,181,1,129,20,0.276026,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed181,S3,181,19,2,1,0.993437,False,True,True,False,"[""C007""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed181,S3,181,29,2,1,0.989019,False,True,True,False,"[""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed191,S3,191,10,153,20,0.217818,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed191,S3,191,23,2,1,0.990436,False,True,True,False,"[""H012""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed191,S3,191,29,2,1,0.99853,False,True,True,False,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed193,S3,193,5,137,20,0.223027,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S3_seed193,S3,193,28,2,1,0.994066,False,True,True,False,"[""K016""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S3_seed197,S3,197,13,156,20,0.24262,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed131,S4,131,1,137,20,0.234631,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed131,S4,131,8,2,1,0.991937,False,True,True,False,"[""H003""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.2,1
val_S4_seed131,S4,131,14,2,1,0.990628,False,True,True,False,"[""C006""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed131,S4,131,29,2,1,0.997632,False,True,True,False,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed131,S4,131,36,2,1,0.991638,False,True,True,False,"[""K018""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed137,S4,137,12,119,20,0.251682,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed149,S4,149,9,148,20,0.280245,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed149,S4,149,26,2,1,0.995883,False,True,True,False,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed149,S4,149,27,2,1,0.986773,False,True,True,False,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed157,S4,157,3,140,20,0.127821,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed157,S4,157,26,2,1,0.996243,False,True,True,False,"[""C008""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed157,S4,157,27,2,1,0.999186,False,True,True,False,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed157,S4,157,34,2,1,0.989696,False,True,True,False,"[""K019""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed163,S4,163,2,130,20,0.174108,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed179,S4,179,3,100,20,0.248151,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed179,S4,179,4,5,3,0.464178,True,False,True,False,"[""K016"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed179,S4,179,17,2,1,0.992058,False,True,True,False,"[""C007""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed179,S4,179,19,3,1,0.986237,False,True,True,False,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed179,S4,179,20,2,1,0.99205,False,True,True,False,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed181,S4,181,3,122,20,0.190325,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed181,S4,181,32,2,1,0.989019,False,True,True,False,"[""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed191,S4,191,2,139,20,0.185219,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed191,S4,191,23,2,1,0.990882,False,True,True,False,"[""H011""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed191,S4,191,25,2,1,0.990436,False,True,True,False,"[""H012""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed191,S4,191,30,2,1,0.99853,False,True,True,False,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed193,S4,193,2,123,20,0.206653,True,False,True,False,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,5
val_S4_seed193,S4,193,25,2,1,0.997592,False,True,True,False,"[""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed193,S4,193,26,2,1,0.994066,False,True,True,False,"[""K016""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0
val_S4_seed197,S4,197,14,2,1,0.997461,False,True,True,False,"[""K004""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.2,1
