segment_id,split,vehicle_model,n_windows,min_start,max_end,source_file,relative_source,attack_types,segment_start,segment_end,hist_n_windows,window_size,count_match
Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::seg_test,test,Chevrolet,408,116450,136900,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,attack_free,116450,136900,408,100,True
Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::seg_val,validation,Chevrolet,408,95900,116350,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,attack_free,95900,116350,408,100,True
Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::train,train,Chevrolet,1915,0,95800,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,attack_free,0,95800,1915,100,True
Chevrolet::Flooding_CHEVROLET_Spark_train.csv::seg_test,test,Chevrolet,252,72350,85000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,flooding,72350,85000,252,100,True
Chevrolet::Flooding_CHEVROLET_Spark_train.csv::seg_val,validation,Chevrolet,252,59600,72250,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,flooding,59600,72250,252,100,True
Chevrolet::Flooding_CHEVROLET_Spark_train.csv::train,train,Chevrolet,1189,0,59500,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,flooding,0,59500,1189,100,True
Chevrolet::Fuzzy_CHEVROLET_Spark_train.csv::seg_test,test,Chevrolet,120,34950,41000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,fuzzy,34950,41000,120,100,True
Chevrolet::Fuzzy_CHEVROLET_Spark_train.csv::seg_val,validation,Chevrolet,120,28800,34850,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,fuzzy,28800,34850,120,100,True
Chevrolet::Fuzzy_CHEVROLET_Spark_train.csv::train,train,Chevrolet,573,0,28700,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,fuzzy,0,28700,573,100,True
Chevrolet::Malfunction_CHEVROLET_Spark_train.csv::seg_test,test,Chevrolet,150,43450,51000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,malfunction,43450,51000,150,100,True
Chevrolet::Malfunction_CHEVROLET_Spark_train.csv::seg_val,validation,Chevrolet,150,35800,43350,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,malfunction,35800,43350,150,100,True
Chevrolet::Malfunction_CHEVROLET_Spark_train.csv::train,train,Chevrolet,713,0,35700,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,malfunction,0,35700,713,100,True
Hyundai::Attack_free_HYUNDAI_Sonata_train.csv::full_trace,train,Hyundai,2342,0,117150,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv,car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv,attack_free,0,117150,2342,100,True
Hyundai::Attack_free_HY_Sonata_train.csv::seg_test,test,Hyundai,1290,366550,431100,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,attack_free,366550,431100,1290,100,True
Hyundai::Attack_free_HY_Sonata_train.csv::seg_val,validation,Hyundai,1290,301900,366450,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,attack_free,301900,366450,1290,100,True
Hyundai::Attack_free_HY_Sonata_train.csv::train,train,Hyundai,6035,0,301800,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,attack_free,0,301800,6035,100,True
Hyundai::Flooding_HYUNDAI_Sonata_train.csv::full_trace,train,Hyundai,1919,0,96000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv,car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv,flooding,0,96000,1919,100,True
Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace,test,Hyundai,1759,0,88000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv,car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv,fuzzy,0,88000,1759,100,True
Hyundai::Fuzzy_dataset_HY_Sonata_train.csv::full_trace,train,Hyundai,8064,0,403250,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv,car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv,fuzzy,0,403250,8064,100,True
Hyundai::Malfunction_1st_dataset_HY_Sonata_train.csv::full_trace,validation,Hyundai,5708,0,285450,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv,car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv,malfunction,0,285450,5708,100,True
Hyundai::Malfunction_2nd_HY_Sonata_train.csv::full_trace,train,Hyundai,8392,0,419650,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv,car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv,malfunction,0,419650,8392,100,True
