vehicle,method,t,f1,prec,rec,fpr,pr_auc
Chevrolet,F1-optimal,0.9782404149602242,0.9674952198852772,0.9656488549618321,0.9693486590038314,0.04411764705882353,0.9935971300567836
Chevrolet,FPR<=1%,0.9992935599081358,0.8728448275862069,0.9975369458128078,0.7758620689655172,0.0024509803921568627,0.9935971300567836
Chevrolet,FPR<=5%,0.9650130548302872,0.9706161137440759,0.9606003752345216,0.9808429118773946,0.051470588235294115,0.9935971300567836
Chevrolet,FPR<=10%,0.8928333906756203,0.959409594095941,0.9252669039145908,0.9961685823754789,0.10294117647058823,0.9935971300567836
Chevrolet,validation benign 95th percentile,0.9620365535248043,0.9706717123935665,0.9588785046728971,0.9827586206896551,0.05392156862745098,0.9935971300567836
Chevrolet,validation benign 99th percentile,0.9982506527415144,0.9003147953830011,0.9953596287703016,0.8218390804597702,0.004901960784313725,0.9935971300567836
Hyundai,F1-optimal,0.16087838695137147,0.7464819224940463,0.6027972027972028,0.9801023308698124,0.8806201550387597,0.829842644360868
Hyundai,FPR<=1%,0.9738569893756714,0.5231023102310232,0.9533834586466166,0.3604320636725412,0.024031007751937984,0.829842644360868
Hyundai,FPR<=5%,0.9039876473366518,0.5953177257525084,0.8594420600858369,0.4553723706651506,0.10155038759689923,0.829842644360868
Hyundai,FPR<=10%,0.8407544466992957,0.6349098332766248,0.7906779661016949,0.5304150085275725,0.19147286821705425,0.829842644360868
Hyundai,validation benign 95th percentile,0.9015638056583501,0.595776213412375,0.8553191489361702,0.45707788516202386,0.10542635658914729,0.829842644360868
Hyundai,validation benign 99th percentile,0.9706314909872267,0.530879345603272,0.9460641399416909,0.36895963615690736,0.02868217054263566,0.829842644360868
Kia,F1-optimal,0.0009299217109031621,0.9285678227068503,0.8668237511781338,0.9997825850635939,0.9978813559322034,0.98495811242093
Kia,FPR<=1%,0.9862516708038952,0.8041290657664091,0.99822695035461,0.673225350581585,0.007768361581920904,0.98495811242093
Kia,FPR<=5%,0.9287175698001678,0.8438567082634879,0.9837869137232195,0.7387759539080335,0.07909604519774012,0.98495811242093
Kia,FPR<=10%,0.8654232011357316,0.873276585541302,0.9734063878123748,0.7918251983911295,0.1405367231638418,0.98495811242093
Kia,validation benign 95th percentile,0.9259833874355546,0.8453672141307716,0.9832756632064591,0.741384933144907,0.08192090395480225,0.98495811242093
Kia,validation benign 99th percentile,0.9857981668894404,0.804257528556594,0.9979062650990498,0.6735514729861941,0.009180790960451978,0.98495811242093
Chevrolet,match_hist_fpr=0.152,0.8510292428198433,0.9429864253393666,0.8936535162950258,0.9980842911877394,0.15196078431372548,0.9935971300567836
Hyundai,match_hist_fpr=0.364,0.670765190402292,0.6949648711943793,0.716354858177429,0.6748152359295054,0.3643410852713178,0.829842644360868
Kia,match_hist_fpr=0.306,0.6921989688753103,0.9178412983658113,0.9493494423791822,0.8883574301554517,0.307909604519774,0.98495811242093
