vehicle_model,metric,reconstructed,historical_table_P4,abs_delta,classification
Chevrolet,pr_auc,0.9935971300567836,0.9935971300567836,0.0,MATCH
Chevrolet,precision,0.9606003752345216,0.8936535162950258,0.06694685893949581,MATERIAL_DIFFERENCE
Chevrolet,recall,0.9808429118773946,0.9980842911877394,0.017241379310344862,MATCH
Chevrolet,f1,0.9706161137440759,0.9429864253393664,0.027629688404709474,CLOSE
Hyundai,pr_auc,0.829842644360868,0.8256135298763275,0.004229114484540442,MATCH
Hyundai,precision,0.8594420600858369,0.7148936170212766,0.14454844306456027,MATERIAL_DIFFERENCE
Hyundai,recall,0.4553723706651506,0.6685616827743036,0.21318931210915298,MATERIAL_DIFFERENCE
Hyundai,f1,0.5953177257525084,0.690951821386604,0.09563409563409564,MATERIAL_DIFFERENCE
Kia,pr_auc,0.98495811242093,0.985398333160372,0.0004402207394419433,MATCH
Kia,precision,0.9837869137232195,0.9498261877172652,0.033960726005954234,CLOSE
Kia,recall,0.7387759539080335,0.8910751168605283,0.1522991629524948,MATERIAL_DIFFERENCE
Kia,f1,0.8438567082634879,0.9195131527287004,0.07565644446521247,MATERIAL_DIFFERENCE
pooled,pr_auc,0.9688148693135693,0.96896700151668,0.00015213220311072195,MATCH
pooled,precision,0.9684700824077391,0.911217535457727,0.05725254695001214,MATERIAL_DIFFERENCE
pooled,recall,0.7063588850174216,0.8618466898954704,0.1554878048780488,MATERIAL_DIFFERENCE
pooled,f1,0.8169042462096409,0.8858447488584474,0.06894050264880658,MATERIAL_DIFFERENCE
