method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,n_nodes,n_graph_edges,is_unrelated
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,11,200,1077,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.98989898989899,1.0,0.0,0.0,1,1,1,computed,11,200,1077,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,1077,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.8695652173913044,1.0,0.0,0.0,1,1,1,computed,11,200,1077,False
M1_local_IF,weak_campaign,1.0,0.02,0.0392156862745098,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,11,200,1043,
M2_descriptor_clustering,weak_campaign,1.0,0.02,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,11,200,1043,False
M3_GCN,weak_campaign,1.0,0.02,0.0392156862745098,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,1043,False
M4_GraphSAGE,weak_campaign,1.0,0.02,0.0392156862745098,1.0,1.0,1.0,0.8,1.0,0.0,0.0,1,1,1,computed,11,200,1043,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,11,200,1106,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,11,200,1106,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,11,200,1106,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1,0,computed,11,200,1106,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,23,200,1065,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.98989898989899,1.0,0.0,0.0,1,1,1,computed,23,200,1065,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,23,200,1065,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,23,200,1065,False
M1_local_IF,weak_campaign,1.0,0.02,0.0392156862745098,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,23,200,1069,
M2_descriptor_clustering,weak_campaign,1.0,0.02,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,23,200,1069,False
M3_GCN,weak_campaign,1.0,0.02,0.0392156862745098,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,23,200,1069,False
M4_GraphSAGE,weak_campaign,1.0,0.02,0.0392156862745098,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,23,200,1069,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,23,200,1104,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,23,200,1104,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,23,200,1104,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,5,1,0,computed,23,200,1104,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,37,200,1073,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.9690721649484536,1.0,0.0,0.0,1,1,1,computed,37,200,1073,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,37,200,1073,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.7092198581560284,1.0,0.0,0.0,1,1,1,computed,37,200,1073,False
M1_local_IF,weak_campaign,1.0,0.04,0.07692307692307693,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,37,200,1068,
M2_descriptor_clustering,weak_campaign,1.0,0.04,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,37,200,1068,False
M3_GCN,weak_campaign,1.0,0.04,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,37,200,1068,False
M4_GraphSAGE,weak_campaign,1.0,0.04,0.07692307692307693,1.0,1.0,1.0,0.7142857142857143,1.0,0.0,0.0,1,1,1,computed,37,200,1068,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,37,200,1098,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,37,200,1098,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,37,200,1098,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1,0,computed,37,200,1098,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,41,200,1087,
