window_id,vehicle_model,attack_type,label,source_file,start_frame_idx,end_frame_idx,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,mean_inter_arrival_time,std_inter_arrival_time,mean_dlc,std_dlc,byte_mean_0,byte_std_0,byte_mean_1,byte_std_1,byte_mean_2,byte_std_2,byte_mean_3,byte_std_3,byte_mean_4,byte_std_4,byte_mean_5,byte_std_5,byte_mean_6,byte_std_6,byte_mean_7,byte_std_7,block_id,split,source_trace,physical_vehicle,window_uid,anomaly_score,local_alert,weak_signal,message_rate,burstiness,payload_entropy
0,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,0,100,100.0,39.0,5.0643728206977165,0.05,0.00043515966396139125,0.0006607062237408288,7.5,1.1874342087037917,49.85,67.8134757994309,57.93,73.6045182037081,54.86,75.6945202772301,75.15,84.89762953110056,65.0,87.92165484853176,71.66666666666667,79.6629008872874,65.77906976744185,78.03076333755581,65.6829268292683,60.63201240284736,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::0::train,0.7874579124579124,0,1,100.0,1.5183041080189374,2.0714225303140688
1,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,50,150,100.0,47.0,5.303856189706917,0.04,0.000393869900944257,0.0006032484320936401,7.42,1.2820296408429874,53.16,72.94199339200979,61.37,75.89013835802383,46.55,72.41165306772109,71.46,86.05549604760873,54.13333333333333,80.52842148376354,62.59090909090909,79.60950667928428,51.023809523809526,70.12573337032293,68.3125,63.5624877089467,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::1::train,0.79503367003367,0,1,100.0,1.5315892355780185,2.069709168108231
2,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,100,200,100.0,45.0,5.2687584396665335,0.04,0.00039878758517178625,0.0006347366981044412,7.46,1.2362847568420472,56.76,75.95355422888385,60.55,74.17673152680698,42.42,69.00524327904365,72.45,87.76985530351523,58.72527472527472,83.8528362811721,65.12359550561797,81.81272396640193,55.56470588235294,75.94013850842123,75.54320987654322,74.2859090343163,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::2::train,0.43308080808080807,0,0,100.0,1.5916621530955193,2.0663551694236086
3,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,150,250,100.0,46.0,5.296307314686725,0.04,0.0003913556686555496,0.0006374049701862696,7.5,1.1874342087037917,52.43,71.50528022460999,58.93,75.91050717786042,44.35,71.51522565160512,65.58,80.66909941235245,56.94565217391305,83.27865274387874,65.97777777777777,82.69676572713345,57.25581395348837,78.08242306549752,73.82926829268293,74.526604331092,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::3::train,0.5437710437710438,0,0,100.0,1.628706040390174,2.069136040997972
4,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,200,300,100.0,47.0,5.316307314685282,0.04,0.000396909135760683,0.0006583855385083239,7.54,1.135077089893017,52.35,73.0427785616073,59.08,76.94370409591679,47.27,72.50046275714384,64.18,77.0722232714225,55.494623655913976,83.78487861824124,61.61538461538461,79.07122526186444,53.264367816091955,71.39471949469919,70.37349397590361,70.23518337825902,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::4::train,0.9351851851851852,1,0,100.0,1.6587773382166726,2.072384792994842
5,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,250,350,100.0,39.0,5.07292035042045,0.05,0.0004203319549560547,0.0006834210445490446,7.5,1.1874342087037917,52.34,75.64419607610355,67.54,80.87687184850809,48.88,67.57266903119928,76.94,85.82316936585364,65.06521739130434,91.5047877516498,71.27777777777777,82.74808192174847,59.44186046511628,74.3063433786518,80.07317073170732,76.16890417432296,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::5::train,0.43476430976430974,0,0,100.0,1.6259040279639636,2.066486634983468
6,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,300,400,100.0,39.0,5.07292035042045,0.05,0.0004162306737418127,0.0006553497444943573,7.46,1.2362847568420472,41.68,67.45278052089476,73.05,88.24356917079,53.02,73.57159506222493,79.22,87.12560817578262,60.97802197802198,89.96409271762269,74.0,86.15311689406134,61.37647058823529,77.21246112026954,92.69135802469135,80.68099688681095,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::6::train,0.7689393939393939,0,1,100.0,1.57448312042891,2.0538909782830315
7,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,350,450,100.0,36.0,4.95608360646894,0.05,0.00045484725875083844,0.0007512271917733563,7.4,1.2884098726725126,42.7,65.8070664898535,65.42,83.8994850997311,56.51,77.80289133444849,83.5,87.15027251821994,64.43333333333334,92.02439893854238,69.55681818181819,86.10113740597917,62.024096385542165,77.71510775634985,84.74683544303798,75.7451537246469,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::7::train,0.9886363636363636,1,0,100.0,1.651599577046796,2.0600801110702274
8,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,400,500,100.0,37.0,4.975084951766399,0.05,0.00042002128832267994,0.0006570793997307254,7.41,1.2497599769555754,44.13,66.35640963765294,54.01,73.9486977572966,57.42,79.45705506750171,84.7,88.35739923741532,70.31868131868131,94.9256364961286,66.02247191011236,86.37675216884445,59.6144578313253,79.15728301060943,78.84615384615384,70.86789387757335,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::8::train,0.9368686868686869,1,0,100.0,1.56439174300657,2.060500697089747
9,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,450,550,100.0,39.0,5.07292035042045,0.05,0.0004162427150841915,0.0006601721489368393,7.55,1.0897247358851685,39.71,62.888519620038764,56.09,73.90292213437841,56.99,80.47900285167555,80.31,88.57106694626636,64.14893617021276,92.0581404454409,66.96739130434783,86.5581547519601,59.98850574712644,79.08492369117184,81.8170731707317,69.44468373281532,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::9::train,0.9625420875420876,1,0,100.0,1.5860231038042452,2.0584814504607545
10,Challenge_D,attack_free,0,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_0.csv,500,600,100.0,42.0,5.172662034926494,0.05,0.0004086879768756905,0.0006326590315420222,7.5,1.1874342087037917,42.39,63.53107822160742,58.75,76.76540561997963,53.37,76.74694195862138,75.62,86.72978496456682,59.77173913043478,89.60955200211028,61.24444444444445,82.51293650911974,57.33720930232558,74.63315094593678,80.01219512195122,71.60928777177888,0,train,Pre_train_D_0.csv,Challenge_D,Challenge_D::Pre_train_D_0.csv::10::train,0.6738215488215489,0,1,100.0,1.5480207868059428,2.0627181532885994
