dim,scenario,bucket,n_pairs,mean,std,min,p25,median,p75,max,pct_ge_0_95
9d,strong_campaign,A_camp_camp,12250,0.9999877587159269,2.2524390730487407e-05,0.9998407864334027,0.9999881508704204,0.999996959090909,0.9999991026148407,0.9999999998621539,100.0
9d,strong_campaign,B_camp_benign,75000,0.9999712989375186,2.7137266955740833e-05,0.999762170136125,0.9999609858018681,0.9999790972882117,0.9999886962125201,0.9999999849787985,100.0
9d,strong_campaign,C_camp_unrelated,25000,0.9999487053395579,4.663793095470937e-05,0.9996538925669117,0.9999270830952615,0.9999576599635069,0.9999867458335717,1.0000000000000004,100.0
9d,strong_campaign,D_benign_benign,111750,0.9999882968290388,9.920001796908891e-06,0.9999115736904298,0.9999815107391942,0.9999901650428692,0.9999971302978811,0.9999999974713195,100.0
9d,strong_campaign,E_unrelated_unrelated,12250,0.9999459787739662,4.981019027309398e-05,0.9996762756392179,0.9999173284044977,0.9999562632440291,0.9999878161766989,0.9999999989469488,100.0
9d,weak_campaign,A_camp_camp,12250,0.999997078719611,3.5636004523491013e-06,0.9999762326113287,0.9999964676227429,0.9999983376744985,0.9999992625451928,0.9999999980153024,100.0
9d,weak_campaign,B_camp_benign,75000,0.9999862388566534,1.0253659984386263e-05,0.999904456392791,0.9999806799410549,0.999986871170401,0.9999951301699598,0.9999999920730259,100.0
9d,weak_campaign,C_camp_unrelated,25000,0.9999532633705772,3.877332407888448e-05,0.9997382349146029,0.9999335122254658,0.9999548481485695,0.9999862105603802,0.9999999381426037,100.0
9d,weak_campaign,D_benign_benign,111750,0.9999880528962248,1.0009986743732726e-05,0.999913483263294,0.999981519194691,0.9999897766620192,0.9999968734653573,0.9999999998802444,100.0
9d,weak_campaign,E_unrelated_unrelated,12250,0.9999459787739662,4.981019027309398e-05,0.9996762756392179,0.9999173284044977,0.9999562632440291,0.9999878161766989,0.9999999989469488,100.0
24d,strong_campaign,A_camp_camp,12250,0.9908914967747745,0.009304488547391843,0.9211973057432866,0.9888915412859871,0.9936861463348234,0.9967051366486595,0.9998544181387339,99.32244897959184
24d,strong_campaign,B_camp_benign,75000,0.9720339059688871,0.018352425020757904,0.8778585602756382,0.9660714953304431,0.9762073270010312,0.984485118642763,0.9994938664492383,87.25066666666666
24d,strong_campaign,C_camp_unrelated,25000,0.9515797474585942,0.03426865314735987,0.8295297211476395,0.9229255244775955,0.9503040331234971,0.9844524176373409,1.0000000000000004,50.13999999999999
24d,strong_campaign,D_benign_benign,111750,0.9840550730706762,0.010223529781858143,0.9227708575411676,0.9766827370346506,0.9860485555921741,0.992697640841657,0.9998553992020789,99.79060402684564
24d,strong_campaign,E_unrelated_unrelated,12250,0.9445736230591348,0.03417756065096469,0.8203532867751594,0.919643827818868,0.9364292885415237,0.9798840508758785,0.9999127375406686,38.69387755102041
24d,weak_campaign,A_camp_camp,12250,0.9935584746994389,0.0035455885193582098,0.9752501203747338,0.9913839018722432,0.9942163330543659,0.9962815190194061,0.9996587524066164,100.0
24d,weak_campaign,B_camp_benign,75000,0.9821832816350778,0.009626583761619182,0.9424717455593545,0.9751882291021989,0.9827901047188784,0.9905403733705244,0.9994978043771845,99.89866666666667
24d,weak_campaign,C_camp_unrelated,25000,0.9586000216379694,0.03087293221464923,0.8691326616598684,0.9294887715400479,0.9731385211443728,0.9871168440842779,0.999412127245097,55.023999999999994
24d,weak_campaign,D_benign_benign,111750,0.9839103704727216,0.01038504254867545,0.9247132709648953,0.9765941057975814,0.9860664648806885,0.9925504630463565,0.9997363202495108,99.71633109619687
24d,weak_campaign,E_unrelated_unrelated,12250,0.9445736230591348,0.03417756065096469,0.8203532867751594,0.919643827818868,0.9364292885415237,0.9798840508758785,0.9999127375406686,38.69387755102041
