seed,scenario,method,modes,n_pred,n_matched,clusters_json
11,strong_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 71, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 15, ""-1"": 56}, ""cohesion_9d"": 0.9999905822857638, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.14150943396226415, ""passed_gate"": true}]"
11,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 195, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 49, ""-1"": 146}, ""cohesion_9d"": 0.9999883033715823, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.25, ""passed_gate"": true}]"
11,strong_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 128, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 28, ""-1"": 100}, ""cohesion_9d"": 0.9999893144825232, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.18666666666666668, ""passed_gate"": true}]"
11,weak_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 75, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 21, ""-1"": 54}, ""cohesion_9d"": 0.999989656399717, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.20192307692307693, ""passed_gate"": true}]"
11,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 192, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 45, ""-1"": 147}, ""cohesion_9d"": 0.9999885977014551, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.22842639593908629, ""passed_gate"": true}]"
11,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 18, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_13"", ""veh_14"", ""veh_16"", ""veh_18"", ""veh_19""], ""n_vehicles"": 12, ""gt_composition"": {""0"": 10, ""-1"": 8}, ""cohesion_9d"": 0.9999893702355902, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.1724137931034483, ""passed_gate"": true}]"
23,strong_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 133, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 39, ""-1"": 94}, ""cohesion_9d"": 0.9999791030344611, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2708333333333333, ""passed_gate"": true}]"
23,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 188, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 43, ""-1"": 145}, ""cohesion_9d"": 0.9999745206597774, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2205128205128205, ""passed_gate"": true}]"
23,strong_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 121, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 37, ""-1"": 84}, ""cohesion_9d"": 0.9999824411670789, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.27611940298507465, ""passed_gate"": true}]"
23,weak_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 84, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 39, ""-1"": 45}, ""cohesion_9d"": 0.9999903799919726, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.4105263157894737, ""passed_gate"": true}]"
