feature,min,max,mean,std,median,mean_abs,mean_share_of_sq_norm,median_share_of_sq_norm
frame_count,100.0,100.0,100.0,0.0,100.0,100.0,0.1136699707604507,0.11202112448226191
byte_std_3,57.87094175836436,119.64645377110014,89.20358471843534,6.375479363473381,90.2433705711824,89.20358471843534,0.09094772074680454,0.08742125590086874
byte_std_0,47.33442299215234,109.90516639357772,87.57482306123401,10.646964389841537,90.38085923006754,87.57482306123401,0.08832239152083925,0.08608052565724561
byte_std_5,49.74266880656887,102.96031964198735,82.74591677186146,9.713636774551162,82.96127861258276,82.74591677186146,0.07720775218375187,0.07715866290685501
byte_std_4,29.077515368407937,100.13469349400664,80.52828586921551,8.817900121776896,82.54446521296056,80.52828586921551,0.07360175534122618,0.07374612294306611
byte_std_7,40.377829312631455,116.82264335307602,73.0561232876885,8.297160119301715,73.1162494764323,73.0561232876885,0.06039573543896996,0.05882659388833944
byte_mean_3,17.71,132.7,72.52702632962274,10.658249268176538,70.54267676767677,72.52702632962274,0.05919042292869679,0.05726036251457327
byte_std_1,32.64027420227961,97.17324940537904,71.86162193128698,12.478391135469934,73.056040507584,71.86162193128698,0.058371847265414306,0.05982606506121196
byte_mean_5,22.13,109.5568181818182,71.09433215687271,12.810001268656412,70.53191489361703,71.09433215687271,0.056872867802202604,0.05697918845181879
byte_std_6,18.96441667966616,95.33788682554204,67.2144262526646,10.261243405104263,66.13592758393565,67.2144262526646,0.051075889262709694,0.04874324788412591
byte_std_2,24.906697894341598,89.28062499781237,64.53231999442872,8.997684657957947,64.68182434038175,64.53231999442872,0.04727380996502592,0.0471380147194272
byte_mean_0,17.61,108.85,62.8713775,13.139177250783009,62.32,62.8713775,0.0460736404895394,0.04326326189755228
byte_mean_7,13.79,123.57,63.41656299735803,15.40323742882124,63.42490842490842,63.41656299735803,0.045993175361368474,0.04405488882030504
byte_mean_1,14.45,91.66,58.9874275,12.327619701598673,58.76,58.9874275,0.03929888216621209,0.03893094226975908
byte_mean_4,8.78,95.81,54.05616890738572,9.99786973301494,54.34444444444444,54.05616890738572,0.033559360528683795,0.0323621083881406
byte_mean_2,7.42,91.2,44.282225637497426,9.170053814820879,43.58585858585859,44.282225637497426,0.022367363726806137,0.021151202753507986
byte_mean_6,3.03,85.29,42.36653836442983,15.610919194191135,40.55554035567715,42.36653836442983,0.021707607360138277,0.018164070555206798
unique_can_id_count,17.0,67.0,33.2445,10.4878844268041,36.0,33.2445,0.013130724501760623,0.012697599544671624
mean_dlc,7.31,8.0,7.666295000000001,0.218323551123098,7.64,7.666295000000001,0.0006718389547344278,0.0006528339776082566
can_id_entropy,2.439412352157451,5.838562939548256,4.7752603835977405,0.44320306573176554,4.937082261171483,4.7752603835977405,0.0002564721280843628,0.0002520135300640048
std_dlc,0.0,1.394417441084269,0.8792699579342338,0.4616168769383658,1.0661846505876995,0.8792699579342338,1.0644217480395817e-05,1.2279454495113066e-05
most_common_can_id_ratio,0.04,0.62,0.0678075,0.06340558290679141,0.06,0.0678075,1.2733888675901406e-07,3.872846955610652e-08
std_inter_arrival_time,1.983232909142337e-05,0.003239209495249,0.0006519505008085523,0.0003238817613588706,0.00060720887130435,0.0006519505008085523,6.426185838951696e-12,4.147566785464093e-12
mean_inter_arrival_time,0.0002417997880415,0.0048649286982989,0.0004963211543631793,0.0002982058313139425,0.0004504485563798,0.0004963211543631793,3.787262930199569e-12,2.1581948804631003e-12
