seed,scenario,campaign_nodes,edges_between_campaign_nodes,cross_vehicle_campaign_edges,n_connected_components,largest_connected_campaign_component,mean_campaign_node_degree,pct_campaign_nodes_isolated
11,strong_campaign,50,170,103,1,50,6.8,0.0
11,weak_campaign,50,180,114,1,50,7.2,0.0
23,strong_campaign,50,233,166,1,50,9.32,0.0
23,weak_campaign,50,200,133,1,50,8.0,0.0
37,strong_campaign,50,227,159,1,50,9.08,0.0
37,weak_campaign,50,179,111,1,50,7.16,0.0
41,strong_campaign,50,212,145,1,50,8.48,0.0
41,weak_campaign,50,152,84,1,50,6.08,0.0
53,strong_campaign,50,224,157,1,50,8.96,0.0
53,weak_campaign,50,198,133,1,50,7.92,0.0
67,strong_campaign,50,171,106,1,50,6.84,0.0
67,weak_campaign,50,198,127,1,50,7.92,0.0
71,strong_campaign,50,166,107,1,50,6.64,0.0
71,weak_campaign,50,158,91,1,50,6.32,0.0
83,strong_campaign,50,186,122,1,50,7.44,0.0
83,weak_campaign,50,160,91,1,50,6.4,0.0
97,strong_campaign,50,201,135,1,50,8.04,0.0
97,weak_campaign,50,211,139,1,50,8.44,0.0
101,strong_campaign,50,203,137,1,50,8.12,0.0
101,weak_campaign,50,149,81,1,50,5.96,0.0
