seed,scenario,dbscan_id,size,vehicles,n_vehicles,gt_composition,cohesion,cross_vehicle,gate_passed_pre_merge,gate_fail_reasons,best_jaccard_vs_gt,best_gt_id,in_final_gated
11,strong_campaign,0,4,"[""veh_00"", ""veh_03"", ""veh_04""]",3,"{""0"": 4}",0.9999998001820353,True,True,[],0.08,0,True
11,strong_campaign,1,3,"[""veh_00"", ""veh_01"", ""veh_04""]",3,"{""0"": 3}",0.9999995807897637,True,True,[],0.06,0,True
11,strong_campaign,2,2,"[""veh_00""]",1,"{""0"": 2}",0.9999999859205332,False,False,"[""min_vehicles<2 (have 1)""]",0.04,0,False
11,strong_campaign,3,3,"[""veh_01"", ""veh_06"", ""veh_16""]",3,"{""0"": 1, ""-1"": 2}",0.9999996811779096,True,True,[],0.019230769230769232,0,True
11,strong_campaign,4,2,"[""veh_02"", ""veh_04""]",2,"{""0"": 2}",0.9999998866876991,True,True,[],0.04,0,True
11,strong_campaign,5,3,"[""veh_02"", ""veh_03"", ""veh_04""]",3,"{""0"": 3}",0.9999999490105544,True,True,[],0.06,0,True
11,strong_campaign,6,2,"[""veh_02"", ""veh_04""]",2,"{""0"": 2}",0.9999998287135075,True,True,[],0.04,0,True
11,strong_campaign,7,2,"[""veh_03""]",1,"{""0"": 2}",0.9999996327751642,False,False,"[""min_vehicles<2 (have 1)""]",0.04,0,False
11,strong_campaign,8,2,"[""veh_04""]",1,"{""0"": 2}",0.9999999415003127,False,False,"[""min_vehicles<2 (have 1)""]",0.04,0,False
11,strong_campaign,9,3,"[""veh_05"", ""veh_12"", ""veh_14""]",3,"{""-1"": 3}",0.9999998368643851,True,True,[],0.0,-1,True
11,strong_campaign,10,5,"[""veh_05"", ""veh_10"", ""veh_11"", ""veh_13"", ""veh_15""]",5,"{""-1"": 5}",0.9999997356479773,True,True,[],0.0,-1,True
11,strong_campaign,11,3,"[""veh_05"", ""veh_10"", ""veh_18""]",3,"{""-1"": 3}",0.9999998280006451,True,True,[],0.0,-1,True
11,strong_campaign,12,2,"[""veh_05"", ""veh_07""]",2,"{""-1"": 2}",0.9999999639855345,True,True,[],0.0,-1,True
11,strong_campaign,13,3,"[""veh_06"", ""veh_08"", ""veh_18""]",3,"{""-1"": 3}",0.9999997516419424,True,True,[],0.0,-1,True
11,strong_campaign,14,7,"[""veh_06"", ""veh_11"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_17""]",6,"{""-1"": 7}",0.9999997780142965,True,True,[],0.0,-1,True
11,strong_campaign,15,3,"[""veh_07"", ""veh_08"", ""veh_19""]",3,"{""-1"": 3}",0.9999999189769979,True,True,[],0.0,-1,True
11,strong_campaign,16,2,"[""veh_07"", ""veh_11""]",2,"{""-1"": 2}",0.9999998413891534,True,True,[],0.0,-1,True
11,strong_campaign,17,2,"[""veh_07"", ""veh_09""]",2,"{""-1"": 2}",0.9999999540986864,True,True,[],0.0,-1,True
11,strong_campaign,18,2,"[""veh_08"", ""veh_11""]",2,"{""-1"": 2}",0.9999996467995753,True,True,[],0.0,-1,True
11,strong_campaign,19,2,"[""veh_08"", ""veh_19""]",2,"{""-1"": 2}",0.9999999397548511,True,True,[],0.0,-1,True
11,strong_campaign,20,2,"[""veh_08"", ""veh_11""]",2,"{""-1"": 2}",0.9999999029499969,True,True,[],0.0,-1,True
11,strong_campaign,21,6,"[""veh_08"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_17"", ""veh_18""]",6,"{""-1"": 6}",0.9999996679982615,True,True,[],0.0,-1,True
11,strong_campaign,22,2,"[""veh_09"", ""veh_11""]",2,"{""-1"": 2}",0.9999996186878686,True,True,[],0.0,-1,True
11,strong_campaign,23,3,"[""veh_09"", ""veh_12"", ""veh_16""]",3,"{""-1"": 3}",0.9999998150199175,True,True,[],0.0,-1,True
11,strong_campaign,24,2,"[""veh_09"", ""veh_16""]",2,"{""-1"": 2}",0.9999999675969005,True,True,[],0.0,-1,True
11,strong_campaign,25,2,"[""veh_11"", ""veh_18""]",2,"{""-1"": 2}",0.9999996883871115,True,True,[],0.0,-1,True
11,strong_campaign,26,3,"[""veh_12"", ""veh_13"", ""veh_18""]",3,"{""-1"": 3}",0.9999999068819988,True,True,[],0.0,-1,True
11,weak_campaign,0,4,"[""veh_00"", ""veh_04""]",2,"{""0"": 4}",0.9999999525459011,True,True,[],0.08,0,True
11,weak_campaign,1,2,"[""veh_00"", ""veh_03""]",2,"{""0"": 2}",0.9999996355611083,True,True,[],0.04,0,True
11,weak_campaign,2,2,"[""veh_00"", ""veh_02""]",2,"{""0"": 2}",0.999999679553547,True,True,[],0.04,0,True
11,weak_campaign,3,2,"[""veh_00"", ""veh_03""]",2,"{""0"": 2}",0.9999998206904415,True,True,[],0.04,0,True
11,weak_campaign,4,9,"[""veh_00"", ""veh_01"", ""veh_03"", ""veh_04"", ""veh_15"", ""veh_18"", ""veh_19""]",7,"{""0"": 5, ""-1"": 4}",0.9999998547594063,True,True,[],0.09259259259259259,0,True
11,weak_campaign,5,2,"[""veh_01"", ""veh_05""]",2,"{""0"": 1, ""-1"": 1}",0.9999997735713623,True,True,[],0.0196078431372549,0,True
11,weak_campaign,6,2,"[""veh_01"", ""veh_07""]",2,"{""0"": 1, ""-1"": 1}",0.9999999245501373,True,True,[],0.0196078431372549,0,True
