seed,scenario,campaign_pairs_pct_ge_tau,campaign_pairs_n,benign_pairs_pct_ge_tau,benign_pairs_n,camp_vs_benign_pct_ge_tau,unrelated_mal_pairs_pct_ge_tau
11,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
11,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
23,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
23,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
37,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
37,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
41,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
41,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
53,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
53,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
67,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
67,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
71,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
71,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
83,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
83,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
97,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
97,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
101,strong_campaign,100.0,1225,100.0,11175,100.0,100.0
101,weak_campaign,100.0,1225,100.0,11175,100.0,100.0
