method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,n_nodes,n_graph_edges,is_unrelated
M1_local_IF,strong_campaign,0.3787878787878788,1.0,0.5494505494505494,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,11,200,899,
M2_descriptor_clustering,strong_campaign,0.3787878787878788,1.0,0.5494505494505494,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,899,False
M3_GCN,strong_campaign,0.3787878787878788,1.0,0.5494505494505494,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,899,False
M4_GraphSAGE,strong_campaign,0.3787878787878788,1.0,0.5494505494505494,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,899,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,11,200,920,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,920,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,920,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,11,200,920,False
M1_local_IF,unrelated_incidents,0.36496350364963503,1.0,0.5347593582887701,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,11,200,949,
M2_descriptor_clustering,unrelated_incidents,0.36496350364963503,1.0,0.5347593582887701,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,11,200,949,True
M3_GCN,unrelated_incidents,0.36496350364963503,1.0,0.5347593582887701,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,11,200,949,True
