event_id,window_id,vehicle_id,vehicle_model,physical_vehicle,source_file,source_trace,source_window_uid,attack_type,anomaly_score,evidence_level,local_alert,weak_signal,is_attack,gt_campaign_id,attack_family,scenario,seed,synthetic,frame_count,message_rate,burstiness,mean_inter_arrival_time,std_inter_arrival_time,can_id_entropy,most_common_can_id_ratio,payload_entropy
veh_00-w00,0,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::52::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.1493967306045223,0.000242840160023,3.627967536365814e-05,4.029707199213624,0.39,2.0369744248089705
veh_00-w01,1,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_2.csv,Pre_train_D_2.csv,Challenge_D::Pre_train_D_2.csv::184::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.4164861516320828,0.0002685243433172,0.0001118370868538,4.238630073479882,0.34,2.072264474490092
veh_00-w02,2,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::229::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.414494729884446,0.0002693238884511,0.0001116337468897,4.145569508555511,0.35,2.0579017142122584
veh_00-w03,3,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::163::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.3559335641398898,0.0002642039096716,9.40393951626944e-05,4.3163744485851705,0.34,2.0594662730090536
veh_00-w04,4,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::209::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.4434982450322138,0.0002838096233329,0.0001258695133696,4.084547813923747,0.36,2.0560832457544094
veh_00-w05,5,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_1.csv,Pre_train_S_1.csv,Challenge_S::Pre_train_S_1.csv::257::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.450226009817647,0.0002833737267388,0.0001275826725027,4.167194438984323,0.36,2.039946042947664
veh_00-w06,6,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::93::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.4389980680436444,0.0002861022949218,0.0001255987937316,4.0733208192020935,0.37,2.052059834826709
veh_00-w07,7,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::294::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.4000918921994722,0.0002694563432173,0.0001078076983148,4.288216133611758,0.35,2.0603563502155744
veh_00-w08,8,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_1.csv,Pre_train_S_1.csv,Challenge_S::Pre_train_S_1.csv::168::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,0.4536619748358313,0.000276091122868,0.0001252524976969,4.1304717585122415,0.35,2.0550954099563423
veh_00-w09,9,veh_00,veh_00,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/DoS_dataset/DoS_dataset.csv,DoS_dataset.csv,OCSLab_Car::DoS_dataset.csv::311::test,flooding,1.0,strong_local_anomaly,1,0,1,0,independent_0_flooding,unrelated_incidents,83,0,100.0,100.0,1.5178781492729467,0.0014299094074904,0.0021704297629477,2.7528169768396187,0.57,2.0085101893499098
veh_01-w00,0,veh_01,veh_01,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/RPM_dataset/RPM_dataset.csv,RPM_dataset.csv,OCSLab_Car::RPM_dataset.csv::193::test,malfunction_rpm,1.0,strong_local_anomaly,1,0,1,1,independent_1_malfunction_rpm,unrelated_incidents,83,0,100.0,100.0,0.7741838160018489,0.0003524549079663,0.0002728656598018,3.665960508750229,0.35,1.9280721633058624
veh_01-w01,1,veh_01,veh_01,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/RPM_dataset/RPM_dataset.csv,RPM_dataset.csv,OCSLab_Car::RPM_dataset.csv::366::test,malfunction_rpm,1.0,strong_local_anomaly,1,0,1,1,independent_1_malfunction_rpm,unrelated_incidents,83,0,100.0,100.0,0.7922355390446604,0.0003835745532103,0.0003038821851619,3.598614069354986,0.37,1.927811244862967
veh_01-w02,2,veh_01,veh_01,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/RPM_dataset/RPM_dataset.csv,RPM_dataset.csv,OCSLab_Car::RPM_dataset.csv::604::test,malfunction_rpm,1.0,strong_local_anomaly,1,0,1,1,independent_1_malfunction_rpm,unrelated_incidents,83,0,100.0,100.0,1.838305225036848,0.0008702422633315,0.0015997727380355,3.5591307003342445,0.37,1.9016974723434232
veh_01-w03,3,veh_01,veh_01,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/RPM_dataset/RPM_dataset.csv,RPM_dataset.csv,OCSLab_Car::RPM_dataset.csv::478::test,malfunction_rpm,0.9995939910678034,strong_local_anomaly,1,0,1,1,independent_1_malfunction_rpm,unrelated_incidents,83,0,100.0,100.0,1.5638304718618896,0.0004384252760145,0.0006856243700964,3.727217478938072,0.35,1.951704096544228
veh_01-w04,4,veh_01,veh_01,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/RPM_dataset/RPM_dataset.csv,RPM_dataset.csv,OCSLab_Car::RPM_dataset.csv::495::test,malfunction_rpm,1.0,strong_local_anomaly,1,0,1,1,independent_1_malfunction_rpm,unrelated_incidents,83,0,100.0,100.0,1.4895992318143207,0.0004526268352161,0.0006742340756357,3.6324876891401,0.36,1.9299352064691488
