event_id,window_id,vehicle_id,vehicle_model,physical_vehicle,source_file,source_trace,source_window_uid,attack_type,anomaly_score,evidence_level,local_alert,weak_signal,is_attack,gt_campaign_id,attack_family,scenario,seed,synthetic,frame_count,message_rate,burstiness,mean_inter_arrival_time,std_inter_arrival_time,can_id_entropy,most_common_can_id_ratio,payload_entropy
veh_00-w00,0,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::423::test,spoofing,0.6094276094276094,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,0.9477231114682564,0.000414313692035,0.0003926556090625,5.0316633802297215,0.08,2.057840195688093
veh_00-w01,1,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::324::test,spoofing,0.5959595959595959,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,0.9227980142882732,0.0004108987673364,0.0003791774893695,5.0316633802297215,0.08,2.060400593982612
veh_00-w02,2,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::391::test,spoofing,0.7588383838383839,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,0.9978772976688638,0.0003793528585722,0.0003785486032523,5.212243595123944,0.07,2.053008131878519
veh_00-w03,3,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::320::test,spoofing,0.7327441077441077,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,1.023765551733288,0.0003889401753743,0.0003981845769989,5.252243595121058,0.07,2.06354735523461
veh_00-w04,4,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::368::test,spoofing,0.6868686868686869,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,1.1187513238958164,0.0004329488735006,0.0004843632441593,5.01150325592113,0.07,2.060126187750356
veh_00-w05,5,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_2.csv,Pre_train_D_2.csv,Challenge_D::Pre_train_D_2.csv::330::test,spoofing,0.6426767676767676,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,1.4814938934673378,0.0003998086910055,0.0005923156157737,5.103856189715574,0.08,2.0704236588425133
veh_00-w06,6,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_2.csv,Pre_train_D_2.csv,Challenge_D::Pre_train_D_2.csv::540::test,spoofing,0.7984006734006734,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,1.6103672016333077,0.0003974967532687,0.0006401173445869,5.103856189715574,0.08,2.059480368515392
veh_00-w07,7,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_1.csv,Pre_train_S_1.csv,Challenge_S::Pre_train_S_1.csv::437::test,spoofing,0.6191077441077442,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,1.3822284598660757,0.0004258709724503,0.0005886523605801,4.990273725359875,0.05,2.053821396714312
veh_00-w08,8,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_1.csv,Pre_train_S_1.csv,Challenge_S::Pre_train_S_1.csv::441::test,spoofing,0.7319023569023569,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,1.405847943217953,0.0003944743763316,0.000554572396466,5.3002109099409145,0.05,2.046926942343174
veh_00-w09,9,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::349::test,spoofing,0.7487373737373737,weak_suspicious_signal,0,1,1,0,spoofing,weak_campaign,41,0,100.0,100.0,1.1461772867607796,0.0003814649100255,0.0004372275617448,5.410015409850049,0.05,2.0662904458609344
