seed,scenario,event_id,source_window_uid,source_trace,physical_vehicle,fleet_vehicle_id,is_attack,gt_campaign_id,anomaly_score,attack_type,attack_family
11,strong_campaign,veh_00-w00,Challenge_D::Pre_train_D_2.csv::416::test,Pre_train_D_2.csv,Challenge_D,veh_00,1,0,0.8232323232323232,spoofing,spoofing
11,strong_campaign,veh_00-w01,Challenge_S::Pre_train_S_1.csv::516::test,Pre_train_S_1.csv,Challenge_S,veh_00,1,0,0.88510101010101,spoofing,spoofing
11,strong_campaign,veh_00-w02,Challenge_S::Pre_train_S_2.csv::466::test,Pre_train_S_2.csv,Challenge_S,veh_00,1,0,0.9154040404040404,spoofing,spoofing
11,strong_campaign,veh_00-w03,Challenge_D::Pre_train_D_2.csv::454::test,Pre_train_D_2.csv,Challenge_D,veh_00,1,0,0.8274410774410774,spoofing,spoofing
11,strong_campaign,veh_00-w04,Challenge_D::Pre_train_D_2.csv::498::test,Pre_train_D_2.csv,Challenge_D,veh_00,1,0,0.8211279461279462,spoofing,spoofing
11,strong_campaign,veh_00-w05,Challenge_S::Pre_train_S_1.csv::391::test,Pre_train_S_1.csv,Challenge_S,veh_00,1,0,0.8657407407407407,spoofing,spoofing
11,strong_campaign,veh_00-w06,Challenge_S::Pre_train_S_2.csv::528::test,Pre_train_S_2.csv,Challenge_S,veh_00,1,0,0.8135521885521886,spoofing,spoofing
11,strong_campaign,veh_00-w07,Challenge_D::Pre_train_D_2.csv::535::test,Pre_train_D_2.csv,Challenge_D,veh_00,1,0,0.9612794612794612,spoofing,spoofing
11,strong_campaign,veh_00-w08,Challenge_S::Pre_train_S_2.csv::300::test,Pre_train_S_2.csv,Challenge_S,veh_00,1,0,0.8712121212121212,spoofing,spoofing
11,strong_campaign,veh_00-w09,Challenge_S::Pre_train_S_2.csv::379::test,Pre_train_S_2.csv,Challenge_S,veh_00,1,0,0.8855218855218855,spoofing,spoofing
11,strong_campaign,veh_01-w00,Challenge_S::Pre_train_S_2.csv::474::test,Pre_train_S_2.csv,Challenge_S,veh_01,1,0,0.9288720538720538,spoofing,spoofing
11,strong_campaign,veh_01-w01,Challenge_D::Pre_train_D_2.csv::499::test,Pre_train_D_2.csv,Challenge_D,veh_01,1,0,0.8712121212121212,spoofing,spoofing
11,strong_campaign,veh_01-w02,Challenge_D::Pre_train_D_1.csv::499::test,Pre_train_D_1.csv,Challenge_D,veh_01,1,0,0.8446969696969697,spoofing,spoofing
11,strong_campaign,veh_01-w03,Challenge_D::Pre_train_D_1.csv::482::test,Pre_train_D_1.csv,Challenge_D,veh_01,1,0,0.9692760942760944,spoofing,spoofing
11,strong_campaign,veh_01-w04,Challenge_D::Pre_train_D_2.csv::458::test,Pre_train_D_2.csv,Challenge_D,veh_01,1,0,0.9583333333333334,spoofing,spoofing
11,strong_campaign,veh_01-w05,Challenge_D::Pre_train_D_1.csv::400::test,Pre_train_D_1.csv,Challenge_D,veh_01,1,0,0.9061447811447813,spoofing,spoofing
11,strong_campaign,veh_01-w06,Challenge_S::Pre_train_S_2.csv::340::test,Pre_train_S_2.csv,Challenge_S,veh_01,1,0,0.9154040404040404,spoofing,spoofing
11,strong_campaign,veh_01-w07,Challenge_D::Pre_train_D_1.csv::577::test,Pre_train_D_1.csv,Challenge_D,veh_01,1,0,0.805976430976431,spoofing,spoofing
11,strong_campaign,veh_01-w08,Challenge_S::Pre_train_S_2.csv::358::test,Pre_train_S_2.csv,Challenge_S,veh_01,1,0,0.9936868686868688,spoofing,spoofing
11,strong_campaign,veh_01-w09,Challenge_S::Pre_train_S_2.csv::426::test,Pre_train_S_2.csv,Challenge_S,veh_01,1,0,0.8114478114478114,spoofing,spoofing
11,strong_campaign,veh_02-w00,Challenge_S::Pre_train_S_2.csv::308::test,Pre_train_S_2.csv,Challenge_S,veh_02,1,0,0.9671717171717172,spoofing,spoofing
11,strong_campaign,veh_02-w01,Challenge_D::Pre_train_D_2.csv::565::test,Pre_train_D_2.csv,Challenge_D,veh_02,1,0,0.8834175084175084,spoofing,spoofing
11,strong_campaign,veh_02-w02,Challenge_D::Pre_train_D_2.csv::473::test,Pre_train_D_2.csv,Challenge_D,veh_02,1,0,0.9444444444444444,spoofing,spoofing
11,strong_campaign,veh_02-w03,Challenge_D::Pre_train_D_2.csv::404::test,Pre_train_D_2.csv,Challenge_D,veh_02,1,0,0.8274410774410774,spoofing,spoofing
11,strong_campaign,veh_02-w04,Challenge_D::Pre_train_D_2.csv::494::test,Pre_train_D_2.csv,Challenge_D,veh_02,1,0,0.9179292929292928,spoofing,spoofing
