method,scenario,n_seeds,campaign_f1_mean,campaign_f1_std,membership_f1_mean,membership_f1_std,campaign_precision_mean,campaign_precision_std,campaign_recall_mean,campaign_recall_std,fragmentation_mean,fragmentation_std,incorrect_merge_rate_mean,incorrect_merge_rate_std,false_campaign_rate_mean,false_campaign_rate_std,local_f1_mean,local_f1_std,local_precision_mean,local_precision_std,local_recall_mean,local_recall_std,n_matched_campaigns_mean,n_matched_campaigns_std
M1_local_IF,strong_campaign,10,,,,,,,,,,,,,,,0.5593846806518276,0.02117790688162134,0.3885652611283385,0.020377842035085744,1.0,0.0,0.0,0.0
M1_local_IF,weak_campaign,10,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_local_IF,unrelated_incidents,10,,,,,,,,,,,,,,,0.5565943633033712,0.02546144765848725,0.3860016504709412,0.02455322773499064,1.0,0.0,0.0,0.0
M2_descriptor_clustering,strong_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5593846806518276,0.02117790688162134,0.3885652611283385,0.020377842035085744,1.0,0.0,0.0,0.0
M2_descriptor_clustering,weak_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M2_descriptor_clustering,unrelated_incidents,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399999999999999,0.08432740427115681,1.0,0.0,1.0,0.0,0.5565943633033712,0.02546144765848725,0.3860016504709412,0.02455322773499064,1.0,0.0,0.0,0.0
M3_GCN,strong_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5593846806518276,0.02117790688162134,0.3885652611283385,0.020377842035085744,1.0,0.0,0.0,0.0
M3_GCN,weak_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M3_GCN,unrelated_incidents,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5565943633033712,0.02546144765848725,0.3860016504709412,0.02455322773499064,1.0,0.0,0.0,0.0
M4_GraphSAGE,strong_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5593846806518276,0.02117790688162134,0.3885652611283385,0.020377842035085744,1.0,0.0,0.0,0.0
M4_GraphSAGE,weak_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M4_GraphSAGE,unrelated_incidents,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.3011090610836324,0.7,0.48304589153964794,1.0,0.0,0.5565943633033712,0.02546144765848725,0.3860016504709412,0.02455322773499064,1.0,0.0,0.0,0.0
