method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,is_unrelated
M1_local_if,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,11,
M2_descriptor_clustering,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,13.0,0.0,computed,11,False
M3_gcn,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,11,False
M4_graphsage,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,11,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",11,
M1_local_if,unrelated_incidents,0.3333333333333333,1.0,0.5,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,11,
M2_descriptor_clustering,unrelated_incidents,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,5.0,12.0,0.0,computed,11,True
M3_gcn,unrelated_incidents,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,11,True
M4_graphsage,unrelated_incidents,0.3333333333333333,1.0,0.5,0.3333333333333333,0.2,0.25,0.04504504504504505,1.0,0.6666666666666666,0.6666666666666666,5.0,3.0,1.0,computed,11,True
M1_local_if,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,23,
M2_descriptor_clustering,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,0.07692307692307693,1.0,0.14285714285714288,0.3424657534246575,3.0,0.0,0.9230769230769231,1.0,13.0,1.0,computed,23,False
M3_gcn,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,23,False
M4_graphsage,strong_campaign,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,23,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",23,
M1_local_if,unrelated_incidents,0.27472527472527475,1.0,0.4310344827586208,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,23,
M2_descriptor_clustering,unrelated_incidents,0.27472527472527475,1.0,0.4310344827586208,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,1.0,5.0,11.0,0.0,computed,23,True
M3_gcn,unrelated_incidents,0.27472527472527475,1.0,0.4310344827586208,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,23,True
M4_graphsage,unrelated_incidents,0.27472527472527475,1.0,0.4310344827586208,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,computed,23,True
M1_local_if,strong_campaign,0.30120481927710846,1.0,0.462962962962963,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,37,
M2_descriptor_clustering,strong_campaign,0.30120481927710846,1.0,0.462962962962963,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,14.0,0.0,computed,37,False
M3_gcn,strong_campaign,0.30120481927710846,1.0,0.462962962962963,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,37,False
M4_graphsage,strong_campaign,0.30120481927710846,1.0,0.462962962962963,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,37,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",37,
M1_local_if,unrelated_incidents,0.2808988764044944,1.0,0.4385964912280702,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,37,
M2_descriptor_clustering,unrelated_incidents,0.2808988764044944,1.0,0.4385964912280702,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,1.0,5.0,11.0,0.0,computed,37,True
M3_gcn,unrelated_incidents,0.2808988764044944,1.0,0.4385964912280702,0.5,0.2,0.28571428571428575,0.20833333333333331,1.0,1.0,0.5,5.0,2.0,1.0,computed,37,True
