source_file,source_basename,vehicle_model,attack_type,split,segment_id,segment_start,segment_end,n_frames_loaded,split_method,publication_source_file
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,Attack_free_HY_Sonata_train.csv,Hyundai,attack_free,train,Hyundai::Attack_free_HY_Sonata_train.csv::train,0,301800,301800,contiguous_segment,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,Attack_free_HY_Sonata_train.csv,Hyundai,attack_free,validation,Hyundai::Attack_free_HY_Sonata_train.csv::seg_val,301900,366450,64550,contiguous_segment,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,Attack_free_HY_Sonata_train.csv,Hyundai,attack_free,test,Hyundai::Attack_free_HY_Sonata_train.csv::seg_test,366550,431100,64550,contiguous_segment,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv,Fuzzy_dataset_HY_Sonata_train.csv,Hyundai,fuzzy,train,Hyundai::Fuzzy_dataset_HY_Sonata_train.csv::full_trace,0,403250,403250,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv,Malfunction_1st_dataset_HY_Sonata_train.csv,Hyundai,malfunction,validation,Hyundai::Malfunction_1st_dataset_HY_Sonata_train.csv::full_trace,0,285450,285450,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv,Malfunction_2nd_HY_Sonata_train.csv,Hyundai,malfunction,train,Hyundai::Malfunction_2nd_HY_Sonata_train.csv::full_trace,0,419650,419650,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv,Replay_dataset_HY_Sonata_train.csv,Hyundai,replay,train,Hyundai::Replay_dataset_HY_Sonata_train.csv::full_trace,0,530600,530600,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv,Attack_free_HYUNDAI_Sonata_train.csv,Hyundai,attack_free,train,Hyundai::Attack_free_HYUNDAI_Sonata_train.csv::full_trace,0,117150,117150,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv,Flooding_HYUNDAI_Sonata_train.csv,Hyundai,flooding,train,Hyundai::Flooding_HYUNDAI_Sonata_train.csv::full_trace,0,96000,96000,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv,Fuzzy_HYUNDAI_Sonata_train.csv,Hyundai,fuzzy,test,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace,0,88000,88000,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv,Malfunction_HYUNDAI_Sonata_train.csv,Hyundai,malfunction,train,Hyundai::Malfunction_HYUNDAI_Sonata_train.csv::full_trace,0,87000,87000,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,Attack_free_KIA_Soul_train.csv,Kia,attack_free,train,Kia::Attack_free_KIA_Soul_train.csv::train,0,331300,331300,contiguous_segment,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,Attack_free_KIA_Soul_train.csv,Kia,attack_free,validation,Kia::Attack_free_KIA_Soul_train.csv::seg_val,331400,402250,70850,contiguous_segment,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,Attack_free_KIA_Soul_train.csv,Kia,attack_free,test,Kia::Attack_free_KIA_Soul_train.csv::seg_test,402350,473200,70850,contiguous_segment,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv,Fuzzy_dataset_KIA_Soul_train.csv,Kia,fuzzy,test,Kia::Fuzzy_dataset_KIA_Soul_train.csv::full_trace,0,460000,460000,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv,Malfunction_1st_dataset_KIA_Soul_train.csv,Kia,malfunction,train,Kia::Malfunction_1st_dataset_KIA_Soul_train.csv::full_trace,0,267350,267350,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv
/workspace/Dataset/ocslab_pipeline/_source_car_track/car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv,Malfunction_2nd_KIA_Soul_train.csv,Kia,malfunction,train,Kia::Malfunction_2nd_KIA_Soul_train.csv::full_trace,0,400500,400500,complete_trace,/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv
