method,scenario,n_seeds,campaign_f1_mean,campaign_f1_std,membership_f1_mean,membership_f1_std,campaign_precision_mean,campaign_precision_std,campaign_recall_mean,campaign_recall_std,fragmentation_mean,fragmentation_std,incorrect_merge_rate_mean,incorrect_merge_rate_std,false_campaign_rate_mean,false_campaign_rate_std,local_f1_mean,local_f1_std,local_precision_mean,local_precision_std,local_recall_mean,local_recall_std,n_matched_campaigns_mean,n_matched_campaigns_std
M1_local_IF,strong_campaign,10,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
M1_local_IF,weak_campaign,10,,,,,,,,,,,,,,,0.04949770909815304,0.050487087471546725,0.6,0.5163977794943223,0.026000000000000002,0.026749870196985173,0.0,0.0
M1_local_IF,unrelated_incidents,10,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
M2_descriptor_clustering,strong_campaign,10,1.0,0.0,0.9814619474781479,0.015388439965251226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
M2_descriptor_clustering,weak_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04949770909815304,0.050487087471546725,0.6,0.5163977794943223,0.026000000000000002,0.026749870196985173,0.0,0.0
M2_descriptor_clustering,unrelated_incidents,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.31622776601683794,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
M3_GCN,strong_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
M3_GCN,weak_campaign,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04949770909815304,0.050487087471546725,0.6,0.5163977794943223,0.026000000000000002,0.026749870196985173,0.0,0.0
M3_GCN,unrelated_incidents,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.12649110640673517,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
M4_GraphSAGE,strong_campaign,10,0.6,0.5163977794943223,0.5425279289298184,0.4741628686669698,0.6,0.5163977794943223,0.6,0.5163977794943223,1.0,0.0,0.0,0.0,0.4,0.5163977794943223,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5163977794943223
M4_GraphSAGE,weak_campaign,10,0.5,0.5270462766947299,0.42549032712644796,0.4540969361865945,0.5,0.5270462766947299,0.5,0.5270462766947299,1.0,0.0,0.0,0.0,0.5,0.5270462766947299,0.04949770909815304,0.050487087471546725,0.6,0.5163977794943223,0.026000000000000002,0.026749870196985173,0.5,0.5270462766947299
M4_GraphSAGE,unrelated_incidents,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06324555320336758,0.0,0.0,0.6,0.5163977794943222,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
