artifact,metric,dataset,scenario,value,source_file,source_column,notes
CORR_EFF1,campaign_f1,CTT,Benign-Fleet Control,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,
CORR_EFF1,false_campaign,CTT,Benign-Fleet Control,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,
CORR_EFF1,incorrect_merge_rate,CTT,Benign-Fleet Control,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,incorrect_merge_rate,
CORR_EFF1,campaign_f1,CTT,Isolated Single-Vehicle Attack,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,
CORR_EFF1,false_campaign,CTT,Isolated Single-Vehicle Attack,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,
CORR_EFF1,incorrect_merge_rate,CTT,Isolated Single-Vehicle Attack,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,incorrect_merge_rate,
CORR_EFF1,campaign_f1,CTT,Unrelated Multi-Vehicle Incidents,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,
CORR_EFF1,false_campaign,CTT,Unrelated Multi-Vehicle Incidents,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,
CORR_EFF1,incorrect_merge_rate,CTT,Unrelated Multi-Vehicle Incidents,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,incorrect_merge_rate,
CORR_EFF1,campaign_f1,CTT,Strong Behaviourally Related Campaign,1.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,
CORR_EFF1,false_campaign,CTT,Strong Behaviourally Related Campaign,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,
CORR_EFF1,incorrect_merge_rate,CTT,Strong Behaviourally Related Campaign,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,incorrect_merge_rate,
CORR_EFF1,campaign_f1,OCSLab,Strong Behaviourally Related Campaign,0.6944444444444445,tmp_corr_eff_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,campaign_f1,S3
CORR_EFF1,campaign_f1,CTT,Weak Behaviourally Related Campaign,1.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,
CORR_EFF1,false_campaign,CTT,Weak Behaviourally Related Campaign,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,
CORR_EFF1,incorrect_merge_rate,CTT,Weak Behaviourally Related Campaign,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,incorrect_merge_rate,
CORR_EFF1,campaign_f1,OCSLab,Weak Behaviourally Related Campaign,0.6666666666666666,tmp_corr_eff_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,campaign_f1,S4
CORR_EFF2,campaign_f1,OCSLab,Strong Behaviourally Related Campaign,0.6944444444444445,tmp_corr_eff_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,campaign_f1,
CORR_EFF2,campaign_f1,OCSLab,Weak Behaviourally Related Campaign,0.6666666666666666,tmp_corr_eff_sources/new_experiments/final_publication_scenarios/results/scenarios/scenario_safety_metrics.csv,campaign_f1,
CORR_EFF2,fleet_campaign_detected,CTT,Strong Behaviourally Related Campaign,1.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,fleet_campaign_detected,
CORR_EFF2,fleet_campaign_detected,CTT,Weak Behaviourally Related Campaign,1.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,fleet_campaign_detected,
CORR_EFF2,fleet_campaign_detected,CTT,Isolated Single-Vehicle Attack,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,fleet_campaign_detected,
CORR_EFF2,fleet_campaign_detected,CTT,Unrelated Multi-Vehicle Incidents,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,fleet_campaign_detected,
CORR_EFF3,unrelated_incorrect_merge_rate,CTT,without,1.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/results/ctt_corrected_200_node_scenario_runs.csv,incorrect_merge_rate,
CORR_EFF3,unrelated_incorrect_merge_rate,CTT,with,0.0,tmp_corr_eff_sources/new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/results/ctt_corrected_200_node_scenario_runs.csv,incorrect_merge_rate,
