comparison_artifact,metric,dataset,value,source_file,source_column,notes
COMP1,vehicles,can-train-and-test,4,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT1_dataset_summary.csv,Vehicle,
COMP1,manufacturers,can-train-and-test,2,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT1_dataset_summary.csv,Manufacturer,
COMP1,attack_families,can-train-and-test,9,new_experiments/can_train_and_test_cross_dataset_validation/full/CTT_PUBLICATION_KEY_NUMBERS.csv,attack_types,
COMP2,precision,can-train-and-test,0.0227381522259454,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,precision,
COMP2,recall,can-train-and-test,0.25,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,recall,
COMP2,F1,can-train-and-test,0.0416849495392716,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,F1,
COMP2,ROC-AUC,can-train-and-test,0.9943655718265852,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,ROC-AUC,
COMP2,PR-AUC,can-train-and-test,0.0977662239144662,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,PR-AUC,
COMP2,FPR,can-train-and-test,0.1737739299035702,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT3_local_detection_by_subset.csv,FPR,
COMP2,candidate_transmission_rate,can-train-and-test,0.2581162211984207,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,candidate_transmission_rate,
COMP3,raw window size,can-train-and-test,1600.0,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,raw_window_bytes,
COMP3,descriptor size,can-train-and-test,482.25861999999995,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,mean_descriptor_bytes,
COMP3,compression ratio,can-train-and-test,3.317721931025308,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,compression_ratio,
COMP3,bandwidth reduction,can-train-and-test,0.6985883625,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,bandwidth_reduction,
COMP3,candidate transmission rate,can-train-and-test,0.2581162211984207,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT5_descriptor_compactness.csv,candidate_rate,
COMP4,nodes,can-train-and-test,100000.0,new_experiments/can_train_and_test_cross_dataset_validation/full/set_XX/graph/*_graph_statistics.csv,num_nodes,
COMP4,edges,can-train-and-test,719943.25,new_experiments/can_train_and_test_cross_dataset_validation/full/set_XX/graph/*_graph_statistics.csv,num_edges,
COMP4,average_degree,can-train-and-test,14.408101075419879,new_experiments/can_train_and_test_cross_dataset_validation/full/set_XX/graph/*_graph_statistics.csv,average_degree,
COMP4,cross_vehicle_edge_pct,can-train-and-test,0.27503967745555424,new_experiments/can_train_and_test_cross_dataset_validation/full/set_XX/graph/*_graph_statistics.csv,cross_vehicle_edge_pct,
COMP4,connected_components,can-train-and-test,78.5,new_experiments/can_train_and_test_cross_dataset_validation/full/set_XX/graph/*_graph_statistics.csv,connected_components,
COMP4,largest_component,can-train-and-test,75401.25,new_experiments/can_train_and_test_cross_dataset_validation/full/set_XX/graph/*_graph_statistics.csv,largest_component,
COMP4,isolated_node_rate,can-train-and-test,0.0006475000000000001,new_experiments/can_train_and_test_cross_dataset_validation/full/set_XX/graph/*_graph_statistics.csv,isolated_node_rate,
COMP5,Benign-Fleet Control,can-train-and-test,false_campaign=0; fleet_campaign=0; campaign_F1=0; incorrect_merge=0; membership_F1=0,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,,
COMP5,Isolated Single-Vehicle Attack,can-train-and-test,false_campaign=0; fleet_campaign=0; campaign_F1=0; incorrect_merge=0; membership_F1=1,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,,
COMP5,Unrelated Multi-Vehicle Incidents,can-train-and-test,false_campaign=0; fleet_campaign=0; campaign_F1=0; incorrect_merge=1; membership_F1=1,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,,
COMP5,Strong Behaviourally Related Campaign,can-train-and-test,false_campaign=0; fleet_campaign=1; campaign_F1=1; incorrect_merge=0; membership_F1=1,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,,
COMP5,Weak Behaviourally Related Campaign,can-train-and-test,false_campaign=0; fleet_campaign=1; campaign_F1=1; incorrect_merge=0; membership_F1=1,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT7_scenario_results.csv,,
COMP6,size_1_detection,can-train-and-test,0.0,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT8_campaign_size_sensitivity.csv,fleet_campaign_detected,
COMP6,size_1_f1,can-train-and-test,0.0,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT8_campaign_size_sensitivity.csv,campaign_f1,
COMP6,size_2_detection,can-train-and-test,1.0,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT8_campaign_size_sensitivity.csv,fleet_campaign_detected,
COMP6,size_2_f1,can-train-and-test,0.8,new_experiments/can_train_and_test_cross_dataset_validation/full/pooled/tables/table_CTT8_campaign_size_sensitivity.csv,campaign_f1,
