source_file,vehicle_model,attack_type,split,segment_id,segment_start,segment_end,guard_start,guard_end,row_count,window_count,overlap_count,validation_status,split_method
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,Hyundai,attack_free,train,Hyundai::Attack_free_HY_Sonata_train.csv::train,0,301800,301800,301900,,6035,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,Hyundai,attack_free,validation,Hyundai::Attack_free_HY_Sonata_train.csv::seg_val,301900,366450,366450,366550,,1290,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_HY_Sonata_train.csv,Hyundai,attack_free,test,Hyundai::Attack_free_HY_Sonata_train.csv::seg_test,366550,431100,,,,1290,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_HY_Sonata_train.csv,Hyundai,fuzzy,train,Hyundai::Fuzzy_dataset_HY_Sonata_train.csv::full_trace,0,403250,,,,8064,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_HY_Sonata_train.csv,Hyundai,malfunction,validation,Hyundai::Malfunction_1st_dataset_HY_Sonata_train.csv::full_trace,0,285450,,,,5708,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_HY_Sonata_train.csv,Hyundai,malfunction,train,Hyundai::Malfunction_2nd_HY_Sonata_train.csv::full_trace,0,419650,,,,8392,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv,Hyundai,replay,train,Hyundai::Replay_dataset_HY_Sonata_train.csv::full_trace,0,530600,,,,10611,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_HYUNDAI_Sonata_train.csv,Hyundai,attack_free,train,Hyundai::Attack_free_HYUNDAI_Sonata_train.csv::full_trace,0,117150,,,,2342,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_HYUNDAI_Sonata_train.csv,Hyundai,flooding,train,Hyundai::Flooding_HYUNDAI_Sonata_train.csv::full_trace,0,96000,,,,1919,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_HYUNDAI_Sonata_train.csv,Hyundai,fuzzy,test,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace,0,88000,,,,1759,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv,Hyundai,malfunction,train,Hyundai::Malfunction_HYUNDAI_Sonata_train.csv::full_trace,0,87000,,,,1739,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,Kia,attack_free,train,Kia::Attack_free_KIA_Soul_train.csv::train,0,331300,331300,331400,,6625,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,Kia,attack_free,validation,Kia::Attack_free_KIA_Soul_train.csv::seg_val,331400,402250,402250,402350,,1416,12,pass,contiguous_segment
