unique_edges,seed,similarity_threshold,max_cross_vehicle_neighbors,max_same_vehicle_neighbors,campaign_precision,campaign_recall,campaign_f1,membership_precision,fragmentation,incorrect_merging,false_campaign_rate,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
292.0,58.4,0.95,3.0,2.0,0.4,0.5,0.4333333333333333,0.5,0.2,0.0,0.2,0.11016505002044141,0.08291462080087512,0.2572350832168013,1.2007124900817872
341.0,58.4,0.95,3.0,2.0,1.0,1.0,1.0,0.9380952380952381,0.0,0.0,0.0,0.10069504170678556,0.07220227072248235,0.24333007090026512,1.2167726516723634
346.0,58.4,0.95,5.0,2.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.12007299158722162,0.07255824580788613,0.25842128751100973,1.2084057807922364
422.0,58.4,0.95,5.0,2.0,1.0,1.0,1.0,0.9714285714285715,0.0,0.0,0.0,0.11078355829231441,0.07604585840599612,0.28384013737086206,1.2308196067810058
437.0,58.4,0.9,3.0,2.0,0.8,0.9,0.8333333333333333,0.9,0.2,0.0,0.2,0.10157076648902148,0.07464214580832049,0.24615014580776914,1.2403104782104493
475.0,58.4,0.925,6.5,2.0,0.7,0.75,0.7166666666666667,0.7,0.1,0.0,0.1,0.12312185607734136,0.07471786860260181,0.2713543937948998,1.2528761386871339
504.0,58.4,0.85,3.0,2.0,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.11236627491889521,0.07871561240172013,0.2642529751290567,1.257361888885498
527.0,58.4,0.9,5.0,2.0,0.45,0.6,0.5,0.6,0.3,0.0,0.3,0.11252215843414888,0.08968601247761399,0.27605951252626254,1.2533621788024902
555.0,58.4,0.8,3.0,2.0,0.65,0.7,0.6666666666666666,0.7,0.1,0.0,0.1,0.10434230820974336,0.0791484749992378,0.2595333708217368,1.2703511238098144
576.0,58.4,0.85,3.0,2.0,0.85,1.0,0.9,0.8217948717948719,0.3,0.0,0.3,0.10197267067851498,0.07886077509028837,0.263948758400511,1.2765865325927734
580.0,58.4,0.9,5.0,2.0,0.7,0.9,0.7666666666666666,0.664044289044289,0.4,0.0,0.4,0.11289374171756208,0.07987599988700822,0.27385797931347045,1.2712800979614258
590.0,58.4,0.95,10.0,2.0,1.0,1.0,1.0,0.9714285714285715,0.0,0.0,0.0,0.14429626648779958,0.08789628740632907,0.3280359792872332,1.2851348876953126
