run_id,test_condition,seed,similarity_threshold,max_cross_vehicle_neighbors,max_same_vehicle_neighbors,unique_edges,campaign_precision,campaign_recall,campaign_f1,membership_precision,fragmentation,incorrect_merging,false_campaign_rate,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
edge_Strong_Coordinated_Campaign_seed11_tau0.75_k3,Strong Coordinated Campaign,11,0.75,3,2,670.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.10529683390632272,0.07895449991337955,0.26560958405025303,1.3023948669433594
edge_Strong_Coordinated_Campaign_seed11_tau0.75_k5,Strong Coordinated Campaign,11,0.75,5,2,912.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.1116849590325728,0.07893995789345354,0.39650475000962615,1.3661422729492188
edge_Strong_Coordinated_Campaign_seed11_tau0.75_k10,Strong Coordinated Campaign,11,0.75,10,2,1368.0,0.0,0.0,0.0,0.0,0,0,0.0,0.14226366707589477,0.09413687500637025,0.3459749589674175,1.4891357421875
edge_Strong_Coordinated_Campaign_seed11_tau0.75_k20,Strong Coordinated Campaign,11,0.75,20,2,1886.0,0.0,0.0,0.0,0.0,0,0,0.0,0.19376570801250637,0.10081283294130117,0.4266585420118645,1.7973136901855469
edge_Strong_Coordinated_Campaign_seed11_tau0.80_k3,Strong Coordinated Campaign,11,0.8,3,2,644.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.10543345892801881,0.09013291692826897,0.28344925004057586,1.2933740615844727
edge_Strong_Coordinated_Campaign_seed11_tau0.80_k5,Strong Coordinated Campaign,11,0.8,5,2,857.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.12406262499280274,0.08048762509133667,0.30430887499824166,1.349879264831543
edge_Strong_Coordinated_Campaign_seed11_tau0.80_k10,Strong Coordinated Campaign,11,0.8,10,2,1205.0,0.0,0.0,0.0,0.0,0,0,0.0,0.24053187493700534,0.1066207499243319,0.45867016597185284,1.4454116821289062
edge_Strong_Coordinated_Campaign_seed11_tau0.80_k20,Strong Coordinated Campaign,11,0.8,20,2,1643.0,0.0,0.0,0.0,0.0,0,0,0.0,0.19513279106467962,0.10543916700407863,0.4251939579844475,1.649505615234375
edge_Strong_Coordinated_Campaign_seed11_tau0.85_k3,Strong Coordinated Campaign,11,0.85,3,2,576.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.10526329092681408,0.08037108299322426,0.26918850000947714,1.2759428024291992
edge_Strong_Coordinated_Campaign_seed11_tau0.85_k5,Strong Coordinated Campaign,11,0.85,5,2,747.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.11235454096458852,0.08156083291396499,0.28215608291793615,1.3176145553588867
edge_Strong_Coordinated_Campaign_seed11_tau0.85_k10,Strong Coordinated Campaign,11,0.85,10,2,996.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.1364569169236347,0.08482570806518197,0.3232838329859078,1.389984130859375
edge_Strong_Coordinated_Campaign_seed11_tau0.85_k20,Strong Coordinated Campaign,11,0.85,20,2,1371.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.1953945840941742,0.10418929206207395,0.41085116600152105,1.4982547760009766
