run_id,seed,campaign_size,fleet_size,total_nodes,experiment_group,method,framework_config,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,n_true_campaign_clusters,n_predicted_campaign_clusters,false_campaign_cluster_count,missed_campaign_count,membership_precision,membership_recall,membership_f1,membership_purity,completeness,attacked_vehicles_correctly_included,attacked_vehicles_missed,benign_vehicles_included,predicted_campaign_size,true_campaign_size,fragmentation_rate,fragments_per_true_campaign,incorrect_merging_rate,unrelated_clusters_merged,dbscan_noise_percentage,largest_cluster_size,connected_component_count,unique_edges,pyg_stored_edges,average_degree,median_degree,graph_density,isolated_node_percentage,cross_vehicle_edges,cross_vehicle_edge_percentage,largest_connected_component,graph_build_time,gnn_inference_time,clustering_time,end_to_end_latency,peak_memory,total_descriptors,candidate_nodes,malicious_candidates,benign_candidates,weak_malicious_candidates,strong_malicious_candidates,benign_below_threshold,candidate_precision,candidate_recall,correctly_filtered_benign,benign_incorrectly_promoted,source_windows,malicious_source_windows,benign_source_windows,clearly_benign_filtered,scenario_id,attack_strength,expect_campaign,graph_nodes,candidate_transmission_rate,transmission_percentage,strong_candidates,weak_candidates,same_vehicle_edges,incorrect_merging,false_campaign_rate,local_detection_rate,malicious_cross_vehicle_edge_purity,test_condition,scenario_key
benign_fleet_cs0_seed11_20260614T201936,11,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,67.0,6,83,150.0,,1.5,,0.007537688442211055,27.5,0.0,0.0,14,0.05880958400666714,0.07154312508646399,0.032810166012495756,0.2069102090317756,1.212137222290039,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,150.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed23_20260614T201937,23,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,66.5,9,103,122.0,,1.22,,0.006130653266331658,37.5,0.0,0.0,23,0.05853070900775492,0.06926229095552117,0.02974583301693201,0.20109366695396602,1.2101449966430664,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,122.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed37_20260614T201937,37,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,70.5,6,84,153.0,,1.53,,0.007688442211055277,27.5,0.0,0.0,21,0.05935687501914799,0.0708179579814896,0.034102250006981194,0.20655108301434666,1.2196121215820312,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,153.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed41_20260614T201937,41,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,74.0,5,98,134.0,,1.34,,0.0067336683417085425,35.5,0.0,0.0,16,0.06035908299963921,0.06885325000621378,0.0292531669838354,0.19999024993740022,1.212601661682129,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,134.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed53_20260614T201938,53,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,64.5,8,84,156.0,,1.56,,0.007839195979899497,29.5,0.0,0.0,30,0.061326000024564564,0.07057700003497303,0.03234033298213035,0.20692837494425476,1.2174921035766602,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,156.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed67_20260614T201938,67,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,85.0,6,86,142.0,,1.42,,0.007135678391959799,27.5,0.0,0.0,20,0.05671512498520315,0.06851133401505649,0.020688541932031512,0.1878564590588212,1.2162322998046875,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,142.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed71_20260614T201938,71,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,73.0,9,79,151.0,,1.51,,0.007587939698492462,27.5,0.0,0.0,22,0.06144337507430464,0.06986829196102917,0.028443582938052714,0.2038502920186147,1.2188587188720703,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,151.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed83_20260614T201939,83,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,74.5,7,104,122.0,,1.22,,0.006130653266331658,35.0,0.0,0.0,17,0.05971383396536112,0.06917295802850276,0.027052292018197477,0.1974524580873549,1.2115535736083984,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,122.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed97_20260614T201939,97,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,77.0,5,92,140.0,,1.4,,0.007035175879396985,29.5,0.0,0.0,18,0.05639887508004904,0.07077274995390326,0.02779970900155604,0.19390333292540163,1.2153997421264648,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,140.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
benign_fleet_cs0_seed101_20260614T201939,101,5,20,200,Benign-Fleet Control,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,5,0.0,0.0,0.0,0,78.0,5,94,135.0,,1.35,,0.0067839195979899495,31.0,0.0,0.0,30,0.05693408299703151,0.06977295898832381,0.024818249978125095,0.19331804104149342,1.2149076461791992,200,200,0,200,0,0,0,0.0,0.0,0,200,200,0,200,0,Benign-Fleet Control,n/a,0,200,1.0,100.0,0,0,135.0,0.0,0.0,0.0,,Benign-Fleet Control,benign_fleet
