attack_strength,campaign_size,metric,mean,ci95_low,ci95_high,n
strong,2,campaign_f1,0.6,0.2305912822108201,0.9694087177891799,10
strong,2,campaign_precision,0.6,0.2305912822108201,0.9694087177891799,10
strong,2,false_campaign_alert_rate,0.9,0.6737842837201795,1.1262157162798205,10
strong,5,campaign_f1,0.5,0.12297380620029918,0.8770261937997008,10
strong,5,campaign_precision,0.5,0.12297380620029918,0.8770261937997008,10
strong,5,false_campaign_alert_rate,1.0,1.0,1.0,10
strong,10,campaign_f1,0.3,-0.045550214413643764,0.6455502144136438,10
strong,10,campaign_precision,0.3,-0.045550214413643764,0.6455502144136438,10
strong,10,false_campaign_alert_rate,1.0,1.0,1.0,10
weak,2,campaign_f1,0.6,0.2305912822108201,0.9694087177891799,10
weak,2,campaign_precision,0.6,0.2305912822108201,0.9694087177891799,10
weak,2,false_campaign_alert_rate,0.7,0.3544497855863562,1.0455502144136437,10
weak,5,campaign_f1,0.8,0.4983790449602394,1.1016209550397607,10
weak,5,campaign_precision,0.8,0.4983790449602394,1.1016209550397607,10
weak,5,false_campaign_alert_rate,1.0,1.0,1.0,10
weak,10,campaign_f1,0.9,0.6737842837201795,1.1262157162798205,10
weak,10,campaign_precision,0.9,0.6737842837201795,1.1262157162798205,10
weak,10,false_campaign_alert_rate,1.0,1.0,1.0,10
