method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,experiment,attack_strength,attacked_model_diversity,total_fleet_size,expected_total_nodes,descriptors_per_vehicle,graph_nodes,attacked_vehicle_count,platform_composition,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,graph_unique_undirected_edges,graph_pyg_stored_edges,graph_directed_status,graph_average_degree,graph_median_degree,graph_graph_density,graph_isolated_nodes,graph_isolated_node_percentage,graph_connected_components,graph_largest_component_size,graph_cross_vehicle_edges,graph_same_vehicle_edges,graph_cross_vehicle_edge_percentage,graph_similarity_threshold,graph_top_k_same_vehicle,graph_top_k_cross_vehicle,graph_graph_construction_time_sec,run_id,runtime_local_ids_sec,framework_config
fcgnn,71,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2478947368421052,0.034460707147154,10,99,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0327352080494165,0.0332603339920751,0.0015802080160938,1.105618458997924,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",9.852656863554136,9.911616656131978,9.090831562128855,1.998754313469808,7.912862342662169,0,0,0.0,436.0,872.0,undirected_nx_bidirectional_pyg,4.36,4.0,0.02190955,16.0,8.0,27.0,129.0,46.0,390.0,10.5505,0.95,10.0,5.0,0.032329,campaign_size_corrected_weak_n2_fcgnn_seed71_20260611T122947_c31fb8b1,,C3
fcgnn,97,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.1935333333333333,0.1587331160432976,50,65,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,24,0.0322658329969272,0.0396839579916559,0.0023619579733349,1.181654166954104,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",13.101742262832232,13.10650584943028,12.473171348940545,4.171104053455096,8.935401795975183,0,0,0.0,694.0,1388.0,undirected_nx_bidirectional_pyg,6.94,8.0,0.03487437,24.0,12.0,32.0,100.0,166.0,528.0,23.9193,0.95,10.0,5.0,0.031867,campaign_size_corrected_weak_n10_fcgnn_seed97_20260611T123129_89c7cfff,,C3
fcgnn,37,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.1806666666666666,0.1574229482933574,50,62,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,35,0.0300284579861909,0.0424377089948393,0.0022784580360166,1.1652532499865629,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",23.98820826296644,24.00167122821971,23.36327377691249,6.837963915569376,17.163707312650335,0,0,0.0,746.0,1492.0,undirected_nx_bidirectional_pyg,7.46,8.0,0.03748744,24.0,12.0,38.0,100.0,162.0,584.0,21.7158,0.95,10.0,5.0,0.029655,campaign_size_corrected_weak_n10_fcgnn_seed37_20260611T123100_27312343,,C3
fcgnn,11,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8860526315789474,0.3331095974281385,0,103,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,2,1,0,52,0.0331701670074835,0.0520446670125238,0.0028208339936099,1.1899131249519996,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.288728436736523,12.145340650280485,11.549667328595309,-3.91842761607186,16.063768266352344,0,0,0.0,535.0,1070.0,undirected_nx_bidirectional_pyg,5.35,4.5,0.02688442,28.0,14.0,39.0,124.0,75.0,460.0,14.0187,0.95,10.0,5.0,0.032788,campaign_size_corrected_strong_n2_fcgnn_seed11_20260611T122703_3912574d,,C3
fcgnn,71,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2431333333333333,0.1674488139027956,50,67,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,24,0.0313915000297129,0.0396559999790042,0.0022962500224821,1.2490986660122871,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",12.244051599492176,12.22088042127893,11.542741457836236,2.9879784688153346,9.232901952463594,0,0,0.0,656.0,1312.0,undirected_nx_bidirectional_pyg,6.56,7.0,0.03296482,13.0,6.5,22.0,100.0,156.0,500.0,23.7805,0.95,10.0,5.0,0.031005,campaign_size_corrected_weak_n10_fcgnn_seed71_20260611T123119_861fcfd8,,C3
fcgnn,37,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8400000000000001,0.3815299419108788,0,85,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,41,0.0314633339876309,0.0407835830119438,0.0029164589941501,1.126048207981512,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.104108558035378,11.984887191641633,10.956331543477033,3.8892416785949986,8.095645513046634,0,0,0.0,662.0,1324.0,undirected_nx_bidirectional_pyg,6.62,5.0,0.03326633,25.0,12.5,34.0,87.0,145.0,517.0,21.9033,0.95,10.0,5.0,0.03109,campaign_size_corrected_strong_n5_fcgnn_seed37_20260611T122756_d31bcd97,,C3
fcgnn,101,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8613157894736843,0.3254737121361162,0,107,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,12,0.0309142500045709,0.0398371249902993,0.0026990420301444,1.1547292500035835,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.369549933513431,12.079147443627583,11.574232703145825,-1.8023048399422936,13.881452283569878,0,0,0.0,625.0,1250.0,undirected_nx_bidirectional_pyg,6.25,5.0,0.03140704,19.0,9.5,27.0,132.0,75.0,550.0,12.0,0.95,10.0,5.0,0.030544,campaign_size_corrected_strong_n2_fcgnn_seed101_20260611T122742_7c6777b4,,C3
fcgnn,53,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.9021052631578949,0.3962335235823607,0,109,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,11,0.029848416976165,0.034669250017032,0.0024469170020893,1.0900946659967303,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Hyundai=1",13.883804354276862,13.69398790585964,12.703435685105442,1.0948293984929915,12.59915850736665,0,0,0.0,480.0,960.0,undirected_nx_bidirectional_pyg,4.8,4.0,0.0241206,19.0,9.5,28.0,114.0,40.0,440.0,8.3333,0.95,10.0,5.0,0.029489,campaign_size_corrected_strong_n2_fcgnn_seed53_20260611T122720_5b7a15d2,,C3
fcgnn,83,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8689473684210527,0.304183487140822,0,96,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,11,0.0306975840358063,0.0386294170166365,0.00226879195543,1.0952616249560378,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Hyundai=1",14.228530883306508,13.964095052061104,13.005793319912932,0.9273654322362308,13.036729619824872,0,0,0.0,532.0,1064.0,undirected_nx_bidirectional_pyg,5.32,5.0,0.02673367,18.0,9.0,28.0,129.0,50.0,482.0,9.3985,0.95,10.0,5.0,0.030331,campaign_size_corrected_strong_n2_fcgnn_seed83_20260611T122733_77545f7d,,C3
fcgnn,53,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.8221333333333334,0.4964392413962396,0,84,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,2,1,0,102,0.0303808340104296,0.0424154999782331,0.0029704999760724,1.1694452919764444,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.1815705228839,201.05420110897157,199.9850604883173,95.5217945436035,105.53240656536806,0,0,0.0,987.0,1974.0,undirected_nx_bidirectional_pyg,9.87,11.5,0.04959799,17.0,8.5,25.0,100.0,231.0,756.0,23.4043,0.95,10.0,5.0,0.029999,campaign_size_corrected_strong_n10_fcgnn_seed53_20260611T122852_b9be219b,,C3
