nodes,unique_undirected_edges,pyg_stored_edges,directed_status,average_degree,median_degree,graph_density,isolated_nodes,isolated_node_percentage,connected_components,largest_component_size,cross_vehicle_edges,same_vehicle_edges,cross_vehicle_edge_percentage,similarity_threshold,top_k_same_vehicle,top_k_cross_vehicle,graph_construction_time_sec,run_id
200,1017,2034,undirected_nx_bidirectional_pyg,10.17,12.0,0.05110553,16,8.0,22,100,172,845,16.9125,0.95,10,5,0.029511,campaign_size_corrected_strong_n10_descriptor_clustering_seed101_20260611T122913_c25d37dd
200,962,1924,undirected_nx_bidirectional_pyg,9.62,12.0,0.04834171,21,10.5,32,100,239,723,24.8441,0.95,10,5,0.031342,campaign_size_corrected_strong_n10_descriptor_clustering_seed11_20260611T122830_80466fa4
200,1021,2042,undirected_nx_bidirectional_pyg,10.21,12.0,0.05130653,17,8.5,30,100,160,861,15.6709,0.95,10,5,0.030959,campaign_size_corrected_strong_n10_descriptor_clustering_seed23_20260611T122835_666d8d1d
200,925,1850,undirected_nx_bidirectional_pyg,9.25,11.0,0.04648241,23,11.5,35,100,211,714,22.8108,0.95,10,5,0.029828,campaign_size_corrected_strong_n10_descriptor_clustering_seed37_20260611T122840_80a83d3d
200,997,1994,undirected_nx_bidirectional_pyg,9.97,12.0,0.0501005,18,9.0,26,100,277,720,27.7834,0.95,10,5,0.03243,campaign_size_corrected_strong_n10_descriptor_clustering_seed41_20260611T122844_784f96d1
200,987,1974,undirected_nx_bidirectional_pyg,9.87,11.5,0.04959799,17,8.5,25,100,231,756,23.4043,0.95,10,5,0.031186,campaign_size_corrected_strong_n10_descriptor_clustering_seed53_20260611T122849_8dbc82d2
200,996,1992,undirected_nx_bidirectional_pyg,9.96,11.5,0.05005025,11,5.5,17,100,194,802,19.4779,0.95,10,5,0.031986,campaign_size_corrected_strong_n10_descriptor_clustering_seed67_20260611T122854_0b5b6035
200,965,1930,undirected_nx_bidirectional_pyg,9.65,11.5,0.04849246,21,10.5,30,100,195,770,20.2073,0.95,10,5,0.030753,campaign_size_corrected_strong_n10_descriptor_clustering_seed71_20260611T122859_a2977eaa
200,969,1938,undirected_nx_bidirectional_pyg,9.69,12.5,0.04869347,22,11.0,36,100,202,767,20.8462,0.95,10,5,0.030115,campaign_size_corrected_strong_n10_descriptor_clustering_seed83_20260611T122903_338f4ad3
200,944,1888,undirected_nx_bidirectional_pyg,9.44,11.5,0.04743719,17,8.5,31,100,268,676,28.3898,0.95,10,5,0.031741,campaign_size_corrected_strong_n10_descriptor_clustering_seed97_20260611T122908_52fc4499
200,1017,2034,undirected_nx_bidirectional_pyg,10.17,12.0,0.05110553,16,8.0,22,100,172,845,16.9125,0.95,10,5,0.034226,campaign_size_corrected_strong_n10_fcgnn_seed101_20260611T122915_be896376
200,962,1924,undirected_nx_bidirectional_pyg,9.62,12.0,0.04834171,21,10.5,32,100,239,723,24.8441,0.95,10,5,0.031328,campaign_size_corrected_strong_n10_fcgnn_seed11_20260611T122833_90e565a7
