method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,experiment,attack_strength,attacked_model_diversity,total_fleet_size,expected_total_nodes,descriptors_per_vehicle,graph_nodes,attacked_vehicle_count,platform_composition,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,graph_unique_undirected_edges,graph_pyg_stored_edges,graph_directed_status,graph_average_degree,graph_median_degree,graph_graph_density,graph_isolated_nodes,graph_isolated_node_percentage,graph_connected_components,graph_largest_component_size,graph_cross_vehicle_edges,graph_same_vehicle_edges,graph_cross_vehicle_edge_percentage,graph_similarity_threshold,graph_top_k_same_vehicle,graph_top_k_cross_vehicle,graph_graph_construction_time_sec,run_id,runtime_local_ids_sec
fcgnn,71,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2478947368421052,0.034460707147154,10,99,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0327352080494165,0.0332603339920751,0.0015802080160938,1.105618458997924,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",9.852656863554136,9.911616656131978,9.090831562128855,1.998754313469808,7.912862342662169,0,0,0.0,436.0,872.0,undirected_nx_bidirectional_pyg,4.36,4.0,0.02190955,16.0,8.0,27.0,129.0,46.0,390.0,10.5505,0.95,10.0,5.0,0.032329,campaign_size_corrected_weak_n2_fcgnn_seed71_20260611T122947_c31fb8b1,
descriptor_clustering,71,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.84,0.3614170976272448,0,100,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,3,1,0,46,0.0330194999696686,,0.0014377079787664,1.1632287499960512,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.096648986226468,11.859705264203177,10.837709968945346,3.612906508536364,8.246798755666813,0,0,0.0,689.0,1378.0,undirected_nx_bidirectional_pyg,6.89,5.0,0.03462312,13.0,6.5,22.0,107.0,121.0,568.0,17.5617,0.95,10.0,5.0,0.032641,campaign_size_corrected_strong_n5_descriptor_clustering_seed71_20260611T122812_4e56660f,
descriptor_clustering,37,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2326315789473684,0.0337142526566534,10,96,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0310588329448364,,0.0013910420238971,1.0481666660052724,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.016484132724536,10.112565158436094,9.454478206905083,1.288933997277148,8.823631161158946,0,0,0.0,489.0,978.0,undirected_nx_bidirectional_pyg,4.89,4.0,0.02457286,25.0,12.5,38.0,125.0,52.0,437.0,10.6339,0.95,10.0,5.0,0.030459,campaign_size_corrected_weak_n2_descriptor_clustering_seed37_20260611T122927_efeaf237,
standard_gnn,83,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8670857142857142,0.4103823791529119,0,102,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,10,0.0312804999994114,0.0310580420191399,0.0023036249913275,1.1761023749713786,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.37207707440465,12.194986777442708,11.313948233498088,4.355681650124297,7.83930512731841,0,0,0.0,676.0,1352.0,undirected_nx_bidirectional_pyg,6.76,4.5,0.03396985,26.0,13.0,38.0,93.0,87.0,589.0,12.8698,0.95,10.0,5.0,0.030898,campaign_size_corrected_strong_n5_standard_gnn_seed83_20260611T122818_259ace87,
descriptor_clustering,71,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2431333333333333,0.1674488139027956,50,67,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,48,0.0329341249889694,,0.0015066670021042,1.1584416250116192,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",12.244051599492176,12.22088042127893,11.542741457836236,2.9879784688153346,9.232901952463594,0,0,0.0,656.0,1312.0,undirected_nx_bidirectional_pyg,6.56,7.0,0.03296482,13.0,6.5,22.0,100.0,156.0,500.0,23.7805,0.95,10.0,5.0,0.032455,campaign_size_corrected_weak_n10_descriptor_clustering_seed71_20260611T123117_328d32fe,
fcgnn,97,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.1935333333333333,0.1587331160432976,50,65,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,24,0.0322658329969272,0.0396839579916559,0.0023619579733349,1.181654166954104,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",13.101742262832232,13.10650584943028,12.473171348940545,4.171104053455096,8.935401795975183,0,0,0.0,694.0,1388.0,undirected_nx_bidirectional_pyg,6.94,8.0,0.03487437,24.0,12.0,32.0,100.0,166.0,528.0,23.9193,0.95,10.0,5.0,0.031867,campaign_size_corrected_weak_n10_fcgnn_seed97_20260611T123129_89c7cfff,
standard_gnn,23,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8300571428571428,0.3896175445821414,0,93,0.25,1.0,0.4,5,15,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0304338330170139,0.0335085829719901,0.0023425830295309,1.1097188330022618,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.204286246662654,11.799374863790064,11.32477965291932,4.3756830974515335,7.42369176633853,0,0,0.0,730.0,1460.0,undirected_nx_bidirectional_pyg,7.3,6.0,0.03668342,17.0,8.5,30.0,78.0,72.0,658.0,9.863,0.95,10.0,5.0,0.030056,campaign_size_corrected_strong_n5_standard_gnn_seed23_20260611T122750_5be650e1,
fcgnn,37,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.1806666666666666,0.1574229482933574,50,62,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,35,0.0300284579861909,0.0424377089948393,0.0022784580360166,1.1652532499865629,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",23.98820826296644,24.00167122821971,23.36327377691249,6.837963915569376,17.163707312650335,0,0,0.0,746.0,1492.0,undirected_nx_bidirectional_pyg,7.46,8.0,0.03748744,24.0,12.0,38.0,100.0,162.0,584.0,21.7158,0.95,10.0,5.0,0.029655,campaign_size_corrected_weak_n10_fcgnn_seed37_20260611T123100_27312343,
descriptor_clustering,23,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8073684210526315,0.2304732630436855,0,100,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,11,0.0326639169943518,,0.0015665420214645,1.0498179579735734,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Hyundai=1",13.062333131708334,12.444172538076211,12.488658095525814,1.215649706027496,11.228522832048718,0,0,0.0,507.0,1014.0,undirected_nx_bidirectional_pyg,5.07,5.0,0.02547739,14.0,7.0,22.0,133.0,40.0,467.0,7.8895,0.95,10.0,5.0,0.032226,campaign_size_corrected_strong_n2_descriptor_clustering_seed23_20260611T122705_5db30cad,
local_ids,37,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8400000000000001,0.3815299419108788,0,85,0.25,1.0,0.4,5,15,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.0515815829858184,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.104108558035378,11.984887191641633,10.956331543477033,3.8892416785949986,8.095645513046634,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_strong_n5_local_ids_seed37_20260611T122753_6f90c691,0.0
