run_id,seed,attack_strength,campaign_size,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_total_sec
campaign_size_corrected_weak_n2_fcgnn_seed71_20260611T122947_c31fb8b1,71,weak,2,0.0327352080494165,0.0332603339920751,1.105618458997924
campaign_size_corrected_weak_n10_fcgnn_seed97_20260611T123129_89c7cfff,97,weak,10,0.0322658329969272,0.0396839579916559,1.181654166954104
campaign_size_corrected_weak_n10_fcgnn_seed37_20260611T123100_27312343,37,weak,10,0.0300284579861909,0.0424377089948393,1.1652532499865629
campaign_size_corrected_strong_n2_fcgnn_seed11_20260611T122703_3912574d,11,strong,2,0.0331701670074835,0.0520446670125238,1.1899131249519996
campaign_size_corrected_weak_n10_fcgnn_seed71_20260611T123119_861fcfd8,71,weak,10,0.0313915000297129,0.0396559999790042,1.2490986660122871
campaign_size_corrected_strong_n5_fcgnn_seed37_20260611T122756_d31bcd97,37,strong,5,0.0314633339876309,0.0407835830119438,1.126048207981512
campaign_size_corrected_strong_n2_fcgnn_seed101_20260611T122742_7c6777b4,101,strong,2,0.0309142500045709,0.0398371249902993,1.1547292500035835
campaign_size_corrected_strong_n2_fcgnn_seed53_20260611T122720_5b7a15d2,53,strong,2,0.029848416976165,0.034669250017032,1.0900946659967303
campaign_size_corrected_strong_n2_fcgnn_seed83_20260611T122733_77545f7d,83,strong,2,0.0306975840358063,0.0386294170166365,1.0952616249560378
campaign_size_corrected_strong_n10_fcgnn_seed53_20260611T122852_b9be219b,53,strong,10,0.0303808340104296,0.0424154999782331,1.1694452919764444
campaign_size_corrected_strong_n5_fcgnn_seed71_20260611T122814_ed072d60,71,strong,5,0.0290415000054053,0.0398930420051328,1.115111499966588
campaign_size_corrected_strong_n10_fcgnn_seed41_20260611T122847_4cdafffb,41,strong,10,0.0329196669626981,0.0417420000303536,1.178577208018396
campaign_size_corrected_strong_n2_fcgnn_seed23_20260611T122707_37652a58,23,strong,2,0.030795999977272,0.0332631670171394,1.08175991702592
campaign_size_corrected_weak_n2_fcgnn_seed41_20260611T122933_349a78e8,41,weak,2,0.0308233749819919,0.0390698339906521,1.155164333002176
campaign_size_corrected_weak_n5_fcgnn_seed83_20260611T123036_9ae7536c,83,weak,5,0.0315780409728176,0.0419452919741161,1.124268082960043
campaign_size_corrected_weak_n5_fcgnn_seed101_20260611T123046_ca9eea20,101,weak,5,0.0294424589956179,0.0396864580106921,1.1037349589751102
campaign_size_corrected_strong_n5_fcgnn_seed41_20260611T122801_2bdd7d44,41,strong,5,0.0342047500307671,0.0373341669910587,1.2156853749766017
campaign_size_corrected_strong_n5_fcgnn_seed11_20260611T122747_3e587134,11,strong,5,0.0329897499759681,0.0404484159662388,1.1591498340130784
campaign_size_corrected_weak_n2_fcgnn_seed97_20260611T122955_b2f38bed,97,weak,2,0.0345689160167239,0.0338401250191964,1.0735200839699246
campaign_size_corrected_strong_n2_fcgnn_seed97_20260611T122738_81d5a213,97,strong,2,0.0293669999809935,0.0394854579935781,1.0866941250278614
campaign_size_corrected_weak_n5_fcgnn_seed71_20260611T123032_5611f939,71,weak,5,0.0315815840149298,0.0396504589589312,1.1384396669454873
campaign_size_corrected_strong_n10_fcgnn_seed97_20260611T122911_f6e5a38f,97,strong,10,0.0308987079770304,0.0397673340048641,1.237722790974658
campaign_size_corrected_weak_n2_fcgnn_seed53_20260611T122938_317eb40e,53,weak,2,0.0288186249672435,0.0339637500001117,1.093971916998271
