method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,run_id,unique_edges,pyg_stored_edges,average_degree,cross_vehicle_edge_percentage,graph_build_time,inference_time,scenario,similarity_threshold,max_neighbors,attack_strength
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,2,0,32,0.0347449999535456,0.0530339580145664,0.0026853749877773,0.0993726250017061,edge_S3_seed101_tau0p75_k10,1311,2622,13.11,5.7208,0.034324,0.0530339580145664,S3,0.75,10,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,2,0,32,0.0338507909909822,0.0554429999901913,0.0028782919980585,0.1008989170077256,edge_S3_seed101_tau0p75_k25,1311,2622,13.11,5.7208,0.033161,0.0554429999901913,S3,0.75,25,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,36,0.0296856660279445,0.0435330840409733,0.0027958339778706,0.084223749989178,edge_S3_seed101_tau0p75_k5,814,1628,8.14,2.457,0.029271,0.0435330840409733,S3,0.75,5,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,2,0,32,0.0337912919931113,0.055760083021596,0.0029993749922141,0.1012046669493429,edge_S3_seed101_tau0p75_k50,1311,2622,13.11,5.7208,0.033352,0.055760083021596,S3,0.75,50,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,2,0,33,0.0331750000477768,0.0579809159971773,0.0026468330179341,0.1024012500420212,edge_S3_seed101_tau0p80_k10,1259,2518,12.59,5.9571,0.032747,0.0579809159971773,S3,0.8,10,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,2,0,33,0.0343704170081764,0.0526379580260254,0.002529332996346,0.0987056670128367,edge_S3_seed101_tau0p80_k25,1259,2518,12.59,5.9571,0.033918,0.0526379580260254,S3,0.8,25,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,39,0.0275239999755285,0.0436297090491279,0.0026542500127106,0.0829217920545488,edge_S3_seed101_tau0p80_k5,779,1558,7.79,2.5674,0.027116,0.0436297090491279,S3,0.8,5,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,2,0,33,0.0340227920096367,0.0536135000293143,0.0027802499826066,0.0992748329881578,edge_S3_seed101_tau0p80_k50,1259,2518,12.59,5.9571,0.033602,0.0536135000293143,S3,0.8,50,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,47,0.0439566670102067,0.0598352090455591,0.0031632500467821,0.1184701250167563,edge_S3_seed101_tau0p85_k10,1187,2374,11.87,6.3184,0.043472,0.0598352090455591,S3,0.85,10,strong
fcgnn,101,S3_strong_campaign,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8953142857142857,0.4488686057556883,0,112,0.25,1.0,0.4,5,15,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,47,0.0353259170078672,0.0596750829718075,0.0029048330034129,0.1075011669890955,edge_S3_seed101_tau0p85_k25,1187,2374,11.87,6.3184,0.034807,0.0596750829718075,S3,0.85,25,strong
