run_id,method,false_campaign_memberships,missed_campaign_memberships,n_errors,framework_config,scenario_id,scenario_key,seed,campaign_size,coordination_strength
campaign_size_corrected_strong_n10_descriptor_clustering_seed101_20260611T122913_c25d37dd,descriptor_clustering,0.0,0.0,0,C2,S3,campaign_size_corrected_strong,101,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed11_20260611T122830_80466fa4,descriptor_clustering,0.0,2.0,2,C2,S3,campaign_size_corrected_strong,11,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed23_20260611T122835_666d8d1d,descriptor_clustering,0.0,2.0,2,C2,S3,campaign_size_corrected_strong,23,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed37_20260611T122840_80a83d3d,descriptor_clustering,0.0,20.0,20,C2,S3,campaign_size_corrected_strong,37,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed41_20260611T122844_784f96d1,descriptor_clustering,0.0,0.0,0,C2,S3,campaign_size_corrected_strong,41,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed53_20260611T122849_8dbc82d2,descriptor_clustering,0.0,0.0,0,C2,S3,campaign_size_corrected_strong,53,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed67_20260611T122854_0b5b6035,descriptor_clustering,0.0,1.0,1,C2,S3,campaign_size_corrected_strong,67,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed71_20260611T122859_a2977eaa,descriptor_clustering,0.0,0.0,0,C2,S3,campaign_size_corrected_strong,71,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed83_20260611T122903_338f4ad3,descriptor_clustering,0.0,0.0,0,C2,S3,campaign_size_corrected_strong,83,10,1.0
campaign_size_corrected_strong_n10_descriptor_clustering_seed97_20260611T122908_52fc4499,descriptor_clustering,0.0,0.0,0,C2,S3,campaign_size_corrected_strong,97,10,1.0
campaign_size_corrected_strong_n10_fcgnn_seed101_20260611T122915_be896376,fcgnn,0.0,8.0,8,C3,S3,campaign_size_corrected_strong,101,10,1.0
campaign_size_corrected_strong_n10_fcgnn_seed11_20260611T122833_90e565a7,fcgnn,0.0,31.0,31,C3,S3,campaign_size_corrected_strong,11,10,1.0
campaign_size_corrected_strong_n10_fcgnn_seed23_20260611T122837_ae3d10de,fcgnn,0.0,5.0,5,C3,S3,campaign_size_corrected_strong,23,10,1.0
campaign_size_corrected_strong_n10_fcgnn_seed37_20260611T122842_d8e10da5,fcgnn,0.0,4.0,4,C3,S3,campaign_size_corrected_strong,37,10,1.0
campaign_size_corrected_strong_n10_fcgnn_seed41_20260611T122847_4cdafffb,fcgnn,0.0,6.0,6,C3,S3,campaign_size_corrected_strong,41,10,1.0
campaign_size_corrected_strong_n10_fcgnn_seed53_20260611T122852_b9be219b,fcgnn,0.0,3.0,3,C3,S3,campaign_size_corrected_strong,53,10,1.0
campaign_size_corrected_strong_n10_fcgnn_seed67_20260611T122856_a0d607bf,fcgnn,0.0,8.0,8,C3,S3,campaign_size_corrected_strong,67,10,1.0
