scenario_id,framework_config,metric,mean,ci95_low,ci95_high,n
S0,C3,campaign_f1,1.0,1.0,1.0,11
S0,C3,campaign_precision,1.0,1.0,1.0,11
S0,C3,false_campaign_alert_rate,0.0,0.0,0.0,11
S1,C3,campaign_f1,1.0,1.0,1.0,11
S1,C3,campaign_precision,1.0,1.0,1.0,11
S1,C3,false_campaign_alert_rate,0.0,0.0,0.0,11
S2,C3,campaign_f1,0.21212121212121213,0.11085300270136594,0.3133894215410583,66
S2,C3,campaign_precision,0.21212121212121213,0.11085300270136594,0.3133894215410583,66
S2,C3,false_campaign_alert_rate,0.4772727272727273,0.41253597222986843,0.5420094823155861,66
S3,C3,campaign_f1,0.6944444444444445,0.6075269652509473,0.7813619236379418,96
S3,C3,campaign_precision,0.671875,0.5838887015265215,0.7598612984734785,96
S3,C3,false_campaign_alert_rate,0.8125,0.7330002171443859,0.8919997828556141,96
S4,C3,campaign_f1,0.6666666666666666,0.5752613674883089,0.7580719658450243,96
S4,C3,campaign_precision,0.6510416666666666,0.5591023495123729,0.7429809838209603,96
S4,C3,false_campaign_alert_rate,0.71875,0.6271724931345253,0.8103275068654747,96
