run_id,method,framework_config,scenario_id,seed,campaign_size,coordination_strength,campaign_metrics_na,membership_purity,fragmentation,completeness,n_campaign_clusters,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events
campaign_size_corrected_strong_n10_fcgnn_seed101_20260611T122915_be896376,fcgnn,C3,S3,101,10,1.0,False,0.5,0.0,1.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,2.0,2.0,0.0,98.0
campaign_size_corrected_strong_n10_fcgnn_seed11_20260611T122833_90e565a7,fcgnn,C3,S3,11,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,25.0
campaign_size_corrected_strong_n10_fcgnn_seed23_20260611T122837_ae3d10de,fcgnn,C3,S3,23,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,82.0
campaign_size_corrected_strong_n10_fcgnn_seed37_20260611T122842_d8e10da5,fcgnn,C3,S3,37,10,1.0,False,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,121.0
campaign_size_corrected_strong_n10_fcgnn_seed41_20260611T122847_4cdafffb,fcgnn,C3,S3,41,10,1.0,False,0.5,0.0,1.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,2.0,2.0,0.0,97.0
campaign_size_corrected_strong_n10_fcgnn_seed53_20260611T122852_b9be219b,fcgnn,C3,S3,53,10,1.0,False,0.5,0.0,1.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,2.0,2.0,0.0,102.0
campaign_size_corrected_strong_n10_fcgnn_seed67_20260611T122856_a0d607bf,fcgnn,C3,S3,67,10,1.0,False,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,101.0
campaign_size_corrected_strong_n10_fcgnn_seed71_20260611T122901_787804a5,fcgnn,C3,S3,71,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,76.0
campaign_size_corrected_strong_n10_fcgnn_seed83_20260611T122906_f8ae0e93,fcgnn,C3,S3,83,10,1.0,False,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,131.0
campaign_size_corrected_strong_n10_fcgnn_seed97_20260611T122911_f6e5a38f,fcgnn,C3,S3,97,10,1.0,False,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,104.0
campaign_size_corrected_strong_n2_fcgnn_seed101_20260611T122742_7c6777b4,fcgnn,C3,S3,101,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,12.0
campaign_size_corrected_strong_n2_fcgnn_seed11_20260611T122703_3912574d,fcgnn,C3,S3,11,2,1.0,False,0.5,0.0,1.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,2.0,2.0,0.0,52.0
campaign_size_corrected_strong_n2_fcgnn_seed23_20260611T122707_37652a58,fcgnn,C3,S3,23,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,11.0
campaign_size_corrected_strong_n2_fcgnn_seed37_20260611T122711_3fc6653e,fcgnn,C3,S3,37,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,11.0
campaign_size_corrected_strong_n2_fcgnn_seed41_20260611T122716_943b82bc,fcgnn,C3,S3,41,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,11.0
campaign_size_corrected_strong_n2_fcgnn_seed53_20260611T122720_5b7a15d2,fcgnn,C3,S3,53,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,11.0
