run_id,scenario_id,seed,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,latency_sec,prediction_source
campaign_size_corrected_strong_n10_descriptor_clustering_seed101_20260611T122913_c25d37dd,S3,101,50,56,94,0,0.4716981132075472,1.0,0.6410256410256411,0.3733333333333333,0.0,0.8169333333333334,0.47743010930267,1.117644999991171,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed11_20260611T122830_80466fa4,S3,11,50,78,72,0,0.390625,1.0,0.5617977528089888,0.52,0.0,0.8290666666666666,0.5090944093934857,1.1352199590182863,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed23_20260611T122835_666d8d1d,S3,23,50,81,69,0,0.3816793893129771,1.0,0.5524861878453039,0.54,0.0,0.7806666666666666,0.4688946008467045,1.1918307919986546,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed37_20260611T122840_80a83d3d,S3,37,50,74,76,0,0.4032258064516129,1.0,0.5747126436781609,0.4933333333333333,0.0,0.7941333333333334,0.4738805763448731,1.12276970903622,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed41_20260611T122844_784f96d1,S3,41,50,66,84,0,0.4310344827586206,1.0,0.6024096385542169,0.44,0.0,0.8084666666666667,0.47719269389912,1.1386740829912014,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed53_20260611T122849_8dbc82d2,S3,53,50,66,84,0,0.4310344827586206,1.0,0.6024096385542169,0.44,0.0,0.8221333333333334,0.4964392413962396,1.1701241249684244,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed67_20260611T122854_0b5b6035,S3,67,50,83,67,0,0.3759398496240601,1.0,0.546448087431694,0.5533333333333333,0.0,0.7859333333333334,0.4749787527580166,1.1338639589957893,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed71_20260611T122859_a2977eaa,S3,71,50,70,80,0,0.4166666666666667,1.0,0.5882352941176471,0.4666666666666667,0.0,0.7965333333333333,0.4659443395107318,1.2195153330103494,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed83_20260611T122903_338f4ad3,S3,83,50,70,80,0,0.4166666666666667,1.0,0.5882352941176471,0.4666666666666667,0.0,0.8022,0.4915083182696631,1.1667169579886831,isolation_forest_only
campaign_size_corrected_strong_n10_descriptor_clustering_seed97_20260611T122908_52fc4499,S3,97,50,68,82,0,0.423728813559322,1.0,0.5952380952380952,0.4533333333333333,0.0,0.818,0.5144007693967566,1.1266317500267178,isolation_forest_only
campaign_size_corrected_strong_n2_descriptor_clustering_seed101_20260611T122740_73c3617f,S3,101,10,83,107,0,0.1075268817204301,1.0,0.1941747572815534,0.4368421052631579,0.0,0.8613157894736843,0.3254737121361162,1.0613519999897107,isolation_forest_only
campaign_size_corrected_strong_n2_descriptor_clustering_seed11_20260611T122700_3a1222cf,S3,11,10,87,103,0,0.1030927835051546,1.0,0.1869158878504672,0.4578947368421052,0.0,0.8860526315789474,0.3331095974281385,1.067578542046249,isolation_forest_only
