method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec,scenario_id
standard_gnn,101,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,182,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0276425419724546,0.0452766249654814,0.0018907919875346,0.1394872920354828,,S0
standard_gnn,23,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0262074999627657,0.0460053329588845,0.0041157500236295,0.1442082080175168,,S0
local_ids,97,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,188,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0590972090139985,0.0,S0
fcgnn,67,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0280935839982703,0.0511961249867454,0.0039242089842446,0.1526765839662403,,S0
fcgnn,101,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,182,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0260762500111013,0.0475787079776637,0.0039475000230595,0.1449875410180539,,S0
fcgnn,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.027099666011054,0.0639236249844543,0.0040865420014597,0.1643777079880237,,S0
local_ids,23,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0577321670134551,0.0,S0
fcgnn,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0279896249994635,0.0598704160074703,0.0043313329806551,0.1619448330020532,,S0
local_ids,41,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.058024582976941,0.0,S0
descriptor_clustering,23,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0545612080022692,,0.0016773330280557,0.1848307920154184,,S0
descriptor_clustering,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0304776669945567,,0.0023507500300183,0.1121901670121587,,S0
standard_gnn,53,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,172,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.026987665973138,0.0462169999955222,0.0019050000119023,0.1427459999686107,,S0
standard_gnn,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0276200419757515,0.1167827500030398,0.0060496249934658,0.218110957997851,,S0
descriptor_clustering,71,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,175,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0288991249981336,,0.001737457991112,0.1090837920201011,,S0
fcgnn,37,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0273735410301014,0.0498788330005481,0.0035929160076193,0.1479994579567574,,S0
standard_gnn,97,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,188,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.030329083034303,0.0435478330473415,0.0030985419871285,0.1420894169714301,,S0
descriptor_clustering,37,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0277428330155089,,0.0020200840081088,0.102579083002638,,S0
local_ids,67,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0584242079639807,0.0,S0
local_ids,37,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0589967500418424,0.0,S0
standard_gnn,41,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0270591250155121,0.0444790840265341,0.0035961659741587,0.1407067090040072,,S0
descriptor_clustering,83,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0259560410049743,,0.0015179580077528,0.0997513749753125,,S0
fcgnn,41,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0262836249894462,0.0478807080071419,0.0040119580226019,0.145244791987352,,S0
fcgnn,83,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0259974999935366,0.0492850000155158,0.0037150839925743,0.1446715839556418,,S0
standard_gnn,71,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,175,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0260820419644005,0.0440944169531576,0.0029300829628482,0.139740000013262,,S0
fcgnn,71,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,175,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.024849500041455,0.0469269579625688,0.0034277089871466,0.1392656660173088,,S0
local_ids,53,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,172,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0590969999902881,0.0,S0
fcgnn,97,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,188,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0265079169766977,0.0484384589944966,0.0048932909849099,0.1464801669935695,,S0
local_ids,71,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,175,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0601850000093691,0.0,S0
standard_gnn,83,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0275921249995008,0.0469719580141827,0.0027507499908097,0.1419379999861121,,S0
standard_gnn,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0300459589925594,0.0794700419646687,0.003686582960654,0.1841029580100439,,S0
descriptor_clustering,67,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0261412090039812,,0.0016504589584656,0.1007313340087421,,S0
descriptor_clustering,41,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0279147920082323,,0.0017850419972091,0.1036247079609893,,S0
local_ids,83,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0590342089999467,0.0,S0
descriptor_clustering,101,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,182,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0277424580417573,,0.0016657909727655,0.1021894589648582,,S0
local_ids,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0632275000098161,0.0,S0
descriptor_clustering,97,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,188,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0255785000044852,,0.0017319579492323,0.1034947499865666,,S0
descriptor_clustering,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0337887089699506,,0.0041692910017445,0.1102226249640807,,S0
local_ids,11,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.065097999991849,0.0,S0
descriptor_clustering,53,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,172,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.027619041968137,,0.0016817079740576,0.1059694580035284,,S0
standard_gnn,37,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0276666249847039,0.0424680419964715,0.0034694999922066,0.138507459021639,,S0
fcgnn,23,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0275292500155046,0.0504990829504095,0.0039874169742688,0.1500860840314999,,S0
standard_gnn,67,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,173,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0285400419961661,0.0481581250205636,0.0043854169780388,0.1496666669845581,,S0
local_ids,101,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,182,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0595472499844618,0.0,S0
fcgnn,53,S0_benign_control,0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,172,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0267849580268375,0.0482892500003799,0.0038170830230228,0.148403417028021,,S0
standard_gnn,41,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.91125,0.9142202684030152,0,73,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.027551790990401,0.0408419999876059,0.0043329159962013,0.2890971250017173,,S1
