scenario,unique_edges,campaign_precision,campaign_recall,campaign_f1,false_campaign_rate
S3,435,0.5,1.0,0.6666666666666666,1.0
S3,437,1.0,1.0,1.0,1.0
S3,444,0.5,1.0,0.6666666666666666,1.0
S3,460,1.0,1.0,1.0,1.0
S3,464,1.0,1.0,1.0,1.0
S3,467,0.0,1.0,0.0,1.0
S3,472,0.5,1.0,0.6666666666666666,1.0
S3,478,0.5,1.0,0.6666666666666666,1.0
S3,488,1.0,1.0,1.0,1.0
S3,505,1.0,1.0,1.0,1.0
S3,566,1.0,1.0,1.0,1.0
S3,584,0.5,1.0,0.6666666666666666,1.0
S3,608,1.0,1.0,1.0,1.0
S3,609,0.25,1.0,0.3333333333333333,1.0
S3,612,1.0,1.0,1.0,1.0
S3,620,1.0,1.0,1.0,1.0
S3,622,1.0,1.0,1.0,1.0
S3,652,1.0,1.0,1.0,1.0
S3,658,0.5,1.0,0.6666666666666666,1.0
S3,662,1.0,1.0,1.0,1.0
S3,672,0.0,1.0,0.0,1.0
S3,674,0.75,1.0,0.8333333333333333,1.0
S3,676,1.0,1.0,1.0,1.0
S3,684,1.0,1.0,1.0,1.0
S3,689,0.5,1.0,0.6666666666666666,1.0
S3,694,0.5,1.0,0.6666666666666666,1.0
S3,699,1.0,1.0,1.0,1.0
S3,702,1.0,1.0,1.0,1.0
S3,706,0.5,1.0,0.6666666666666666,1.0
S3,708,0.5,1.0,0.6666666666666666,1.0
S3,713,1.0,1.0,1.0,1.0
S3,714,1.0,1.0,1.0,1.0
S3,718,1.0,1.0,1.0,1.0
S3,721,1.0,1.0,1.0,1.0
S3,728,1.0,1.0,1.0,1.0
S3,730,0.25,1.0,0.25,1.0
S3,734,1.0,1.0,1.0,1.0
S3,743,1.0,1.0,1.0,1.0
S3,749,0.5,1.0,0.6666666666666666,1.0
S3,750,1.0,1.0,1.0,1.0
S3,757,0.5,1.0,0.6666666666666666,1.0
S3,760,0.5,1.0,0.6666666666666666,1.0
S3,763,0.5,1.0,0.6666666666666666,1.0
S3,765,1.0,1.0,1.0,1.0
S3,769,1.0,1.0,1.0,1.0
S3,775,1.0,1.0,1.0,1.0
S3,778,0.5,1.0,0.6666666666666666,1.0
S3,779,0.5,1.0,0.6666666666666666,1.0
S3,787,0.0,1.0,0.0,1.0
S3,789,0.5,1.0,0.6666666666666666,1.0
S3,795,1.0,1.0,1.0,1.0
S3,802,1.0,1.0,1.0,1.0
S3,814,0.5,1.0,0.6666666666666666,1.0
S3,817,1.0,1.0,1.0,1.0
S3,899,1.0,1.0,1.0,1.0
S3,917,0.0,1.0,0.0,1.0
S3,965,0.5,1.0,0.6666666666666666,1.0
S3,969,0.5,1.0,0.6666666666666666,1.0
S3,970,1.0,1.0,1.0,1.0
S3,973,1.0,1.0,1.0,1.0
S3,979,0.5,1.0,0.6666666666666666,1.0
S3,993,1.0,1.0,1.0,1.0
S3,1014,1.0,1.0,1.0,1.0
S3,1064,1.0,1.0,1.0,1.0
S3,1066,0.5,1.0,0.6666666666666666,1.0
S3,1070,0.5,1.0,0.6666666666666666,1.0
S3,1091,1.0,1.0,1.0,1.0
S3,1105,1.0,1.0,1.0,1.0
S3,1118,0.0,1.0,0.0,1.0
S3,1124,1.0,1.0,1.0,1.0
S3,1133,0.0,1.0,0.0,1.0
S3,1134,0.5,1.0,0.6666666666666666,1.0
S3,1136,1.0,1.0,1.0,1.0
S3,1142,0.0,1.0,0.0,1.0
S3,1148,1.0,1.0,1.0,1.0
S3,1152,1.0,1.0,1.0,1.0
S3,1187,0.5,1.0,0.6666666666666666,1.0
S3,1197,0.0,1.0,0.0,1.0
S3,1203,1.0,1.0,1.0,1.0
S3,1204,0.0,1.0,0.0,1.0
S3,1209,1.0,1.0,1.0,1.0
S3,1211,0.5,1.0,0.6666666666666666,1.0
S3,1215,1.0,1.0,1.0,1.0
S3,1219,0.5,1.0,0.5,1.0
S3,1224,0.0,1.0,0.0,1.0
S3,1254,0.0,1.0,0.0,1.0
S3,1259,1.0,1.0,1.0,1.0
S3,1267,1.0,1.0,1.0,1.0
S3,1268,1.0,1.0,1.0,1.0
S3,1269,1.0,1.0,1.0,1.0
S3,1282,0.5,1.0,0.6666666666666666,1.0
S3,1291,1.0,1.0,1.0,1.0
S3,1311,1.0,1.0,1.0,1.0
S4,370,1.0,1.0,1.0,1.0
S4,381,1.0,1.0,1.0,1.0
S4,388,1.0,1.0,1.0,1.0
S4,390,1.0,1.0,1.0,1.0
S4,396,1.0,1.0,1.0,1.0
S4,420,1.0,1.0,1.0,1.0
S4,425,1.0,1.0,1.0,1.0
S4,431,1.0,1.0,1.0,1.0
S4,457,0.5,1.0,0.6666666666666666,1.0
S4,519,1.0,1.0,1.0,1.0
S4,526,0.5,1.0,0.6666666666666666,1.0
S4,534,1.0,1.0,1.0,1.0
S4,537,1.0,1.0,1.0,1.0
S4,539,1.0,1.0,1.0,1.0
S4,550,1.0,1.0,1.0,1.0
S4,559,1.0,1.0,1.0,1.0
S4,560,1.0,1.0,1.0,1.0
S4,562,1.0,1.0,1.0,1.0
S4,563,1.0,1.0,1.0,1.0
S4,565,1.0,1.0,1.0,1.0
S4,582,0.5,1.0,0.6666666666666666,1.0
S4,586,1.0,1.0,1.0,1.0
S4,594,1.0,1.0,1.0,1.0
S4,597,0.5,1.0,0.6666666666666666,1.0
S4,610,1.0,1.0,1.0,1.0
S4,614,1.0,1.0,1.0,1.0
S4,621,0.5,1.0,0.6666666666666666,1.0
S4,626,0.5,1.0,0.6666666666666666,1.0
S4,630,0.0,1.0,0.0,1.0
S4,638,1.0,1.0,1.0,1.0
S4,640,1.0,1.0,1.0,1.0
S4,641,1.0,1.0,1.0,1.0
S4,645,1.0,1.0,1.0,1.0
S4,661,1.0,1.0,1.0,1.0
S4,674,0.0,1.0,0.0,1.0
S4,675,1.0,1.0,1.0,1.0
S4,682,0.5,1.0,0.6666666666666666,1.0
S4,683,0.5,1.0,0.6666666666666666,1.0
S4,699,1.0,1.0,1.0,1.0
S4,703,1.0,1.0,1.0,1.0
S4,704,0.5,1.0,0.6666666666666666,1.0
S4,705,0.5,1.0,0.6666666666666666,1.0
S4,706,1.0,1.0,1.0,1.0
S4,709,1.0,1.0,1.0,1.0
S4,713,1.0,1.0,1.0,1.0
S4,721,1.0,1.0,1.0,1.0
S4,722,1.0,1.0,1.0,1.0
S4,734,1.0,1.0,1.0,1.0
S4,737,1.0,1.0,1.0,1.0
S4,739,1.0,1.0,1.0,1.0
S4,747,0.5,1.0,0.6666666666666666,1.0
S4,751,1.0,1.0,1.0,1.0
S4,752,0.5,1.0,0.6666666666666666,1.0
S4,753,0.5,1.0,0.6666666666666666,1.0
S4,754,1.0,1.0,1.0,1.0
S4,786,0.5,1.0,0.6666666666666666,1.0
S4,789,0.5,1.0,0.6666666666666666,1.0
S4,793,0.5,1.0,0.6666666666666666,1.0
S4,829,1.0,1.0,1.0,1.0
