run_id,method,attack_strength,diversity_level,framework_config,false_campaign_alert_indicator,false_campaign_cluster_count,benign_vehicles_included,extra_cluster_count,incorrect_merging,fragmentation
tuned_final_md_strong_d1_fcgnn_seed101_20260612T104637,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed11_20260612T104605,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed23_20260612T104609,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed37_20260612T104612,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed41_20260612T104616,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed53_20260612T104619,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed67_20260612T104623,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed71_20260612T104626,fcgnn,strong,1,C3,0,1,0,1,0,1
tuned_final_md_strong_d1_fcgnn_seed83_20260612T104630,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d1_fcgnn_seed97_20260612T104633,fcgnn,strong,1,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed101_20260612T104713,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed11_20260612T104641,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed23_20260612T104644,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed37_20260612T104648,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed41_20260612T104651,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed53_20260612T104655,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed67_20260612T104659,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed71_20260612T104702,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed83_20260612T104706,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d2_fcgnn_seed97_20260612T104709,fcgnn,strong,2,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed101_20260612T104749,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed11_20260612T104717,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed23_20260612T104720,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed37_20260612T104724,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed41_20260612T104728,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed53_20260612T104731,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed67_20260612T104735,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed71_20260612T104738,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed83_20260612T104742,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_strong_d3_fcgnn_seed97_20260612T104745,fcgnn,strong,3,C3,0,0,0,0,0,0
tuned_final_md_weak_d1_fcgnn_seed101_20260612T104824,fcgnn,weak,1,C3,0,0,0,0,0,0
tuned_final_md_weak_d1_fcgnn_seed11_20260612T104753,fcgnn,weak,1,C3,0,0,0,0,0,0
tuned_final_md_weak_d1_fcgnn_seed23_20260612T104756,fcgnn,weak,1,C3,0,0,0,0,0,0
tuned_final_md_weak_d1_fcgnn_seed37_20260612T104800,fcgnn,weak,1,C3,0,0,0,0,0,0
tuned_final_md_weak_d1_fcgnn_seed41_20260612T104803,fcgnn,weak,1,C3,0,0,0,0,0,0
tuned_final_md_weak_d1_fcgnn_seed53_20260612T104807,fcgnn,weak,1,C3,0,0,0,0,0,0
tuned_final_md_weak_d1_fcgnn_seed67_20260612T104810,fcgnn,weak,1,C3,0,0,0,0,0,0
