run_id,method,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,cross_model_edges,cross_model_edge_percentage,cross_model_malicious_edges,cross_model_benign_edges
tuned_final_md_strong_d1_fcgnn_seed101_20260612T104637,fcgnn,0.9991053155254288,,0.9959703357823221,-0.1261219973547104,1,0.1597444089456869,0,1
tuned_final_md_strong_d1_fcgnn_seed11_20260612T104605,fcgnn,0.9985261255507832,,0.99293401370783,-0.10774983505704698,0,0.0,0,0
tuned_final_md_strong_d1_fcgnn_seed23_20260612T104609,fcgnn,0.9888932170247627,,0.9670073654378364,-0.0901361469071767,5,0.8620689655172413,0,5
tuned_final_md_strong_d1_fcgnn_seed37_20260612T104612,fcgnn,0.9997550880046151,,0.9997471938725715,-0.04803839794368314,6,0.9389671361502347,0,6
tuned_final_md_strong_d1_fcgnn_seed41_20260612T104616,fcgnn,0.9988547156886042,,0.9941002890491595,-0.13633522106033613,12,1.8779342723004695,0,12
tuned_final_md_strong_d1_fcgnn_seed53_20260612T104619,fcgnn,0.9999404261388031,,0.9980971692183722,-0.09350737477187104,0,0.0,0,0
tuned_final_md_strong_d1_fcgnn_seed67_20260612T104623,fcgnn,0.9995444786299473,,0.9995474234484415,-0.06656333507506976,4,0.6578947368421053,0,4
tuned_final_md_strong_d1_fcgnn_seed71_20260612T104626,fcgnn,0.9779041332005759,,0.86381776714101,-0.08374967657996628,3,0.5780346820809249,0,3
tuned_final_md_strong_d1_fcgnn_seed83_20260612T104630,fcgnn,0.9906414996900317,,0.966675252070559,-0.05107004582466562,1,0.1440922190201729,0,1
tuned_final_md_strong_d1_fcgnn_seed97_20260612T104633,fcgnn,0.9998927761071182,,0.9999352990608342,-0.12186675812366608,0,0.0,0,0
tuned_final_md_strong_d2_fcgnn_seed101_20260612T104713,fcgnn,0.998919414818902,0.9988754140093329,0.9952158722053264,-0.1177751941361237,111,17.8743961352657,39,29
tuned_final_md_strong_d2_fcgnn_seed11_20260612T104641,fcgnn,0.9990871403842596,0.9979575713173413,0.9930730651290116,-0.09905636709540518,60,8.862629246676514,20,11
tuned_final_md_strong_d2_fcgnn_seed23_20260612T104644,fcgnn,0.9993721052951654,0.9991188414655263,0.9962208488903772,-0.11000268736712852,106,16.987179487179485,24,24
