scenario,method,validation_run_id,false_campaign_alert_indicator,false_campaign_cluster_count,benign_vehicles_included,extra_cluster_count,incorrect_merging,fragmentation,false_campaign_alert_rate,campaign_precision,campaign_recall,campaign_f1,campaign_membership_precision,campaign_membership_recall,n_detected_campaign_clusters,n_ground_truth_campaigns,coordinated_events,expect_campaign
V0,descriptor_clustering,val_V0_seed131,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed131,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed137,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed137,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed149,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed149,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed157,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed157,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed163,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed163,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed179,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed179,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed181,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed181,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed191,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed191,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed193,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed193,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,descriptor_clustering,val_V0_seed197,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V0,fcgnn,val_V0_seed197,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V1,descriptor_clustering,val_V1_seed131,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V1,fcgnn,val_V1_seed131,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
V1,descriptor_clustering,val_V1_seed137,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,False
