planned_at,git_commit,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,status,run_id
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S0_benign_control,S0,local_ids,11,0,0.0,completed,S0_benign_control_local_ids_n0_cs0p00_seed11_20260610T163224_14c85b8a
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S0_benign_control,S0,descriptor_clustering,11,0,0.0,completed,S0_benign_control_descriptor_clustering_n0_cs0p00_seed11_20260610T163224_2bf91360
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S0_benign_control,S0,standard_gnn,11,0,0.0,completed,S0_benign_control_standard_gnn_n0_cs0p00_seed11_20260610T163224_ba351720
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S0_benign_control,S0,fcgnn,11,0,0.0,completed,S0_benign_control_fcgnn_n0_cs0p00_seed11_20260610T163224_7d447ef8
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S1_isolated,S1,local_ids,11,1,0.0,completed,S1_isolated_local_ids_n1_cs0p00_seed11_20260610T163224_81801ea4
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S1_isolated,S1,descriptor_clustering,11,1,0.0,completed,S1_isolated_descriptor_clustering_n1_cs0p00_seed11_20260610T163224_9c72ad83
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S1_isolated,S1,standard_gnn,11,1,0.0,completed,S1_isolated_standard_gnn_n1_cs0p00_seed11_20260610T163225_6ef7c6af
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S1_isolated,S1,fcgnn,11,1,0.0,completed,S1_isolated_fcgnn_n1_cs0p00_seed11_20260610T163225_d0ce0b01
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,local_ids,11,2,0.0,completed,S2_non_coordinated_local_ids_n2_cs0p00_seed11_20260610T163225_59645fcf
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,descriptor_clustering,11,2,0.0,completed,S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed11_20260610T163225_a44d7844
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,standard_gnn,11,2,0.0,completed,S2_non_coordinated_standard_gnn_n2_cs0p00_seed11_20260610T163225_b0182499
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,fcgnn,11,2,0.0,completed,S2_non_coordinated_fcgnn_n2_cs0p00_seed11_20260610T163226_13a2d7e9
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,local_ids,11,2,0.25,completed,S2_non_coordinated_local_ids_n2_cs0p25_seed11_20260610T163226_67f1e6af
