scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S0_benign_control,S0,descriptor_clustering,23,0,0.0
S0_benign_control,S0,standard_gnn,23,0,0.0
S0_benign_control,S0,local_ids,37,0,0.0
S0_benign_control,S0,descriptor_clustering,37,0,0.0
S0_benign_control,S0,standard_gnn,37,0,0.0
S0_benign_control,S0,fcgnn,37,0,0.0
S0_benign_control,S0,local_ids,41,0,0.0
S0_benign_control,S0,descriptor_clustering,41,0,0.0
S0_benign_control,S0,standard_gnn,41,0,0.0
S0_benign_control,S0,fcgnn,41,0,0.0
S0_benign_control,S0,local_ids,53,0,0.0
S0_benign_control,S0,descriptor_clustering,53,0,0.0
S0_benign_control,S0,standard_gnn,53,0,0.0
S0_benign_control,S0,fcgnn,53,0,0.0
S0_benign_control,S0,local_ids,67,0,0.0
S0_benign_control,S0,descriptor_clustering,67,0,0.0
S0_benign_control,S0,standard_gnn,67,0,0.0
S0_benign_control,S0,fcgnn,67,0,0.0
S0_benign_control,S0,local_ids,71,0,0.0
S0_benign_control,S0,descriptor_clustering,71,0,0.0
S0_benign_control,S0,standard_gnn,71,0,0.0
S0_benign_control,S0,fcgnn,71,0,0.0
S0_benign_control,S0,local_ids,83,0,0.0
S0_benign_control,S0,descriptor_clustering,83,0,0.0
S0_benign_control,S0,standard_gnn,83,0,0.0
S0_benign_control,S0,fcgnn,83,0,0.0
S0_benign_control,S0,local_ids,97,0,0.0
S0_benign_control,S0,descriptor_clustering,97,0,0.0
S0_benign_control,S0,standard_gnn,97,0,0.0
S0_benign_control,S0,fcgnn,97,0,0.0
S0_benign_control,S0,local_ids,101,0,0.0
S0_benign_control,S0,descriptor_clustering,101,0,0.0
S0_benign_control,S0,standard_gnn,101,0,0.0
S0_benign_control,S0,fcgnn,101,0,0.0
S1_isolated,S1,descriptor_clustering,23,1,0.0
S1_isolated,S1,standard_gnn,23,1,0.0
S1_isolated,S1,local_ids,37,1,0.0
S1_isolated,S1,descriptor_clustering,37,1,0.0
S1_isolated,S1,standard_gnn,37,1,0.0
S1_isolated,S1,fcgnn,37,1,0.0
S1_isolated,S1,local_ids,41,1,0.0
S1_isolated,S1,descriptor_clustering,41,1,0.0
S1_isolated,S1,standard_gnn,41,1,0.0
S1_isolated,S1,fcgnn,41,1,0.0
S1_isolated,S1,local_ids,53,1,0.0
S1_isolated,S1,descriptor_clustering,53,1,0.0
S1_isolated,S1,standard_gnn,53,1,0.0
S1_isolated,S1,fcgnn,53,1,0.0
S1_isolated,S1,local_ids,67,1,0.0
S1_isolated,S1,descriptor_clustering,67,1,0.0
S1_isolated,S1,standard_gnn,67,1,0.0
S1_isolated,S1,fcgnn,67,1,0.0
S1_isolated,S1,local_ids,71,1,0.0
S1_isolated,S1,descriptor_clustering,71,1,0.0
S1_isolated,S1,standard_gnn,71,1,0.0
S1_isolated,S1,fcgnn,71,1,0.0
S1_isolated,S1,local_ids,83,1,0.0
S1_isolated,S1,descriptor_clustering,83,1,0.0
S1_isolated,S1,standard_gnn,83,1,0.0
S1_isolated,S1,fcgnn,83,1,0.0
