tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,method,seed,run_id,scenario_key,scenario_id,campaign_size,coordination_strength,runtime_total_sec
1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,,,,,0.0,0,1,0,0,fcgnn,11,S1_isolated_fcgnn_n1_cs0p00_seed11_20260610T141644_f7efc3cc,S1_isolated,S1,1,0.0,0.23131795800873
1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5218055555555555,0.7903657121266833,0,36,0.5,1.0,0.6666666666666666,1,1,,,,,0.0,0,1,0,0,fcgnn,23,S1_isolated_fcgnn_n1_cs0p00_seed23_20260610T141608_6b51b0cd,S1_isolated,S1,1,0.0,0.19464904197957303
1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,,,,,0.0,0,1,0,0,standard_gnn,11,S1_isolated_standard_gnn_n1_cs0p00_seed11_20260610T141644_dc353c62,S1_isolated,S1,1,0.0,0.22351325000636202
1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,,,,,0.0,0,1,0,0,descriptor_clustering,11,S1_isolated_descriptor_clustering_n1_cs0p00_seed11_20260610T141644_9ff68377,S1_isolated,S1,1,0.0,0.198735457990551
1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,,,,,0.0,0,1,0,0,local_ids,23,S1_isolated_local_ids_n1_cs0p00_seed23_20260610T141608_adf33f91,S1_isolated,S1,1,0.0,0.149063541990472
1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111111,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,,,,,0.0,0,1,0,0,local_ids,11,S1_isolated_local_ids_n1_cs0p00_seed11_20260610T141643_6928a849,S1_isolated,S1,1,0.0,0.15546195901697502
0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,,,,,0.0,0,1,0,0,fcgnn,23,S0_benign_control_fcgnn_n0_cs0p00_seed23_20260610T141608_46edcfd3,S0_benign_control,S0,0,0.0,0.104674792004516
0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,,,,,0.0,0,1,0,0,fcgnn,11,S0_benign_control_fcgnn_n0_cs0p00_seed11_20260610T141643_1d42a6fa,S0_benign_control,S0,0,0.0,0.142920499987667
0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,,,,,0.0,0,1,0,0,local_ids,11,S0_benign_control_local_ids_n0_cs0p00_seed11_20260610T141643_0e84a62a,S0_benign_control,S0,0,0.0,0.059761458978755004
0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,,,,,0.6666666666666666,2,1,0,30,descriptor_clustering,11,S0_benign_control_descriptor_clustering_n0_cs0p00_seed11_20260610T141643_53aacd80,S0_benign_control,S0,0,0.0,0.10756524998578201
0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,,,,,0.0,0,1,0,0,local_ids,23,S0_benign_control_local_ids_n0_cs0p00_seed23_20260610T141607_d491ac2e,S0_benign_control,S0,0,0.0,0.09542316698934801
0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,,,,,0.0,0,1,0,0,standard_gnn,11,S0_benign_control_standard_gnn_n0_cs0p00_seed11_20260610T141643_8f999592,S0_benign_control,S0,0,0.0,0.210005166998598
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9761155913978495,0.9986875025531742,0,44,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n10_cs1p00_seed11_20260610T141723_253857c4,S3_strong_campaign,S3,10,1.0,2.453152790985768
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9625805555555556,0.9821372821780369,0,176,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n5_cs0p75_seed11_20260610T141700_6677cc13,S3_strong_campaign,S3,5,0.75,1.255967458011582
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9625805555555556,0.9821372821780369,0,176,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n5_cs1p00_seed11_20260610T141706_70726632,S3_strong_campaign,S3,5,1.0,1.268228540982818
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,fcgnn,11,S3_strong_campaign_fcgnn_n2_cs1p00_seed11_20260610T141700_c4f2cc36,S3_strong_campaign,S3,2,1.0,0.700484208995476
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.9515545165416781,0,176,1.0,1.0,1.0,3,0,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,88,standard_gnn,11,S3_strong_campaign_standard_gnn_n5_cs1p00_seed11_20260610T141709_4828775b,S3_strong_campaign,S3,5,1.0,1.41978958400432
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,56,descriptor_clustering,11,S3_strong_campaign_descriptor_clustering_n2_cs0p75_seed11_20260610T141655_f3641f6d,S3_strong_campaign,S3,2,0.75,0.6264313330175351
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9761155913978495,0.9986875025531742,0,44,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n10_cs0p75_seed11_20260610T141712_0d3f4fea,S3_strong_campaign,S3,10,0.75,2.532782166992547
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,6,2,0,115,standard_gnn,11,S3_strong_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141717_86e3babc,S3_strong_campaign,S3,10,0.75,2.803189458005363
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,2,0,516,standard_gnn,11,S3_strong_campaign_standard_gnn_n10_cs1p00_seed11_20260610T141728_ce70670a,S3_strong_campaign,S3,10,1.0,2.846016416995553
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,27,standard_gnn,11,S3_strong_campaign_standard_gnn_n2_cs1p00_seed11_20260610T141659_f5d1beca,S3_strong_campaign,S3,2,1.0,0.718489374994533
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,descriptor_clustering,11,S3_strong_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T141658_0e16fb92,S3_strong_campaign,S3,2,1.0,0.6569791249930851
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777777,0.9394668658466337,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n2_cs1p00_seed11_20260610T141657_6aa2e4ae,S3_strong_campaign,S3,2,1.0,0.576896957994904
