run_id,run_dir,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,scenario_hash,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_local_ids_sec,runtime_total_sec,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec
S1_isolated_local_ids_n1_cs0p00_seed11_20260610T163224_81801ea4,new_experiments/results/S1_isolated/runs/S1_isolated_local_ids_n1_cs0p00_seed11_20260610T163224_81801ea4,S1_isolated,S1,local_ids,11,1,0.0,afa00e82de9d209b,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1630056660214904,,,
S1_isolated_fcgnn_n1_cs0p00_seed71_20260610T160042_d709bdba,new_experiments/results/S1_isolated/runs/S1_isolated_fcgnn_n1_cs0p00_seed71_20260610T160042_d709bdba,S1_isolated,S1,fcgnn,71,1,0.0,1d4260822827ecee,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5386111111111112,0.7935582101600597,0,32,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2291480840067379,0.0244900000107008,0.0390877090103458,0.0029480420053005
S1_isolated_descriptor_clustering_n1_cs0p00_seed97_20260610T160044_c68d5c8e,new_experiments/results/S1_isolated/runs/S1_isolated_descriptor_clustering_n1_cs0p00_seed97_20260610T160044_c68d5c8e,S1_isolated,S1,descriptor_clustering,97,1,0.0,6ae833bed65fdcb1,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5079861111111111,0.5912738029389053,0,57,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1996531249897088,0.0300230830034706,,0.0015538340085186
S1_isolated_fcgnn_n1_cs0p00_seed11_20260610T163225_d0ce0b01,new_experiments/results/S1_isolated/runs/S1_isolated_fcgnn_n1_cs0p00_seed11_20260610T163225_d0ce0b01,S1_isolated,S1,fcgnn,11,1,0.0,afa00e82de9d209b,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2311284589814022,0.0301330829970538,0.0366842499934136,0.0022325830068439
S1_isolated_local_ids_n1_cs0p00_seed101_20260610T160044_92c5bad6,new_experiments/results/S1_isolated/runs/S1_isolated_local_ids_n1_cs0p00_seed101_20260610T160044_92c5bad6,S1_isolated,S1,local_ids,101,1,0.0,1061a54a1b0689b0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9041666666666668,0.9091637429712394,0,64,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1555393750022631,,,
S1_isolated_descriptor_clustering_n1_cs0p00_seed11_20260610T163224_9c72ad83,new_experiments/results/S1_isolated/runs/S1_isolated_descriptor_clustering_n1_cs0p00_seed11_20260610T163224_9c72ad83,S1_isolated,S1,descriptor_clustering,11,1,0.0,afa00e82de9d209b,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2524147079966496,0.0316953330184333,,0.0015569170063827
S1_isolated_descriptor_clustering_n1_cs0p00_seed41_20260610T160039_b5318403,new_experiments/results/S1_isolated/runs/S1_isolated_descriptor_clustering_n1_cs0p00_seed41_20260610T160039_b5318403,S1_isolated,S1,descriptor_clustering,41,1,0.0,b2435b81685fef62,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5121527777777778,0.5988197029357498,0,73,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2533893329964485,0.0315997080178931,,0.0013994589971844
S1_isolated_fcgnn_n1_cs0p00_seed67_20260610T160041_7eefc728,new_experiments/results/S1_isolated/runs/S1_isolated_fcgnn_n1_cs0p00_seed67_20260610T160041_7eefc728,S1_isolated,S1,fcgnn,67,1,0.0,70105508ea0a1d63,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5730555555555555,0.8037740115593197,0,37,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2309226249926723,0.0245570840197615,0.0400399999925866,0.0031132499861996
S1_isolated_descriptor_clustering_n1_cs0p00_seed67_20260610T160041_6adbcf77,new_experiments/results/S1_isolated/runs/S1_isolated_descriptor_clustering_n1_cs0p00_seed67_20260610T160041_6adbcf77,S1_isolated,S1,descriptor_clustering,67,1,0.0,70105508ea0a1d63,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5730555555555555,0.8037740115593197,0,37,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.215681959001813,0.0249119159998372,,0.0013707079924643
S1_isolated_local_ids_n1_cs0p00_seed71_20260610T160042_82a6189c,new_experiments/results/S1_isolated/runs/S1_isolated_local_ids_n1_cs0p00_seed71_20260610T160042_82a6189c,S1_isolated,S1,local_ids,71,1,0.0,1d4260822827ecee,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9969444444444444,0.9984473310597928,0,32,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1587657500058412,,,
