Scenario,Method,Campaign size,Vehicle recall,False campaign alert rate,Incorrect campaign merging,Benign vehicles incorrectly included,Detected campaign clusters,Campaign precision,Campaign recall
S0,M2 Descriptor clustering,0,0.000,0.667,0.000,2.000,2.000,N/A,N/A
S0,M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,2.000 $\pm$ 0.000,0.000 $\pm$ 0.000,N/A,N/A
S0,M1 Local IDS,0,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,2.000 $\pm$ 0.000,0.000 $\pm$ 0.000,N/A,N/A
S0,M3 Standard GNN,0,0.000,0.000,0.000,2.000,0.000,N/A,N/A
S1,M2 Descriptor clustering,1,1.000,0.000,0.000,2.000,0.000,N/A,N/A
S1,M4 Proposed FCGNN (GraphSAGEFleetCorrelator),1,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,1.500 $\pm$ 0.707,0.000 $\pm$ 0.000,N/A,N/A
S1,M1 Local IDS,1,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,1.500 $\pm$ 0.707,0.000 $\pm$ 0.000,N/A,N/A
S1,M3 Standard GNN,1,1.000,0.000,0.000,2.000,0.000,N/A,N/A
S2,M2 Descriptor clustering,5,1.000 $\pm$ 0.000,0.667 $\pm$ 0.000,0.000 $\pm$ 0.000,1.000 $\pm$ 0.000,2.000 $\pm$ 0.000,N/A,N/A
S2,M2 Descriptor clustering,10,1.000 $\pm$ 0.000,0.667 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,2.000 $\pm$ 0.000,N/A,N/A
S2,M4 Proposed FCGNN (GraphSAGEFleetCorrelator),5,1.000 $\pm$ 0.000,0.667 $\pm$ 0.000,0.000 $\pm$ 0.000,1.000 $\pm$ 0.000,2.000 $\pm$ 0.000,N/A,N/A
S2,M4 Proposed FCGNN (GraphSAGEFleetCorrelator),10,1.000 $\pm$ 0.000,0.750 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,3.000 $\pm$ 0.000,N/A,N/A
S2,M1 Local IDS,5,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,N/A,N/A
S2,M1 Local IDS,10,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,N/A,N/A
S2,M3 Standard GNN,5,1.000 $\pm$ 0.000,0.750 $\pm$ 0.000,0.000 $\pm$ 0.000,1.000 $\pm$ 0.000,3.000 $\pm$ 0.000,N/A,N/A
S2,M3 Standard GNN,10,1.000 $\pm$ 0.000,0.667 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,2.000 $\pm$ 0.000,N/A,N/A
