Method,Campaign size,Event precision,Event recall,Event F1,Attacked-vehicle recall,Campaign detection rate,Campaign F1,Incorrect merging,Latency (s)
M2 Descriptor clustering,2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,0.500 $\pm$ 0.707,0.333 $\pm$ 0.471,0.000 $\pm$ 0.000,0.642 $\pm$ 0.022
M2 Descriptor clustering,5,0.667 $\pm$ 0.000,1.000 $\pm$ 0.000,0.800 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.333 $\pm$ 0.471,0.000 $\pm$ 0.000,1.440 $\pm$ 0.059
M2 Descriptor clustering,10,0.951 $\pm$ 0.000,1.000 $\pm$ 0.000,0.975 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.833 $\pm$ 0.236,0.000 $\pm$ 0.000,2.591 $\pm$ 0.034
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,0.667 $\pm$ 0.577,0.556 $\pm$ 0.509,0.000 $\pm$ 0.000,0.686 $\pm$ 0.033
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),5,0.667 $\pm$ 0.000,1.000 $\pm$ 0.000,0.800 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,1.481 $\pm$ 0.010
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),10,0.951 $\pm$ 0.000,1.000 $\pm$ 0.000,0.975 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.333 $\pm$ 0.471,0.000 $\pm$ 0.000,2.765 $\pm$ 0.075
M1 Local IDS,2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.580 $\pm$ 0.018
M1 Local IDS,5,0.667 $\pm$ 0.000,1.000 $\pm$ 0.000,0.800 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,1.262 $\pm$ 0.009
M1 Local IDS,10,0.951 $\pm$ 0.000,1.000 $\pm$ 0.000,0.975 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,2.493 $\pm$ 0.056
M3 Standard GNN,2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.500 $\pm$ 0.707,0.000 $\pm$ 0.000,0.704 $\pm$ 0.020
M3 Standard GNN,5,0.667 $\pm$ 0.000,1.000 $\pm$ 0.000,0.800 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.333 $\pm$ 0.471,0.000 $\pm$ 0.000,1.425 $\pm$ 0.007
M3 Standard GNN,10,0.951 $\pm$ 0.000,1.000 $\pm$ 0.000,0.975 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,2.825 $\pm$ 0.030
