Method,Campaign size,Event precision,Event recall,Event F1,Event FPR,Attacked-vehicle recall,Campaign detection rate,Campaign F1,Weak malicious recovered,Weak benign promoted,Latency (s)
M2 Descriptor clustering,2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.900 $\pm$ 0.308,0.650 $\pm$ 0.411,240.000 $\pm$ 0.000,180.000 $\pm$ 6.928,0.784 $\pm$ 0.069
M2 Descriptor clustering,5,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,0.762 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.750 $\pm$ 0.444,0.600 $\pm$ 0.466,480.000 $\pm$ 0.000,183.500 $\pm$ 8.769,1.688 $\pm$ 0.131
M2 Descriptor clustering,10,0.737 $\pm$ 0.000,1.000 $\pm$ 0.000,0.848 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.500 $\pm$ 0.513,0.350 $\pm$ 0.452,840.000 $\pm$ 0.000,175.500 $\pm$ 7.990,3.228 $\pm$ 0.219
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.600 $\pm$ 0.503,0.533 $\pm$ 0.464,240.000 $\pm$ 0.000,180.000 $\pm$ 6.928,0.838 $\pm$ 0.056
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),5,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,0.762 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.750 $\pm$ 0.444,0.450 $\pm$ 0.475,480.000 $\pm$ 0.000,183.500 $\pm$ 8.769,1.720 $\pm$ 0.117
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),10,0.737 $\pm$ 0.000,1.000 $\pm$ 0.000,0.848 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.900 $\pm$ 0.308,0.433 $\pm$ 0.497,840.000 $\pm$ 0.000,175.500 $\pm$ 7.990,3.336 $\pm$ 0.432
M1 Local IDS,2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,240.000 $\pm$ 0.000,180.000 $\pm$ 6.928,0.694 $\pm$ 0.066
M1 Local IDS,5,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,0.762 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,480.000 $\pm$ 0.000,183.500 $\pm$ 8.769,1.596 $\pm$ 0.186
M1 Local IDS,10,0.737 $\pm$ 0.000,1.000 $\pm$ 0.000,0.848 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.000 $\pm$ 0.000,0.000 $\pm$ 0.000,840.000 $\pm$ 0.000,175.500 $\pm$ 7.990,3.135 $\pm$ 0.402
M3 Standard GNN,2,0.444 $\pm$ 0.000,1.000 $\pm$ 0.000,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.500 $\pm$ 0.513,0.133 $\pm$ 0.274,240.000 $\pm$ 0.000,180.000 $\pm$ 6.928,0.851 $\pm$ 0.117
M3 Standard GNN,5,0.615 $\pm$ 0.000,1.000 $\pm$ 0.000,0.762 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.550 $\pm$ 0.510,0.400 $\pm$ 0.466,480.000 $\pm$ 0.000,183.500 $\pm$ 8.769,1.710 $\pm$ 0.074
M3 Standard GNN,10,0.737 $\pm$ 0.000,1.000 $\pm$ 0.000,0.848 $\pm$ 0.000,1.000 $\pm$ 0.000,1.000 $\pm$ 0.000,0.750 $\pm$ 0.444,0.433 $\pm$ 0.460,840.000 $\pm$ 0.000,175.500 $\pm$ 7.990,3.295 $\pm$ 0.317
