Scenario,Metric,Comparison,Paired seeds,Test,Mean paired difference,95% CI,p-value,Holm p-value,Effect size
S3,recall,FCGNN vs local_ids,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,recall,FCGNN vs descriptor_clustering,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,recall,FCGNN vs standard_gnn,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,f1,FCGNN vs local_ids,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,f1,FCGNN vs descriptor_clustering,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,f1,FCGNN vs standard_gnn,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,fpr,FCGNN vs local_ids,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,fpr,FCGNN vs descriptor_clustering,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,fpr,FCGNN vs standard_gnn,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S3,campaign_f1,FCGNN vs local_ids,60,wilcoxon,0.406,"[0.292, 0.519]",0.0,0.0,0.0
S3,campaign_f1,FCGNN vs descriptor_clustering,60,wilcoxon,0.083,"[-0.076, 0.242]",0.1733,1.0,0.0
S3,campaign_f1,FCGNN vs standard_gnn,60,wilcoxon,0.039,"[-0.113, 0.191]",0.7677,1.0,0.0
S3,campaign_detection_rate,FCGNN vs local_ids,60,wilcoxon,0.967,"[0.920, 1.013]",0.0,0.0,1.0
S3,campaign_detection_rate,FCGNN vs descriptor_clustering,60,wilcoxon,0.267,"[0.151, 0.382]",0.0001,0.0008,0.0
S3,campaign_detection_rate,FCGNN vs standard_gnn,60,wilcoxon,0.033,"[-0.049, 0.115]",0.4142,1.0,0.0
S4,recall,FCGNN vs local_ids,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,recall,FCGNN vs descriptor_clustering,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,recall,FCGNN vs standard_gnn,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,f1,FCGNN vs local_ids,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,f1,FCGNN vs descriptor_clustering,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,f1,FCGNN vs standard_gnn,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,fpr,FCGNN vs local_ids,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,fpr,FCGNN vs descriptor_clustering,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,fpr,FCGNN vs standard_gnn,60,wilcoxon,0.0,N/A,1.0,1.0,0.0
S4,campaign_f1,FCGNN vs local_ids,60,wilcoxon,0.472,"[0.350, 0.594]",0.0,0.0,0.667
S4,campaign_f1,FCGNN vs descriptor_clustering,60,wilcoxon,-0.061,"[-0.234, 0.111]",0.5752,1.0,0.0
S4,campaign_f1,FCGNN vs standard_gnn,60,wilcoxon,0.15,"[0.003, 0.297]",0.0658,0.7902,0.0
S4,campaign_detection_rate,FCGNN vs local_ids,60,wilcoxon,0.75,"[0.637, 0.863]",0.0,0.0,1.0
S4,campaign_detection_rate,FCGNN vs descriptor_clustering,60,wilcoxon,0.033,"[-0.131, 0.198]",0.6831,1.0,0.0
S4,campaign_detection_rate,FCGNN vs standard_gnn,60,wilcoxon,0.15,"[0.001, 0.299]",0.0495,0.6439,0.0
