method,similarity_threshold,top_k_same_vehicle,unique_undirected_edges,pyg_stored_edges,average_degree,isolated_node_percentage,cross_vehicle_edge_percentage,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,graph_construction_time_sec,runtime_gnn_inference_sec,runtime_total_sec
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.9,10,4824,9648,13.109,4.076,3.338,0.0,0.0,0.0,0.0,0.074,0.09,1.684
M3 Standard GNN,0.95,10,4137,8274,11.242,9.103,0.193,1.0,1.0,1.0,1.0,0.072,0.137,1.703
M3 Standard GNN,0.95,5,2422,4844,6.582,9.103,0.33,0.0,0.0,0.0,0.0,0.052,0.066,1.564
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.85,10,5214,10428,14.168,1.63,6.713,0.0,0.0,0.0,0.0,0.072,0.159,1.74
M3 Standard GNN,0.75,5,3818,7636,10.375,0.136,26.951,0.0,0.0,0.0,0.0,0.057,0.127,1.705
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.95,10,4137,8274,11.242,9.103,0.193,0.0,0.0,0.0,0.0,0.071,0.081,1.694
M3 Standard GNN,0.95,10,4137,8274,11.242,9.103,0.193,1.0,1.0,1.0,1.0,0.07,0.073,1.63
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.9,10,4824,9648,13.109,4.076,3.338,0.0,0.0,0.0,0.0,0.071,0.085,1.645
M3 Standard GNN,0.75,10,7005,14010,19.035,0.136,27.666,0.0,1.0,0.0,1.0,0.078,0.131,1.671
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.9,10,4824,9648,13.109,4.076,3.338,0.0,0.0,0.0,0.0,0.074,0.141,1.737
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.8,5,3234,6468,8.788,0.272,15.584,1.0,1.0,1.0,1.0,0.05,0.077,1.655
M3 Standard GNN,0.8,5,3234,6468,8.788,0.272,15.584,0.0,1.0,0.0,1.0,0.055,0.064,1.636
M3 Standard GNN,0.9,5,2753,5506,7.481,4.076,5.848,0.0,0.0,0.0,0.0,0.054,0.069,1.587
M3 Standard GNN,0.9,10,4824,9648,13.109,4.076,3.338,1.0,1.0,1.0,1.0,0.072,0.126,1.714
M3 Standard GNN,0.8,10,5828,11656,15.837,0.272,14.842,0.0,1.0,0.0,1.0,0.072,0.08,1.58
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.75,10,7005,14010,19.035,0.136,27.666,0.0,1.0,0.0,1.0,0.079,0.158,1.756
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.95,5,2422,4844,6.582,9.103,0.33,0.0,0.0,0.0,0.0,0.051,0.074,1.631
M3 Standard GNN,0.9,10,4824,9648,13.109,4.076,3.338,1.0,1.0,1.0,1.0,0.074,0.08,1.627
M3 Standard GNN,0.75,10,7005,14010,19.035,0.136,27.666,0.0,1.0,0.0,1.0,0.076,0.081,1.602
M3 Standard GNN,0.95,10,4137,8274,11.242,9.103,0.193,1.0,1.0,1.0,1.0,0.066,0.076,1.609
M3 Standard GNN,0.85,10,5214,10428,14.168,1.63,6.713,0.0,1.0,0.0,1.0,0.074,0.144,1.679
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.75,5,3818,7636,10.375,0.136,26.951,1.0,1.0,1.0,1.0,0.055,0.157,1.774
M3 Standard GNN,0.85,10,5214,10428,14.168,1.63,6.713,0.0,1.0,0.0,1.0,0.07,0.078,1.604
M3 Standard GNN,0.9,10,4824,9648,13.109,4.076,3.338,1.0,1.0,1.0,1.0,0.072,0.08,1.609
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.8,10,5828,11656,15.837,0.272,14.842,1.0,1.0,1.0,1.0,0.071,0.121,1.821
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.85,5,3014,6028,8.19,1.63,11.48,0.0,0.0,0.0,0.0,0.051,0.079,1.604
M3 Standard GNN,0.8,10,5828,11656,15.837,0.272,14.842,0.0,1.0,0.0,1.0,0.079,0.131,1.677
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.75,10,7005,14010,19.035,0.136,27.666,0.0,1.0,0.0,1.0,0.079,0.152,1.728
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.95,10,4137,8274,11.242,9.103,0.193,0.0,0.0,0.0,0.0,0.068,0.089,1.621
M3 Standard GNN,0.85,5,3014,6028,8.19,1.63,11.48,0.0,0.0,0.0,0.0,0.056,0.068,1.576
M3 Standard GNN,0.75,10,7005,14010,19.035,0.136,27.666,0.0,1.0,0.0,1.0,0.089,0.084,1.638
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.8,10,5828,11656,15.837,0.272,14.842,1.0,1.0,1.0,1.0,0.077,0.221,1.808
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.85,10,5214,10428,14.168,1.63,6.713,0.0,0.0,0.0,0.0,0.08,0.139,1.752
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.75,10,7005,14010,19.035,0.136,27.666,0.0,1.0,0.0,1.0,0.076,0.1,1.661
M3 Standard GNN,0.85,10,5214,10428,14.168,1.63,6.713,0.0,1.0,0.0,1.0,0.073,0.076,1.607
M3 Standard GNN,0.8,10,5828,11656,15.837,0.272,14.842,0.0,1.0,0.0,1.0,0.076,0.143,1.707
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.95,10,4137,8274,11.242,9.103,0.193,0.0,0.0,0.0,0.0,0.075,0.084,1.664
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.8,10,5828,11656,15.837,0.272,14.842,1.0,1.0,1.0,1.0,0.073,0.125,1.716
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.85,10,5214,10428,14.168,1.63,6.713,0.0,0.0,0.0,0.0,0.071,0.11,1.707
M4 Proposed FCGNN (GraphSAGEFleetCorrelator),0.9,5,2753,5506,7.481,4.076,5.848,1.0,1.0,1.0,1.0,0.054,0.071,1.637
