method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_local_ids_sec,runtime_total_sec,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec
local_ids,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0603502499870955,,,
fcgnn,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1046747920045163,0.0314406249963212,0.0078727500222157,0.0015767920122016
standard_gnn,53,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,172,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1243575420230627,0.0338924590032547,0.0236157499894034,0.0018917919951491
fcgnn,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.139058875007322,0.0332843750074971,0.0403418749920092,0.0027694579912349
local_ids,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0594670839782338,,,
local_ids,71,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,175,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0580579169909469,,,
descriptor_clustering,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.6666666666666666,2,0,0,30,,0.1099936669925227,0.0337334579962771,,0.0022681659902445
standard_gnn,71,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,175,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1225067079940345,0.0324579580046702,0.0245769589964766,0.0017485420103184
local_ids,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0601265839941334,,,
local_ids,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0612204589997418,,,
