method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_local_ids_sec,runtime_total_sec,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1630056660214904,,,
fcgnn,71,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5386111111111112,0.7935582101600597,0,32,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2291480840067379,0.0244900000107008,0.0390877090103458,0.0029480420053005
descriptor_clustering,97,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5079861111111111,0.5912738029389053,0,57,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1996531249897088,0.0300230830034706,,0.0015538340085186
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2311284589814022,0.0301330829970538,0.0366842499934136,0.0022325830068439
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1977184170100372,0.0303809170145541,0.0093905419926159,0.0023931250034365
local_ids,101,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9041666666666668,0.9091637429712394,0,64,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1555393750022631,,,
descriptor_clustering,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2524147079966496,0.0316953330184333,,0.0015569170063827
fcgnn,23,S1_isolated,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,39,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1498416250105947,0.019500041991705,0.0799966659978963,0.0118490830063819
descriptor_clustering,41,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5121527777777778,0.5988197029357498,0,73,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2533893329964485,0.0315997080178931,,0.0013994589971844
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2408101249893661,0.0370245420199353,0.0479265000030864,0.0039730000135023
local_ids,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1519440420088358,,,
fcgnn,67,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5730555555555555,0.8037740115593197,0,37,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2309226249926723,0.0245570840197615,0.0400399999925866,0.0031132499861996
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2313179580087307,0.0314344169746618,0.0378035000176169,0.0024923340242821
standard_gnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2280019169847946,0.0326645839959383,0.0330277500033844,0.0025459159805905
descriptor_clustering,67,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5730555555555555,0.8037740115593197,0,37,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.215681959001813,0.0249119159998372,,0.0013707079924643
local_ids,71,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9969444444444444,0.9984473310597928,0,32,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1587657500058412,,,
local_ids,83,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9022222222222224,0.9072425568493164,0,70,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.2081842090119607,,,
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1520665000134613,,,
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2747170410002582,0.0340126670198515,0.0699768750055227,0.0027364580018911
standard_gnn,83,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5170833333333333,0.5958250843855503,0,70,0.3333333333333333,1.0,0.5,1,2,0.0,0.0,0.0,0.0,0.5,1,0,0,12,,0.2795330829976592,0.0320041659870184,0.0339096669922582,0.0025238750095013
