method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
standard_gnn,67,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8926861111111111,0.9535175970602048,0,188,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,28,0.0899963750271126,0.0798172499926295,0.0043115839944221,1.4655285419721622,
descriptor_clustering,23,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7754305555555556,0.7510556067716118,0,174,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,10,0.0546325830218847,,0.002821958012646,0.6458907919877674,
standard_gnn,37,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7781736111111112,0.7650360762556104,0,178,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,2,1,0,26,0.0555182500102091,0.0535197500139474,0.0043135420128237,0.7254452079941984,
local_ids,53,S3_strong_campaign,10,0.75,3,0,0,0,0.9441384736428008,1.0,0.971266693646297,1.0,0.0,0.9674647887323944,0.9979830751429476,0,40,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.4775748749962077,0.0
descriptor_clustering,71,S3_strong_campaign,5,1.0,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8796416666666668,0.9466659755934178,0,166,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,359,0.0914739170111715,,0.004285582981538,1.4225245830020867,
local_ids,11,S3_strong_campaign,10,1.0,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9761155913978496,0.9986875025531742,0,44,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.4531527909857687,0.0
fcgnn,23,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8862861111111111,0.949255460640153,0,166,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,8,1,0,303,0.0821099999884609,0.0784058750141412,0.0052429169882088,1.4327514579927083,
fcgnn,11,S3_strong_campaign,10,1.0,2,1,0,0,0.7058823529411765,1.0,0.8275862068965517,1.0,0.0,0.665326388888889,0.8141181072421046,0,180,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,2,1,0,228,0.0880130830046255,0.0920370829990133,0.0054605829936917,1.4589661250065546,
standard_gnn,71,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8796416666666668,0.9466659755934178,0,166,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,1,0,72,0.0850335420109331,0.0689489590004086,0.0044808330130763,1.4703359169943724,
local_ids,11,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777776,0.9394668658466336,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,0.5915760829811916,0.0
standard_gnn,11,S3_strong_campaign,10,1.0,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,1,0,516,0.1374546669831033,0.1498614999873098,0.0084021670045331,3.0538317909813486,
