method,scenario_key,campaign_size,coordination_strength,seed_mean,seed_std,seed_count,campaign_size_mean,campaign_size_std,campaign_size_count,coordination_strength_mean,coordination_strength_std,coordination_strength_count,tp_mean,tp_std,tp_count,fp_mean,fp_std,fp_count,tn_mean,tn_std,tn_count,fn_mean,fn_std,fn_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,fpr_mean,fpr_std,fpr_count,fnr_mean,fnr_std,fnr_count,roc_auc_mean,roc_auc_std,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,weak_malicious_recovered_mean,weak_malicious_recovered_std,weak_malicious_recovered_count,weak_benign_promoted_mean,weak_benign_promoted_std,weak_benign_promoted_count,vehicle_precision_mean,vehicle_precision_std,vehicle_precision_count,vehicle_recall_mean,vehicle_recall_std,vehicle_recall_count,vehicle_f1_mean,vehicle_f1_std,vehicle_f1_count,attacked_vehicles_recovered_mean,attacked_vehicles_recovered_std,attacked_vehicles_recovered_count,benign_vehicles_incorrectly_included_mean,benign_vehicles_incorrectly_included_std,benign_vehicles_incorrectly_included_count,campaign_detection_rate_mean,campaign_detection_rate_std,campaign_detection_rate_count,campaign_precision_mean,campaign_precision_std,campaign_precision_count,campaign_recall_mean,campaign_recall_std,campaign_recall_count,campaign_f1_mean,campaign_f1_std,campaign_f1_count,false_campaign_alert_rate_mean,false_campaign_alert_rate_std,false_campaign_alert_rate_count,n_detected_campaign_clusters_mean,n_detected_campaign_clusters_std,n_detected_campaign_clusters_count,n_ground_truth_campaigns_mean,n_ground_truth_campaigns_std,n_ground_truth_campaigns_count,incorrect_campaign_merging_mean,incorrect_campaign_merging_std,incorrect_campaign_merging_count,coordinated_events_mean,coordinated_events_std,coordinated_events_count,runtime_local_ids_sec_mean,runtime_local_ids_sec_std,runtime_local_ids_sec_count,runtime_total_sec_mean,runtime_total_sec_std,runtime_total_sec_count,runtime_graph_construction_sec_mean,runtime_graph_construction_sec_std,runtime_graph_construction_sec_count,runtime_gnn_inference_sec_mean,runtime_gnn_inference_sec_std,runtime_gnn_inference_sec_count,runtime_clustering_sec_mean,runtime_clustering_sec_std,runtime_clustering_sec_count
descriptor_clustering,S2_non_coordinated,2,0.0,44.857142857142854,33.799993497626005,14,2.0,0.0,14,0.0,0.0,14,0.0,0.0,14,2.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,1.0,0.0,14,0.0,0.0,14,,,0,,,0,0.0,0.0,14,174.64285714285714,5.386695045803462,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,2.0,0.0,14,0.07142857142857142,0.2672612419124244,14,0.07142857142857142,0.2672612419124244,14,0.07142857142857142,0.2672612419124244,14,0.07142857142857142,0.2672612419124244,14,0.6011904761904762,0.18541525187755084,14,1.7857142857142858,0.6992932067530679,14,0.0,0.0,14,0.0,0.0,14,24.928571428571427,9.310575341342403,14,,,0,0.20143593457136633,0.005598087286672379,14,0.03250698786203944,0.0015469623872177247,14,,,0,0.0019626695720944003,0.0005696638290017535,14
descriptor_clustering,S2_non_coordinated,2,0.25,44.857142857142854,33.799993497626005,14,2.0,0.0,14,0.25,0.0,14,0.0,0.0,14,2.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,1.0,0.0,14,0.0,0.0,14,,,0,,,0,0.0,0.0,14,174.64285714285714,5.38669504580345,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,2.0,0.0,14,0.07142857142857142,0.2672612419124244,14,0.07142857142857142,0.2672612419124244,14,0.07142857142857142,0.2672612419124244,14,0.07142857142857142,0.2672612419124244,14,0.6011904761904762,0.18541525187755084,14,1.7857142857142858,0.6992932067530678,14,0.0,0.0,14,0.0,0.0,14,24.928571428571427,9.310575341342402,14,,,0,0.2001275922832844,0.0054845364277888,14,0.03256736307230308,0.0016314672415950811,14,,,0,0.0018821340719503501,0.0005616895664149714,14
descriptor_clustering,S2_non_coordinated,5,0.0,47.46153846153846,33.686335965332155,13,5.0,0.0,13,0.0,0.0,13,2.0,0.0,13,1.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.4444444444444444,0.0,13,1.0,0.0,13,0.6153846153846154,0.0,13,1.0,0.0,13,0.0,0.0,13,0.7775555555555556,0.005572125174554678,13,0.7654251217004455,0.007800269328276478,13,0.0,0.0,13,182.30769230769232,7.565102063473384,13,0.6666666666666666,0.0,13,1.0,0.0,13,0.8,0.0,13,2.0,0.0,13,1.0,0.0,13,0.07692307692307693,0.2773500981126145,13,0.07692307692307693,0.2773500981126145,13,0.07692307692307693,0.2773500981126145,13,0.07692307692307693,0.2773500981126145,13,0.5641025641025641,0.18681617943926832,13,1.5384615384615385,0.6602252917735248,13,2.0,0.0,13,0.3076923076923077,0.48038446141526137,13,155.23076923076923,63.845064865597145,13,,,0,0.3820205512993897,0.01622466342135751,13,0.0551008653038969,0.0021933477424612192,13,,,0,0.0028450384561437537,0.00012943478590037735,13
descriptor_clustering,S2_non_coordinated,5,0.25,47.46153846153846,33.686335965332155,13,5.0,0.0,13,0.25,0.0,13,2.0,0.0,13,1.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.4444444444444444,0.0,13,1.0,0.0,13,0.6153846153846154,0.0,13,1.0,0.0,13,0.0,0.0,13,0.7775555555555556,0.005572125174554694,13,0.7654251217004455,0.007800269328276464,13,0.0,0.0,13,182.30769230769232,7.565102063473383,13,0.6666666666666666,0.0,13,1.0,0.0,13,0.8,0.0,13,2.0,0.0,13,1.0,0.0,13,0.07692307692307693,0.2773500981126145,13,0.07692307692307693,0.2773500981126145,13,0.07692307692307693,0.2773500981126145,13,0.07692307692307693,0.2773500981126145,13,0.5641025641025641,0.1868161794392683,13,1.5384615384615385,0.6602252917735247,13,2.0,0.0,13,0.3076923076923077,0.4803844614152614,13,155.23076923076923,63.845064865597145,13,,,0,0.38161503515304784,0.016489154432264404,13,0.05523183653265446,0.0019723386856346516,13,,,0,0.0028435704611742925,0.00026963612902964305,13
descriptor_clustering,S2_non_coordinated,10,0.0,47.46153846153846,33.686335965332155,13,10.0,0.0,13,0.0,0.0,13,3.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.6153846153846154,0.0,13,1.0,0.0,13,0.761904761904762,0.0,13,1.0,0.0,13,0.0,0.0,13,0.8421912393162393,0.006254056113995047,13,0.9040703732749737,0.004962617294400326,13,0.0,0.0,13,185.23076923076923,8.467131018964325,13,1.0,0.0,13,1.0,0.0,13,1.0,0.0,13,3.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.6538461538461539,0.046225016352102424,13,1.9230769230769231,0.27735009811261463,13,4.0,0.0,13,0.07692307692307693,0.2773500981126145,13,227.69230769230768,46.575001548371084,13,,,0,0.6446007180023187,0.021256897611694987,13,0.07464739438728425,0.002300822444533511,13,,,0,0.004063397764604354,0.00020157200353602294,13
descriptor_clustering,S2_non_coordinated,10,0.25,47.46153846153846,33.686335965332155,13,10.0,0.0,13,0.25,0.0,13,3.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.6153846153846154,0.0,13,1.0,0.0,13,0.761904761904762,0.0,13,1.0,0.0,13,0.0,0.0,13,0.8421912393162393,0.0062540561139950235,13,0.9040703732749737,0.004962617294400291,13,0.0,0.0,13,185.23076923076923,8.467131018964317,13,1.0,0.0,13,1.0,0.0,13,1.0,0.0,13,3.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.6538461538461539,0.04622501635210242,13,1.9230769230769231,0.2773500981126145,13,4.0,0.0,13,0.07692307692307693,0.2773500981126145,13,227.69230769230768,46.57500154837109,13,,,0,0.6486844039240028,0.017143232162452594,13,0.07627549376831243,0.0030799235794134604,13,,,0,0.004036961387520461,0.0002377258731470605,13
fcgnn,S2_non_coordinated,2,0.0,34.72727272727273,30.150703724207418,22,2.0,0.0,22,0.0,0.0,22,0.0,0.0,22,2.0,0.0,22,0.0,0.0,22,0.0,0.0,22,0.0,0.0,22,0.0,0.0,22,0.0,0.0,22,1.0,0.0,22,0.0,0.0,22,,,0,,,0,0.0,0.0,22,174.4090909090909,4.915079720412339,22,0.0,0.0,22,0.0,0.0,22,0.0,0.0,22,0.0,0.0,22,2.0,0.0,22,0.9545454545454546,0.21320071635561041,22,0.9545454545454546,0.21320071635561041,22,0.9545454545454546,0.21320071635561041,22,0.9545454545454546,0.21320071635561041,22,0.022727272727272728,0.10660035817780521,22,0.045454545454545456,0.21320071635561041,22,0.0,0.0,22,0.0,0.0,22,0.45454545454545453,2.1320071635561044,22,,,0,0.21439064400328786,0.017547256309721194,22,0.032274110001956305,0.0025837812041178804,22,0.02124330877003636,0.010087392573479653,22,0.001979384505168741,0.0010248143294561256,22
fcgnn,S2_non_coordinated,2,0.25,44.857142857142854,33.799993497626005,14,2.0,0.0,14,0.25,0.0,14,0.0,0.0,14,2.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,1.0,0.0,14,0.0,0.0,14,,,0,,,0,0.0,0.0,14,174.64285714285714,5.386695045803458,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,2.0,0.0,14,0.9285714285714286,0.2672612419124244,14,0.9285714285714286,0.2672612419124244,14,0.9285714285714286,0.2672612419124244,14,0.9285714285714286,0.2672612419124244,14,0.03571428571428571,0.1336306209562122,14,0.07142857142857142,0.2672612419124244,14,0.0,0.0,14,0.0,0.0,14,0.7142857142857143,2.6726124191242437,14,,,0,0.22431821735101812,0.00995081034383104,14,0.03413250885621107,0.005975884540107327,14,0.030381107068803512,0.0018852735253706624,14,0.0019291012161244644,0.0004126061633877243,14
fcgnn,S2_non_coordinated,5,0.0,47.46153846153846,33.686335965332155,13,5.0,0.0,13,0.0,0.0,13,2.0,0.0,13,1.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.4444444444444444,0.0,13,1.0,0.0,13,0.6153846153846154,0.0,13,1.0,0.0,13,0.0,0.0,13,0.7775555555555556,0.005572125174554676,13,0.7654251217004455,0.007800269328276479,13,0.0,0.0,13,182.30769230769232,7.565102063473383,13,0.6666666666666666,0.0,13,1.0,0.0,13,0.8,0.0,13,2.0,0.0,13,1.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.7333333333333333,0.06770032003863304,13,3.0,1.0801234497346435,13,2.0,0.0,13,0.0,0.0,13,66.38461538461539,15.462527076443346,13,,,0,0.4435830896948643,0.015207800603974628,13,0.056340105536107216,0.002695173334404826,13,0.07162548384467995,0.005067659071892641,13,0.004176307536769015,0.00035033368159786147,13
fcgnn,S2_non_coordinated,5,0.25,47.46153846153846,33.686335965332155,13,5.0,0.0,13,0.25,0.0,13,2.0,0.0,13,1.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.4444444444444444,0.0,13,1.0,0.0,13,0.6153846153846154,0.0,13,1.0,0.0,13,0.0,0.0,13,0.7775555555555556,0.0055721251745546735,13,0.7654251217004455,0.007800269328276465,13,0.0,0.0,13,182.30769230769232,7.565102063473385,13,0.6666666666666666,0.0,13,1.0,0.0,13,0.8,0.0,13,2.0,0.0,13,1.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.0,0.0,13,0.7333333333333333,0.06770032003863302,13,3.0,1.0801234497346435,13,2.0,0.0,13,0.0,0.0,13,66.38461538461539,15.462527076443344,13,,,0,0.465340820541874,0.03782076151779293,13,0.0594839806144591,0.011267238053149822,13,0.0865962499967561,0.028107757358957118,13,0.004325442387758215,0.0007401080376961961,13
