method,scenario_key,campaign_size,coordination_strength,seed_mean,seed_std,seed_count,campaign_size_mean,campaign_size_std,campaign_size_count,coordination_strength_mean,coordination_strength_std,coordination_strength_count,tp_mean,tp_std,tp_count,fp_mean,fp_std,fp_count,tn_mean,tn_std,tn_count,fn_mean,fn_std,fn_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,fpr_mean,fpr_std,fpr_count,fnr_mean,fnr_std,fnr_count,roc_auc_mean,roc_auc_std,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,weak_malicious_recovered_mean,weak_malicious_recovered_std,weak_malicious_recovered_count,weak_benign_promoted_mean,weak_benign_promoted_std,weak_benign_promoted_count,vehicle_precision_mean,vehicle_precision_std,vehicle_precision_count,vehicle_recall_mean,vehicle_recall_std,vehicle_recall_count,vehicle_f1_mean,vehicle_f1_std,vehicle_f1_count,attacked_vehicles_recovered_mean,attacked_vehicles_recovered_std,attacked_vehicles_recovered_count,benign_vehicles_incorrectly_included_mean,benign_vehicles_incorrectly_included_std,benign_vehicles_incorrectly_included_count,campaign_detection_rate_mean,campaign_detection_rate_std,campaign_detection_rate_count,campaign_precision_mean,campaign_precision_std,campaign_precision_count,campaign_recall_mean,campaign_recall_std,campaign_recall_count,campaign_f1_mean,campaign_f1_std,campaign_f1_count,false_campaign_alert_rate_mean,false_campaign_alert_rate_std,false_campaign_alert_rate_count,n_detected_campaign_clusters_mean,n_detected_campaign_clusters_std,n_detected_campaign_clusters_count,n_ground_truth_campaigns_mean,n_ground_truth_campaigns_std,n_ground_truth_campaigns_count,incorrect_campaign_merging_mean,incorrect_campaign_merging_std,incorrect_campaign_merging_count,coordinated_events_mean,coordinated_events_std,coordinated_events_count,runtime_graph_construction_sec_mean,runtime_graph_construction_sec_std,runtime_graph_construction_sec_count,runtime_gnn_inference_sec_mean,runtime_gnn_inference_sec_std,runtime_gnn_inference_sec_count,runtime_clustering_sec_mean,runtime_clustering_sec_std,runtime_clustering_sec_count,runtime_total_sec_mean,runtime_total_sec_std,runtime_total_sec_count,runtime_local_ids_sec_mean,runtime_local_ids_sec_std,runtime_local_ids_sec_count
descriptor_clustering,S4_weak_campaign,2,0.75,11.0,0.0,2,2.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.2222222222222222,0.31426968052735443,2,0.5,0.7071067811865476,2,0.3076923076923077,0.43514263457633695,2,1.0,0.0,2,0.0,0.0,2,0.3927847222222222,,1,0.3628639232696899,,1,120.0,169.7056274847714,2,180.0,14.142135623730951,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,1.0,0.0,2,2.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,31.0,1.4142135623730951,2,0.04168945799756325,0.013859940610096077,2,,,0,0.0021781250106869,0.0006960292523879183,2,0.4835829369985731,0.4070870604720842,2,,,0
descriptor_clustering,S4_weak_campaign,2,1.0,11.0,0.0,2,2.0,0.0,2,1.0,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.2222222222222222,0.31426968052735443,2,0.5,0.7071067811865476,2,0.3076923076923077,0.43514263457633695,2,1.0,0.0,2,0.0,0.0,2,0.3927847222222222,,1,0.3628639232696899,,1,120.0,169.7056274847714,2,180.0,14.142135623730951,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,22.0,11.313708498984761,2,0.04406108349212445,0.015417403413456548,2,,,0,0.0022029375104466,0.0006206919664697877,2,0.5706974165077554,0.3784212167388722,2,,,0
descriptor_clustering,S4_weak_campaign,5,0.75,11.0,0.0,2,5.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3076923076923077,0.43514263457633695,2,0.5,0.7071067811865476,2,0.38095238095238093,0.538748023761179,2,1.0,0.0,2,0.0,0.0,2,0.3780034722222222,,1,0.5189445580217775,,1,240.0,339.4112549695428,2,180.5,14.849242404917497,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,1.0,1.4142135623730951,2,0.5,0.7071067811865476,2,0.0,0.0,2,15.0,21.213203435596427,2,0.0492228329967474,0.025107063717342632,2,,,0,0.0027560419985093,0.0014846300651039095,2,0.9854674790112767,0.9242220035104161,2,,,0
descriptor_clustering,S4_weak_campaign,5,1.0,11.0,0.0,2,5.0,0.0,2,1.0,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3076923076923077,0.43514263457633695,2,0.5,0.7071067811865476,2,0.38095238095238093,0.538748023761179,2,1.0,0.0,2,0.0,0.0,2,0.3780034722222222,,1,0.5189445580217775,,1,240.0,339.4112549695428,2,180.5,14.849242404917497,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,30.5,0.7071067811865476,2,0.05162029150233135,0.026178329757643132,2,,,0,0.00277056249615265,0.0009466696046058018,2,0.9595936460100347,0.8809738791477313,2,,,0
descriptor_clustering,S4_weak_campaign,10,0.75,11.0,0.0,2,10.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3684210526315789,0.5210260492953508,2,0.5,0.7071067811865476,2,0.42424242424242425,0.5999693900976767,2,1.0,0.0,2,0.0,0.0,2,0.365640873015873,,1,0.6345007597489283,,1,420.0,593.9696961966999,2,171.5,2.1213203435596424,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,24.0,8.48528137423857,2,0.06017889649956486,0.03890598737995985,2,,,0,0.00341674999799575,0.0023190160818397573,2,1.8383397295110626,1.7943150713114715,2,,,0
descriptor_clustering,S4_weak_campaign,10,1.0,11.0,0.0,2,10.0,0.0,2,1.0,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3684210526315789,0.5210260492953508,2,0.5,0.7071067811865476,2,0.42424242424242425,0.5999693900976767,2,1.0,0.0,2,0.0,0.0,2,0.365640873015873,,1,0.6345007597489283,,1,420.0,593.9696961966999,2,171.5,2.1213203435596424,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,1.0,1.4142135623730951,2,0.5,0.7071067811865476,2,0.0,0.0,2,15.0,21.213203435596427,2,0.0596362710057292,0.038848063327921886,2,,,0,0.0036322914966149,0.002708984757350171,2,1.7883844999887515,1.729712293154521,2,,,0
fcgnn,S4_weak_campaign,2,0.75,11.0,0.0,2,2.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.2222222222222222,0.31426968052735443,2,0.5,0.7071067811865476,2,0.3076923076923077,0.43514263457633695,2,1.0,0.0,2,0.0,0.0,2,0.3927847222222222,,1,0.3628639232696899,,1,120.0,169.7056274847714,2,180.0,14.142135623730951,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.044166020510601756,0.01336652786616928,2,0.04296404150954905,0.013074699259289948,2,0.00291885450133115,0.0016512421137367297,2,0.5069728120142827,0.38445587177931245,2,,,0
fcgnn,S4_weak_campaign,2,1.0,16.0,6.179143806533246,12,2.0,0.0,12,1.0,0.0,12,0.8333333333333334,1.0298573010888745,12,1.5833333333333333,0.5149286505444373,12,0.0,0.0,12,0.0,0.0,12,0.1851851851851852,0.22885717801974986,12,0.4166666666666667,0.5149286505444373,12,0.25641025641025644,0.31687916956580753,12,1.0,0.0,12,0.0,0.0,12,0.39386527777777774,0.0014796116310382447,5,0.3626975015358982,0.0002278823441421315,5,100.0,123.58287613066493,12,177.66666666666666,8.08290376865476,12,0.27777777777777773,0.3432857670296248,12,0.4166666666666667,0.5149286505444373,12,0.3333333333333333,0.4119429204355498,12,0.8333333333333334,1.0298573010888745,12,1.5833333333333333,0.5149286505444373,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.4166666666666667,0.5149286505444373,12,0.0,0.0,12,0.0,0.0,12,0.04422283341652166,0.016511478394768023,12,0.02562756950404334,0.030668742584398025,12,0.0029087154155907,0.0017930590741556801,12,0.44168615266971756,0.2952163499828332,12,,,0
fcgnn,S4_weak_campaign,5,0.75,11.0,0.0,2,5.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3076923076923077,0.43514263457633695,2,0.5,0.7071067811865476,2,0.38095238095238093,0.538748023761179,2,1.0,0.0,2,0.0,0.0,2,0.3780034722222222,,1,0.5189445580217775,,1,240.0,339.4112549695428,2,180.5,14.849242404917497,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,6.5,9.192388155425117,2,0.049305062493658555,0.02396829723540513,2,0.04711091647914145,0.025574107022080673,2,0.00294943750486705,0.0017793458134243486,2,1.0195087920001242,0.9221783178491691,2,,,0
fcgnn,S4_weak_campaign,5,1.0,11.0,0.0,2,5.0,0.0,2,1.0,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3076923076923077,0.43514263457633695,2,0.5,0.7071067811865476,2,0.38095238095238093,0.538748023761179,2,1.0,0.0,2,0.0,0.0,2,0.3780034722222222,,1,0.5189445580217775,,1,240.0,339.4112549695428,2,180.5,14.849242404917497,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.05096645800222176,0.028650081614469983,2,0.0600435630185529,0.043120932808879256,2,0.0030334585171658,0.0019840829380988133,2,1.0912293540022802,1.018261371795753,2,,,0
fcgnn,S4_weak_campaign,10,0.75,11.0,0.0,2,10.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3684210526315789,0.5210260492953508,2,0.5,0.7071067811865476,2,0.42424242424242425,0.5999693900976767,2,1.0,0.0,2,0.0,0.0,2,0.365640873015873,,1,0.6345007597489283,,1,420.0,593.9696961966999,2,171.5,2.1213203435596424,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.5,0.7071067811865476,2,2.5,3.5355339059327378,2,0.5,0.7071067811865476,2,0.0,0.0,2,63.5,89.80256121069154,2,0.06171668750175735,0.036964861855763684,2,0.0539533959963591,0.027765048380191247,2,0.0036595419951481,0.0027789890675245644,2,1.8691569579968925,1.8028101044042228,2,,,0
fcgnn,S4_weak_campaign,10,1.0,11.0,0.0,2,10.0,0.0,2,1.0,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3684210526315789,0.5210260492953508,2,0.5,0.7071067811865476,2,0.42424242424242425,0.5999693900976767,2,1.0,0.0,2,0.0,0.0,2,0.365640873015873,,1,0.6345007597489283,,1,420.0,593.9696961966999,2,171.5,2.1213203435596424,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.061022270499961395,0.04241824614484453,2,0.062161083493265254,0.047488289453240906,2,0.0033470004855189,0.002411999932188951,2,1.89652543750708,1.8599664004153265,2,,,0
local_ids,S4_weak_campaign,2,0.75,11.0,0.0,2,2.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.2222222222222222,0.31426968052735443,2,0.5,0.7071067811865476,2,0.3076923076923077,0.43514263457633695,2,1.0,0.0,2,0.0,0.0,2,0.3192708333333333,,1,0.3336347326870423,,1,120.0,169.7056274847714,2,180.0,14.142135623730951,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,,,0,,,0,,,0,0.3972938744846033,0.35205420613889654,2,0.0,0.0,2
local_ids,S4_weak_campaign,2,1.0,16.142857142857142,6.162631092157147,14,2.0,0.0,14,1.0,0.0,14,1.0,1.0377490433255416,14,1.5,0.5188745216627707,14,0.0,0.0,14,0.0,0.0,14,0.22222222222222218,0.230610898516787,14,0.5,0.5188745216627708,14,0.30769230769230776,0.3193073979463205,14,1.0,0.0,14,0.0,0.0,14,0.3169821428571428,0.0028544985420923758,7,0.3328817274565909,0.0009391625275993124,7,120.0,124.529885199065,14,178.28571428571428,8.222189222123003,14,0.3333333333333333,0.34591634777518054,14,0.5,0.5188745216627708,14,0.4,0.41509961733021666,14,1.0,1.0377490433255416,14,1.5,0.5188745216627707,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.0,0.0,14,0.5,0.5188745216627708,14,0.0,0.0,14,0.0,0.0,14,,,0,,,0,,,0,0.4095661726439305,0.2708995962256341,14,0.0,0.0,14
local_ids,S4_weak_campaign,5,0.75,11.0,0.0,2,5.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3076923076923077,0.43514263457633695,2,0.5,0.7071067811865476,2,0.38095238095238093,0.538748023761179,2,1.0,0.0,2,0.0,0.0,2,0.3106840277777778,,1,0.485332068746185,,1,240.0,339.4112549695428,2,180.5,14.849242404917497,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,,,0,,,0,,,0,0.9036501039954601,0.8509001568185054,2,0.0,0.0,2
local_ids,S4_weak_campaign,5,1.0,11.0,0.0,2,5.0,0.0,2,1.0,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3076923076923077,0.43514263457633695,2,0.5,0.7071067811865476,2,0.38095238095238093,0.538748023761179,2,1.0,0.0,2,0.0,0.0,2,0.3106840277777778,,1,0.485332068746185,,1,240.0,339.4112549695428,2,180.5,14.849242404917497,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,,,0,,,0,,,0,0.9217827500106068,0.9011681714273947,2,0.0,0.0,2
local_ids,S4_weak_campaign,10,0.75,11.0,0.0,2,10.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3684210526315789,0.5210260492953508,2,0.5,0.7071067811865476,2,0.42424242424242425,0.5999693900976767,2,1.0,0.0,2,0.0,0.0,2,0.3072023809523809,,1,0.6086084841291762,,1,420.0,593.9696961966999,2,171.5,2.1213203435596424,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,,,0,,,0,,,0,1.7260524375160458,1.705619013391124,2,0.0,0.0,2
local_ids,S4_weak_campaign,10,1.0,11.0,0.0,2,10.0,0.0,2,1.0,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.3684210526315789,0.5210260492953508,2,0.5,0.7071067811865476,2,0.42424242424242425,0.5999693900976767,2,1.0,0.0,2,0.0,0.0,2,0.3072023809523809,,1,0.6086084841291762,,1,420.0,593.9696961966999,2,171.5,2.1213203435596424,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,,,0,,,0,,,0,1.7835776874999283,1.7374696950919544,2,0.0,0.0,2
standard_gnn,S4_weak_campaign,2,0.75,11.0,0.0,2,2.0,0.0,2,0.75,0.0,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.2222222222222222,0.31426968052735443,2,0.5,0.7071067811865476,2,0.3076923076923077,0.43514263457633695,2,1.0,0.0,2,0.0,0.0,2,0.3927847222222222,,1,0.3628639232696899,,1,120.0,169.7056274847714,2,180.0,14.142135623730951,2,0.3333333333333333,0.4714045207910317,2,0.5,0.7071067811865476,2,0.4,0.5656854249492381,2,1.0,1.4142135623730951,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0414974790037376,0.009777548707263667,2,0.04490029149746985,0.0014098528507103208,2,0.0018609164981170999,0.00011160477253884576,2,0.4902335000078892,0.35306265847534635,2,,,0
