source,target,similarity,edge_type,cross_vehicle,temporal_edge
EVT-CHE-00000051,EVT-CHE-00000073,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000051,EVT-CHE-00000064,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000052,EVT-CHE-00000070,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000052,EVT-CHE-00000069,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000053,EVT-CHE-00000065,0.9999997019767761,behavioural_similarity,False,False
EVT-CHE-00000053,EVT-CHE-00000059,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000054,EVT-CHE-00000067,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000054,EVT-CHE-00000056,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000055,EVT-CHE-00000059,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000055,EVT-CHE-00000072,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000056,EVT-CHE-00000067,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000057,EVT-CHE-00000072,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000057,EVT-CHE-00000062,0.9999997019767761,behavioural_similarity,False,False
EVT-CHE-00000058,EVT-CHE-00000072,1.0,behavioural_similarity,False,False
EVT-CHE-00000058,EVT-CHE-00000064,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000059,EVT-CHE-00000072,1.0,behavioural_similarity,False,False
EVT-CHE-00000058,EVT-CHE-00000059,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000058,EVT-CHE-00000060,0.9999997615814209,behavioural_similarity,False,False
EVT-CHE-00000060,EVT-CHE-00000065,0.9999997615814209,behavioural_similarity,False,False
EVT-CHE-00000051,EVT-CHE-00000061,0.9999997019767761,behavioural_similarity,False,False
EVT-CHE-00000061,EVT-CHE-00000073,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000062,EVT-CHE-00000072,1.0,behavioural_similarity,False,False
EVT-CHE-00000058,EVT-CHE-00000062,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000063,EVT-CHE-00000066,1.0,behavioural_similarity,False,False
EVT-CHE-00000063,EVT-CHE-00000075,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000064,EVT-CHE-00000073,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000063,EVT-CHE-00000065,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000065,EVT-CHE-00000074,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000054,EVT-CHE-00000066,0.9999997019767761,behavioural_similarity,False,False
EVT-CHE-00000058,EVT-CHE-00000068,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000064,EVT-CHE-00000068,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000069,EVT-CHE-00000070,1.0,behavioural_similarity,False,False
EVT-CHE-00000071,EVT-CHE-00000072,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000058,EVT-CHE-00000071,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000074,EVT-CHE-00000075,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000080,1.0,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000079,1.0,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000077,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000077,EVT-CHE-00000087,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000078,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000078,EVT-CHE-00000086,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000079,EVT-CHE-00000080,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000080,EVT-CHE-00000087,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000081,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000079,EVT-CHE-00000081,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000082,EVT-CHE-00000085,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000082,EVT-CHE-00000086,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000083,1.0,behavioural_similarity,False,False
EVT-CHE-00000078,EVT-CHE-00000083,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000084,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000079,EVT-CHE-00000084,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000084,EVT-CHE-00000087,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000085,EVT-CHE-00000086,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000076,EVT-CHE-00000087,1.0,behavioural_similarity,False,False
EVT-CHE-00000042,EVT-CHE-00000239,0.998231053352356,behavioural_similarity,True,False
EVT-CHE-00000051,EVT-SUB-00000359,1.0,behavioural_similarity,True,False
EVT-CHE-00000051,EVT-CHE-00000151,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000051,EVT-CHE-00000272,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000051,EVT-CHE-00000171,0.9999998807907104,behavioural_similarity,True,False
EVT-CHE-00000051,EVT-CHE-00000268,0.9999998807907104,behavioural_similarity,True,False
EVT-CHE-00000052,EVT-SUB-00000373,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000052,EVT-SUB-00000353,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000052,EVT-CHE-00000262,0.9999998211860657,behavioural_similarity,True,False
EVT-CHE-00000052,EVT-CHE-00000153,0.9999997615814209,behavioural_similarity,True,False
EVT-CHE-00000052,EVT-SUB-00000367,0.9999997615814209,behavioural_similarity,True,False
EVT-CHE-00000053,EVT-CHE-00000154,0.9999998211860657,behavioural_similarity,True,False
EVT-CHE-00000053,EVT-CHE-00000253,0.9999998211860657,behavioural_similarity,True,False
EVT-CHE-00000053,EVT-SUB-00000358,0.9999998211860657,behavioural_similarity,True,False
EVT-CHE-00000053,EVT-CHE-00000270,0.9999997615814209,behavioural_similarity,True,False
EVT-CHE-00000053,EVT-CHE-00000162,0.9999997615814209,behavioural_similarity,True,False
EVT-CHE-00000054,EVT-SUB-00000355,1.0,behavioural_similarity,True,False
EVT-CHE-00000054,EVT-CHE-00000175,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000054,EVT-SUB-00000370,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000054,EVT-CHE-00000166,0.9999998807907104,behavioural_similarity,True,False
EVT-CHE-00000054,EVT-CHE-00000167,0.9999998807907104,behavioural_similarity,True,False
EVT-CHE-00000055,EVT-SUB-00000354,0.9999998211860657,behavioural_similarity,True,False
EVT-CHE-00000055,EVT-CHE-00000155,0.9999997019767761,behavioural_similarity,True,False
EVT-CHE-00000055,EVT-CHE-00000171,0.9999996423721313,behavioural_similarity,True,False
EVT-CHE-00000055,EVT-CHE-00000151,0.9999996423721313,behavioural_similarity,True,False
EVT-CHE-00000055,EVT-CHE-00000266,0.9999996423721313,behavioural_similarity,True,False
EVT-CHE-00000056,EVT-SUB-00000355,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000056,EVT-SUB-00000360,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000056,EVT-CHE-00000175,0.9999998807907104,behavioural_similarity,True,False
EVT-CHE-00000056,EVT-CHE-00000167,0.9999998807907104,behavioural_similarity,True,False
