window_id,vehicle_id,manufacturer,dataset_set,subset_name,attack_type,label,source_file,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,id_transition_rate,id_repetition_rate,mean_inter_arrival_time,std_inter_arrival_time,min_inter_arrival_time,max_inter_arrival_time,message_rate,mean_dlc,std_dlc,dlc_mode_ratio,byte_mean_0,byte_mean_1,byte_mean_2,byte_mean_3,byte_mean_4,byte_mean_5,byte_mean_6,byte_mean_7,byte_std_0,byte_std_1,byte_std_2,byte_std_3,byte_std_4,byte_std_5,byte_std_6,byte_std_7,payload_change_rate,payload_static_ratio,anomaly_score,weak_threshold,strong_threshold,weak_prediction,strong_prediction
95,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-44.csv,100.0,20.0,2.495617474506177,0.4,0.5,0.5,0.0009884479275034726,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.941531353351118,9.98876824025801,10.029121889553528,10.02545858625504,9.928279714375932,10.00975864105657,10.000886512078688,10.004506387137756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.19881513712109192,0.3,0.7,0,0
89,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-38.csv,100.0,20.0,2.4810080803928742,0.4,0.5,0.5,0.001021544808263695,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.993046861980835,10.012444020373389,10.055924590270552,9.994424835492238,10.026181531647135,9.932543964051717,10.010308422720602,9.979785551158827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.22550198740156002,0.3,0.7,0,0
90,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-39.csv,100.0,20.0,2.50190316607838,0.4,0.5,0.5,0.0009862353930029778,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.907858229980686,9.949695985319764,10.037295389458249,10.021682992053885,10.020577601859086,9.899441147043094,9.865923475157587,9.969185672626907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.18372125167096048,0.3,0.7,0,0
98,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-47.csv,100.0,20.0,2.5056726847085447,0.4,0.5,0.5,0.001007691897816929,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.063168635082265,10.014864168088065,10.145332131128281,9.949329410195519,10.011368945200415,9.981957353882201,9.972743134623768,10.014363258488839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.2729120335685348,0.3,0.7,0,0
100,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-49.csv,100.0,20.0,2.500082347657183,0.4,0.5,0.5,0.0009982487781543625,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.988372960567524,9.978534561546391,10.084503471020922,10.03481330913448,10.046843137347178,9.969616438556292,9.948868924110789,9.985855817410307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.21220358906848497,0.3,0.7,0,0
92,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-41.csv,100.0,20.0,2.4900733060483105,0.4,0.5,0.5,0.000996439709575083,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.026347471878672,10.028474904500698,9.99223306110723,10.019836886867676,10.002829117270192,9.905990213075732,9.836276248736933,10.115558578379153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.2415458305304256,0.3,0.7,0,0
93,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-42.csv,100.0,20.0,2.499432363203294,0.4,0.5,0.5,0.0009826196174387652,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.936226153663574,10.067795523778033,9.86059113016327,9.983783441240861,10.043428218539693,10.007161556978403,10.037739639800632,9.993437533381737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.31967257922100323,0.3,0.7,1,0
88,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-37.csv,100.0,20.0,2.498520209812335,0.4,0.5,0.5,0.0010137139104072052,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.02540516338186,9.962867107626588,10.063970700277201,9.987892979331624,10.030323091572614,9.924409635862702,9.999645600571624,9.953290452102774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.1519487159494761,0.3,0.7,0,0
99,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-48.csv,100.0,20.0,2.492897914109512,0.4,0.5,0.5,0.0009928904428192743,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.03622444194832,10.027199704642078,10.097887845312624,10.051393998342196,10.011479564577199,9.983531348211068,10.010763140082808,9.991239148792156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.13174545074653918,0.3,0.7,0,0
97,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-46.csv,100.0,20.0,2.4983790123396354,0.4,0.5,0.5,0.000999042574770029,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.010584496895367,9.99940717961947,9.977653509349178,9.91033997366581,10.092134413912945,9.921060690101193,9.982923902998772,10.032656915014257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.21900085062021266,0.3,0.7,0,0
