event_id,vehicle_id,vehicle_token,vehicle_model,manufacturer,attack_type,label,anomaly_score,weak_prediction,strong_prediction,dataset_set,subset_name,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,id_transition_rate,id_repetition_rate,mean_inter_arrival_time,std_inter_arrival_time,min_inter_arrival_time,max_inter_arrival_time,message_rate,mean_dlc,std_dlc,dlc_mode_ratio,byte_mean_0,byte_mean_1,byte_mean_2,byte_mean_3,byte_mean_4,byte_mean_5,byte_mean_6,byte_mean_7,byte_std_0,byte_std_1,byte_std_2,byte_std_3,byte_std_4,byte_std_5,byte_std_6,byte_std_7,payload_change_rate,payload_static_ratio,local_alert,weak_signal,burstiness,payload_entropy,cluster_id,in_qualifying_campaign,is_noise
EVT-CHE-00000067,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.565612933586038,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.368119176430964,0.049999999949999985,0.5,0.5,23.458972046998504,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.94728089795726,12.071474415351787,13.00872711770804,13.971712797201358,14.984068613595312,16.093878607075936,17.049201498880436,17.910547702023777,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,7.815145155527558,-2191.290119004797,0,True,False
EVT-CHE-00000061,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.255082916699477,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.279008271477545,0.049999999949999985,0.5,0.5,20.241866591521667,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.056712106160143,12.072567042483298,12.961758831222184,13.944594148096725,15.042216352531588,15.94523557106847,17.043094322859883,17.94023806110182,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,10.72425498781988,-2144.220083374687,-1,False,True
EVT-CHE-00000073,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.391795592249247,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.29143472511773,0.049999999949999985,0.5,0.5,21.590176229142813,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.959565107081774,11.998581379362784,13.060209574745125,13.930522481404708,14.980809910972342,15.930826219003842,17.108607774866492,18.09091597671842,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.487694523720574,-2249.009869525527,0,True,False
EVT-CHE-00000070,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.783692594056395,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.333119834692644,0.049999999949999985,0.5,0.5,21.307868250583393,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.066924851035775,12.011121686263243,13.002104177709402,13.970834035144964,14.92194153018942,16.009247267758777,17.059763069436237,17.955017239664617,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.744500349118356,-2161.4240738903054,-1,False,True
EVT-CHE-00000058,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.129444972791475,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.013069212202891,0.049999999949999985,0.5,0.5,21.725327732166914,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.060304889663504,11.929005122195077,12.998332898378939,13.98953828662106,15.026496277060774,16.023600838959048,16.976812673302927,18.011979299556266,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.365141913153582,-2192.709839947481,0,True,False
EVT-CHE-00000072,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,10.533938116768022,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.452772097012442,0.049999999949999985,0.5,0.5,21.202908071257013,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.900585246900327,12.124174132097421,12.958257316936438,13.937224533629,15.06198941179103,16.058271691441284,16.942432953532123,17.926300905625293,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.840261130107766,-2187.7016156765126,-1,False,True
EVT-CHE-00000053,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,9.560611759064948,1,0,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.986886519483354,0.049999999949999985,0.5,0.5,23.331949306189504,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.014421587094446,11.94400882503216,12.98717952125057,13.950908262923718,15.038396769212858,15.942345229298992,17.066128635045985,18.02890939712853,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0,1,7.927342263718119,-2227.8116840334906,0,True,False
EVT-CHE-00000054,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.863288166931964,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.938875635581008,0.049999999949999985,0.5,0.5,23.63761019430186,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.960473814419268,12.049262610644481,12.910080913414937,14.0126078305823,14.91693053191566,16.024119549482418,16.91060186249587,17.868356489629566,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,7.657718287484448,-2152.675513743226,0,True,False
EVT-CHE-00000052,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,13.101204506018318,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,8.503721470344155,0.049999999949999985,0.5,0.5,20.98833195766294,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.008161305721138,11.953566923854432,12.93291627788285,13.939609007280282,14.954091803838741,15.991076255458783,16.94886870920042,18.01174494192505,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,10.036508470583794,-2210.488735262767,-1,False,True
EVT-CHE-00000065,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,10.799650599421915,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.016809094598802,0.049999999949999985,0.5,0.5,22.672872358253496,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.955008692517445,11.975138874276078,13.016316269316201,13.993661653757577,14.961825669629247,15.97245217062207,16.970331199866152,18.058309322722142,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,8.512947159836333,-2224.738699059535,0,True,False
