event_id,vehicle_id,vehicle_token,vehicle_model,manufacturer,attack_type,label,anomaly_score,weak_prediction,strong_prediction,dataset_set,subset_name,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,id_transition_rate,id_repetition_rate,mean_inter_arrival_time,std_inter_arrival_time,min_inter_arrival_time,max_inter_arrival_time,message_rate,mean_dlc,std_dlc,dlc_mode_ratio,byte_mean_0,byte_mean_1,byte_mean_2,byte_mean_3,byte_mean_4,byte_mean_5,byte_mean_6,byte_mean_7,byte_std_0,byte_std_1,byte_std_2,byte_std_3,byte_std_4,byte_std_5,byte_std_6,byte_std_7,payload_change_rate,payload_static_ratio,local_alert,weak_signal,burstiness,payload_entropy,cluster_id,in_qualifying_campaign,is_noise
EVT-CHE-00000058,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.129444972791475,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.013069212202891,0.049999999949999985,0.5,0.5,21.725327732166914,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.060304889663504,11.929005122195077,12.998332898378939,13.98953828662106,15.026496277060774,16.023600838959048,16.976812673302927,18.011979299556266,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.365141913153582,-2192.709839947481,0,True,False
EVT-CHE-00000056,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.712724341831148,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.787083852563335,0.049999999949999985,0.5,0.5,24.07289139461114,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.952361400565808,12.086895024766587,13.002807305906948,13.991837583057778,15.075172447263238,16.011371642760572,17.016158795318432,18.075883748731815,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,7.275880209643286,-2219.0923661110605,0,True,False
EVT-CHE-00000057,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,10.51599425180541,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.050021153026782,0.049999999949999985,0.5,0.5,20.393869360333927,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.921380482937764,12.056307061834529,12.95366402371785,14.007424177279091,14.946296400247292,15.990815673563592,16.936065243687562,18.081508702595453,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,10.583569976291944,-2227.491925898138,0,True,False
EVT-CHE-00000060,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,10.249786463536198,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,8.923489044169242,0.049999999949999985,0.5,0.5,21.806557196728097,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.121998839074653,12.019568348619767,13.06040376708401,13.988898032465178,14.876813811785047,15.884318082027963,17.050930961783642,18.009242977125265,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.291605751552078,-2121.898053036215,0,True,False
EVT-CHE-00000065,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,10.799650599421915,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.016809094598802,0.049999999949999985,0.5,0.5,22.672872358253496,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.955008692517445,11.975138874276078,13.016316269316201,13.993661653757577,14.961825669629247,15.97245217062207,16.970331199866152,18.058309322722142,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,8.512947159836333,-2224.738699059535,0,True,False
EVT-CHE-00000074,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.736252096092777,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.001416832732309,0.049999999949999985,0.5,0.5,22.65589980433894,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.894899324449993,12.013821338748699,12.933191739228503,13.933761359566251,14.964763704375896,15.982489162665567,17.028710962241195,18.035033937415978,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,8.528104597819851,-2266.5800949906097,0,True,False
EVT-CHE-00000055,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,10.12996204184525,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,12.474724605290778,0.049999999949999985,0.5,0.5,21.277825535669635,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.041508277331781,12.005535554819733,12.983824763018765,14.030769214255201,15.08212026896284,15.938243600640552,17.028194847200854,18.01725677149668,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.771894264455046,-2181.0392884300327,0,True,False
EVT-CHE-00000051,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.015943073014009,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.240400311210111,0.049999999949999985,0.5,0.5,21.52276017756034,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.016911949508764,12.066263946205828,12.981621459981657,13.969472384953384,14.999531436333733,16.029918958940115,17.024120450791738,18.007792888660532,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.548920271426425,-2183.208097175846,0,True,False
EVT-CHE-00000075,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.327501099741012,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.17306056757059,0.049999999949999985,0.5,0.5,22.674416412558934,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.993952650888792,12.05901144265797,12.954143467743936,13.861838745680574,14.976164539782479,16.10756317469892,17.02344936765428,17.990283541466287,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,8.511568425814577,-2213.492349674186,0,True,False
EVT-CHE-00000064,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.495130264214342,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.491129823642446,0.049999999949999985,0.5,0.5,21.868220097374376,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.042078393111005,12.043964506544759,12.981514163942215,14.005254419602094,15.120680383940583,16.02107995730862,16.990707330830592,18.102484587639754,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.235843544996067,-2201.3235487362444,0,True,False
