window_id,vehicle_id,manufacturer,dataset_set,subset_name,attack_type,label,source_file,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,id_transition_rate,id_repetition_rate,mean_inter_arrival_time,std_inter_arrival_time,min_inter_arrival_time,max_inter_arrival_time,message_rate,mean_dlc,std_dlc,dlc_mode_ratio,byte_mean_0,byte_mean_1,byte_mean_2,byte_mean_3,byte_mean_4,byte_mean_5,byte_mean_6,byte_mean_7,byte_std_0,byte_std_1,byte_std_2,byte_std_3,byte_std_4,byte_std_5,byte_std_6,byte_std_7,payload_change_rate,payload_static_ratio,anomaly_score,weak_threshold,strong_threshold,weak_prediction,strong_prediction
68,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-17.csv,100.0,21.0,2.598601500514208,0.45,0.5,0.5,0.0011982441272804306,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,10.974342238662981,11.927184926273274,13.043082215635291,13.953015512995185,14.9814979445412,15.969880735712643,16.963608806106304,18.03716183377803,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.8191887079232164,0.3,0.7,1,1
67,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-16.csv,100.0,21.0,2.612045574852848,0.45,0.5,0.5,0.001213903586070527,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,10.94728089795726,12.071474415351787,13.00872711770804,13.971712797201358,14.984068613595312,16.093878607075936,17.049201498880436,17.910547702023777,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.8041728754536941,0.3,0.7,1,1
66,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-15.csv,100.0,21.0,2.594277809392951,0.45,0.5,0.5,0.0012203835436996307,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,10.972311783660798,12.074470885426017,13.065786610127798,13.99236241895347,14.929030433292228,16.022650706554046,17.033633757353986,18.048390224086948,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.8035947118847608,0.3,0.7,1,1
54,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-3.csv,100.0,21.0,2.607843414146031,0.45,0.5,0.5,0.001215530163621398,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,10.960473814419268,12.049262610644481,12.910080913414937,14.0126078305823,14.91693053191566,16.024119549482418,16.91060186249587,17.868356489629566,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.819804658429248,0.3,0.7,1,1
65,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-14.csv,100.0,21.0,2.589026980756236,0.45,0.5,0.5,0.0012067458085982393,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,10.955008692517445,11.975138874276078,13.016316269316201,13.993661653757577,14.961825669629247,15.97245217062207,16.970331199866152,18.058309322722142,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.7639499894563622,0.3,0.7,1,1
71,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-20.csv,100.0,21.0,2.5887285787125203,0.45,0.5,0.5,0.0011926598887427977,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,11.025294577476116,12.00000326141751,13.034544400055914,13.962913095408517,14.948411918974113,15.906646864942793,16.939814437517448,17.9461946122681,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.7286517189738757,0.3,0.7,1,1
72,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-21.csv,100.0,21.0,2.6030846117534017,0.45,0.5,0.5,0.0011933611483456337,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,10.900585246900327,12.124174132097421,12.958257316936438,13.937224533629,15.06198941179103,16.058271691441284,16.942432953532123,17.926300905625293,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.7499966624830211,0.3,0.7,1,1
55,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-4.csv,100.0,21.0,2.6228788976837456,0.45,0.5,0.5,0.0011940433042435831,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,11.041508277331781,12.005535554819733,12.983824763018765,14.030769214255201,15.08212026896284,15.938243600640552,17.028194847200854,18.01725677149668,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.7287827164669934,0.3,0.7,1,1
51,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-0.csv,100.0,21.0,2.6107952469017564,0.45,0.5,0.5,0.001196273540035569,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,11.016911949508764,12.066263946205828,12.981621459981657,13.969472384953384,14.999531436333733,16.029918958940115,17.024120450791738,18.007792888660532,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.8278210067670186,0.3,0.7,1,1
61,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,dos,1,dos-10.csv,100.0,21.0,2.6111732068199998,0.45,0.5,0.5,0.0011846104502445242,0.0006500000000000001,1e-06,0.01,800.0,8.0,0.1,1.0,11.056712106160143,12.072567042483298,12.961758831222184,13.944594148096725,15.042216352531588,15.94523557106847,17.043094322859883,17.94023806110182,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0.8403789280132079,0.3,0.7,1,1
