node_id,vehicle_id,vehicle_token,vehicle_model,manufacturer,attack_type,label,anomaly_score,weak_prediction,strong_prediction,dataset_set,subset_name,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,id_transition_rate,id_repetition_rate,mean_inter_arrival_time,std_inter_arrival_time,min_inter_arrival_time,max_inter_arrival_time,message_rate,mean_dlc,std_dlc,dlc_mode_ratio,byte_mean_0,byte_mean_1,byte_mean_2,byte_mean_3,byte_mean_4,byte_mean_5,byte_mean_6,byte_mean_7,byte_std_0,byte_std_1,byte_std_2,byte_std_3,byte_std_4,byte_std_5,byte_std_6,byte_std_7,payload_change_rate,payload_static_ratio,local_alert,weak_signal,burstiness,payload_entropy
EVT-CHE-00000031,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,13.641190807992109,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.421420998603464,0.04999999994999993,0.5,0.5,23.193940265526916,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,11.046561778180946,12.044520144622963,13.009328553001328,13.997985117334624,15.017008996443726,16.064763989570938,17.02671948849364,17.98244337170812,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,7.142536981707469,-1920.44452223327
EVT-CHE-00000032,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.787337188952682,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.767481654839866,0.04999999994999993,0.5,0.5,21.058695665464764,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,10.960431158066898,11.971700386176693,12.968197661013653,13.860382142012305,15.050842310019908,16.02832387847139,16.989286470421046,18.05229918692046,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.046946359807682,-1998.0995368363695
EVT-CHE-00000033,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.368750549210013,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.937452891908393,0.04999999994999993,0.5,0.5,18.512572781723925,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,10.98834920401947,12.026609456288362,13.080484341589411,14.092014744080874,15.071291912286014,15.941919524072524,16.89011643164564,18.028523478735348,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,11.402977725901014,-1904.7756089482662
EVT-CHE-00000034,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.326702497057502,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.497199916590226,0.04999999994999993,0.5,0.5,21.00742659708556,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,11.010987748176175,11.925000549347168,13.022400482757948,13.97775507735629,15.017499267885212,16.022970299677105,16.994138892755956,18.015840056105695,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.09345812888734,-1963.5008816100087
EVT-CHE-00000035,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.463112236303928,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.304595182150978,0.04999999994999993,0.5,0.5,21.67405875230363,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,10.97263918154814,11.97060490594487,13.087186938899531,13.994920225234193,15.049590388128275,16.019669286514187,16.971794375475195,17.962551310152282,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,8.49159100598491,-1936.3699618265432
EVT-CHE-00000036,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.838754724665153,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.828613990643262,0.04999999994999993,0.5,0.5,21.793678510497745,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,10.936653328624631,11.970265835878696,12.995256689829287,14.08003747300738,14.881991071468693,16.021955582405397,16.97299770706933,18.021568867142157,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,8.384255435011768,-1972.1234427716408
EVT-CHE-00000037,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.108743646719608,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.930807355234272,0.04999999994999993,0.5,0.5,22.803009058492037,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,11.017709825172854,12.02166999712389,13.018642894421744,13.962484323974842,15.027150892593045,15.98958267186345,16.95941431779207,17.99807260368942,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,7.486495460955618,-1921.1549620133444
EVT-CHE-00000038,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,13.307243088998254,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.29917781266535,0.04999999994999993,0.5,0.5,21.09563270071867,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,10.97352789712529,12.072798578786083,13.049419388133996,14.063486471896717,15.030383368100729,15.994515050278267,16.979045329805086,17.986033000247392,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.013459940986777,-1914.616412574115
EVT-CHE-00000039,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,13.1037833322158,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.691514209952047,0.04999999994999993,0.5,0.5,19.566137572221376,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,10.998045860114148,11.929194789689939,13.008293291703117,13.939809018289422,14.936803193589288,16.005928972696086,16.996089283709566,17.91691191501052,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,10.416512037276215,-1941.395698252956
EVT-CHE-00000040,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.057958311500725,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.63428416336623,0.04999999994999993,0.5,0.5,19.567696166082722,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,11.090992485938894,11.96561052878859,12.975295469041761,13.991055638953114,14.927736138966733,16.06495636072191,17.024634681421865,17.962427289909343,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,10.415064938313126,-1922.9574688508696
EVT-CHE-00000041,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.799997527644853,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,8.149319372304019,0.04999999994999993,0.5,0.5,20.771764565846663,0.00014999999984999983,1e-06,0.01,0.0,8.0,0.1,1.0,11.046810657572,11.914235511392848,12.97818798355244,14.00733958678239,15.052411967292397,16.067466527637027,16.977137352208167,17.96298465617121,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.307735575972064,-1946.8551225593774
